"County","Population","Cases

03-04","Cases

03-05","Cases

03-06","Cases

03-09","Cases

03-10","Cases

03-11","Cases

03-12","Cases

03-13","Cases

03-15","Cases

03-16","Cases

03-17","Cases

03-18","Cases

03-19","Cases

03-20","Cases

03-21","Cases

03-22","Cases

03-23","Cases

03-24","Cases

03-25","Cases

03-26","Cases

03-27","Cases

03-28","Cases

03-29","Cases

03-30","Cases

03-31","Cases

04-01","Cases

04-02","Cases

04-03","Cases

04-04","Cases

04-05","Cases

04-06","Cases

04-07","Cases

04-08","Cases

04-09","Cases

04-10","Cases

04-11","Cases

04-12","Cases

04-13","Cases

04-14","Cases

04-15","Cases

04-16","Cases

04-17","Cases

04-18","Cases

04-19","Cases

04-20","Cases

04-21","Cases

04-22","Cases

04-23","Cases

04-24","Cases

04-25","Cases

04-26","Cases

04-27","Cases

04-28","Cases

04-29","Cases
04-30","Cases
05-01","Cases
05-02","Cases
05-03","Cases
05-04","Cases
05-05","Cases
05-06","Cases
05-07","Cases
05-08","Cases
05-09","Cases
05-10","Cases
05-11","Cases
05-12","Cases
05-13","Cases
05-14","Cases
05-15","Cases
05-16","Cases
05-17","Cases
05-18","Cases
05-19","Cases
05-20","Cases
05-21","Cases
05-22","Cases
05-23","Cases
05-24","Cases
05-25","Cases
05-26","Cases
05-27","Cases
05-28","Cases
05-29","Cases
05-30","Cases
05-31","Cases 06-01","Cases 06-02","Cases 06-03","Cases 06-04","Cases 06-05","Cases 06-06","Cases 06-07","Cases 06-08"
"Bastrop","86105","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","2.0","4.0","5.0","6.0","6.0","7.0","7.0","7.0","7.0","9.0","11.0","15.0","17.0","16.0","19.0","20.0","19.0","19.0","19.0","32.0","37.0","42.0","42.0","43.0","44.0","49.0","51.0","53.0","57.0","57.0","58.0","59.0","59.0","67.0","73.0","82.0","83.0","86.0","89.0","98.0","100.0","107.0","106.0","108.0","109.0","110.0","117.0","120.0","125.0","128.0","132.0","132.0","132.0","148.0","152.0","161.0","173.0","173.0","177.0","182.0","184.0","190.0","196.0","200.0","204.0","211.0","212.0","220.0","231.0","240.0","245.0","250.0","255.0","255.0"
"Baylor","3624","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","1.0","1.0"
"Bee","34445","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","6.0","6.0","5.0","5.0","5.0","5.0","5.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","7.0","8.0","8.0","8.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","10.0","11.0","11.0","18.0","22.0","22.0","22.0"
"Bell","353629","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","2.0","3.0","3.0","3.0","16.0","18.0","19.0","20.0","28.0","28.0","28.0","36.0","44.0","46.0","51.0","51.0","58.0","58.0","68.0","71.0","74.0","84.0","91.0","101.0","101.0","107.0","110.0","115.0","124.0","126.0","126.0","126.0","135.0","145.0","153.0","161.0","165.0","165.0","165.0","173.0","180.0","189.0","189.0","193.0","194.0","194.0","210.0","210.0","213.0","218.0","220.0","220.0","220.0","223.0","231.0","237.0","242.0","248.0","248.0","248.0","260.0","267.0","282.0","294.0","298.0","298.0","298.0","298.0","329.0","335.0","345.0","356.0","362.0","378.0","391.0","411.0","423.0","432.0","446.0","446.0","446.0"
"Bexar","2093502","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","3.0","3.0","4.0","6.0","12.0","24.0","24.0","24.0","57.0","69.0","84.0","113.0","125.0","140.0","157.0","168.0","207.0","229.0","254.0","342.0","384.0","410.0","456.0","503.0","554.0","615.0","665.0","723.0","772.0","794.0","815.0","890.0","918.0","959.0","992.0","1015.0","1029.0","1080.0","1126.0","1167.0","1195.0","1231.0","1254.0","1275.0","1307.0","1326.0","1374.0","1477.0","1585.0","1613.0","1652.0","1677.0","1761.0","1805.0","1835.0","1901.0","1901.0","1920.0","1942.0","1976.0","2041.0","2120.0","2120.0","2120.0","2192.0","2278.0","2322.0","2371.0","2392.0","2418.0","2442.0","2449.0","2480.0","2525.0","2583.0","2636.0","2825.0","2830.0","2839.0","2882.0","2953.0","3018.0","3143.0","3290.0","3311.0"
"Blanco","11504","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","1.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","5.0","4.0","4.0","4.0","4.0","5.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","7.0","7.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","9.0","10.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0"
"Borden","685","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bosque","17765","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0"
"Bowie","92570","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","3.0","3.0","4.0","9.0","9.0","9.0","10.0","17.0","17.0","14.0","17.0","20.0","23.0","29.0","30.0","32.0","32.0","32.0","37.0","45.0","53.0","56.0","57.0","57.0","64.0","66.0","66.0","67.0","67.0","68.0","68.0","69.0","69.0","70.0","74.0","76.0","76.0","76.0","79.0","76.0","76.0","76.0","76.0","76.0","76.0","80.0","82.0","120.0","122.0","130.0","133.0","133.0","137.0","174.0","176.0","154.0","154.0","153.0","153.0","147.0","156.0","189.0","191.0","197.0","265.0","267.0","270.0","287.0","296.0","301.0","312.0","336.0","336.0"
"Brazoria","375869","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","2.0","2.0","2.0","3.0","9.0","12.0","12.0","18.0","19.0","33.0","39.0","52.0","61.0","61.0","79.0","95.0","109.0","123.0","136.0","144.0","144.0","167.0","173.0","184.0","199.0","216.0","225.0","237.0","250.0","259.0","272.0","285.0","302.0","304.0","315.0","333.0","345.0","382.0","392.0","417.0","445.0","449.0","464.0","476.0","485.0","509.0","537.0","542.0","551.0","566.0","570.0","588.0","613.0","644.0","656.0","661.0","673.0","686.0","710.0","712.0","721.0","727.0","767.0","786.0","795.0","805.0","816.0","825.0","835.0","838.0","843.0","853.0","861.0","882.0","894.0","907.0","917.0","929.0","941.0","957.0","967.0","990.0","990.0","990.0"
