"County","Childcare_Child_Cases_Daily","Childcare_Employee_Cases_Daily","Childcare_Child_Cases_Cumulative","Childcare_Employee_Cases_Cumulative","Date"
"Coryell",0,0,2,2,2020-10-12
"Dallam",0,0,1,1,2020-10-12
"Dallas",3,3,116,205,2020-10-12
"Dawson",0,0,0,6,2020-10-12
"Deaf Smith",0,1,0,4,2020-10-12
"Delta",0,0,1,0,2020-10-12
"Denton",1,3,55,97,2020-10-12
"DeWitt",0,0,0,1,2020-10-12
"Dimmit",0,0,3,0,2020-10-12
"Ector",0,0,11,21,2020-10-12
"El Paso",1,1,28,44,2020-10-12
"Ellis",0,0,15,20,2020-10-12
"Erath",0,0,2,3,2020-10-12
"Fannin",0,0,0,1,2020-10-12
"Fayette",0,0,0,1,2020-10-12
"Fort Bend",0,2,47,108,2020-10-12
"Franklin",0,0,1,3,2020-10-12
"Freestone",0,0,0,1,2020-10-12
"Frio",0,0,0,2,2020-10-12
"Galveston",0,1,33,54,2020-10-12
"Garza",0,1,0,2,2020-10-12
"Gonzales",0,0,1,1,2020-10-12
"Gray",0,0,0,4,2020-10-12
"Grayson",0,0,2,8,2020-10-12
"Gregg",0,1,11,26,2020-10-12
"Grimes",0,0,0,5,2020-10-12
"Guadalupe",0,0,10,15,2020-10-12
"Hale",0,0,0,2,2020-10-12
"Hardin",0,0,3,3,2020-10-12
"Harris",0,1,239,483,2020-10-12
"Harrison",0,0,1,10,2020-10-12
"Hartley",0,0,0,1,2020-10-12
"Hays",0,0,6,25,2020-10-12
"Hemphill",0,0,1,0,2020-10-12
"Henderson",0,0,3,6,2020-10-12
"Hidalgo",0,0,69,62,2020-10-12
"Hill",0,0,2,1,2020-10-12
"Hockley",0,0,1,1,2020-10-12
"Hood",0,0,2,11,2020-10-12
"Hopkins",0,0,1,7,2020-10-12
"Howard",0,0,3,4,2020-10-12
"Hunt",0,0,2,5,2020-10-12
"Jackson",0,0,3,4,2020-10-12
"Jasper",0,0,0,1,2020-10-12
"Jefferson",0,0,7,13,2020-10-12
"Jim Wells",0,0,3,2,2020-10-12
"Johnson",0,3,7,14,2020-10-12
"Kaufman",0,0,5,16,2020-10-12
"Kendall",0,0,1,0,2020-10-12
"Kerr",0,0,1,3,2020-10-12
"Kleberg",0,0,0,1,2020-10-12
"Knox",0,0,0,1,2020-10-12
"Lamar",2,0,5,5,2020-10-12
"Lavaca",0,0,2,4,2020-10-12
"Lee",0,0,1,0,2020-10-12
"Liberty",0,0,2,7,2020-10-12
"Limestone",0,0,0,1,2020-10-12
"Llano",0,0,0,2,2020-10-12
"Lubbock",1,2,28,76,2020-10-12
"Marion",0,0,1,0,2020-10-12
"Martin",0,0,0,1,2020-10-12
"Matagorda",0,0,3,12,2020-10-12
"Maverick",0,0,3,5,2020-10-12
"McCulloch",0,0,0,2,2020-10-12
"McLennan",0,0,10,45,2020-10-12
"Medina",0,0,1,2,2020-10-12
"Midland",0,1,11,25,2020-10-12
"Mills",0,0,0,1,2020-10-12
"Montgomery",0,0,29,59,2020-10-12
"Morris",0,0,1,4,2020-10-12
"Nacogdoches",0,0,2,10,2020-10-12
"Navarro",0,0,3,5,2020-10-12
"Nolan",0,0,1,0,2020-10-12
"Nueces",0,0,24,65,2020-10-12
"Orange",0,0,8,1,2020-10-12
"Palo Pinto",0,0,2,5,2020-10-12
"Panola",0,0,5,1,2020-10-12
"Parker",1,0,3,15,2020-10-12
"Pecos",0,0,1,0,2020-10-12
"Polk",0,0,1,2,2020-10-12
"Potter",1,1,10,9,2020-10-12
"Randall",0,1,10,20,2020-10-12
"Robertson",0,0,0,2,2020-10-12
"Rockwall",0,0,11,8,2020-10-12
"Rusk",0,0,0,6,2020-10-12
"Sabine",0,0,0,2,2020-10-12
"San Jacinto",0,0,1,0,2020-10-12
"San Patricio",0,0,3,6,2020-10-12
"Scurry",0,0,3,1,2020-10-12
"Smith",0,0,19,35,2020-10-12
"Starr",0,0,4,4,2020-10-12
"Tarrant",11,9,105,201,2020-10-12
"Taylor",0,0,3,20,2020-10-12
"Terrell",0,0,0,1,2020-10-12
"Terry",0,0,0,1,2020-10-12
"Titus",0,0,2,5,2020-10-12
"Tom Green",0,0,9,21,2020-10-12
"Travis",0,0,49,99,2020-10-12
"Tyler",1,1,2,2,2020-10-12
"Upshur",0,0,3,1,2020-10-12
"Val Verde",0,0,3,4,2020-10-12
"Van Zandt",0,0,0,2,2020-10-12
"Victoria",0,0,9,6,2020-10-12
"Walker",0,0,2,12,2020-10-12
"Waller",0,0,0,2,2020-10-12
"Washington",0,0,1,3,2020-10-12
"Webb",0,0,21,29,2020-10-12
"Wharton",0,0,4,9,2020-10-12
"Wichita",0,0,1,20,2020-10-12
"Wilbarger",0,0,3,2,2020-10-12
"Willacy",0,0,1,0,2020-10-12
"Williamson",0,0,21,49,2020-10-12
"Wilson",0,0,2,4,2020-10-12
"Wise",0,0,5,2,2020-10-12
"Wood",0,0,0,2,2020-10-12
"Young",0,0,1,1,2020-10-12
"Anderson",0,0,1,4,2020-10-11
"Andrews",0,0,0,3,2020-10-11
"Angelina",0,0,4,16,2020-10-11
"Aransas",0,0,3,0,2020-10-11
"Archer",0,0,0,1,2020-10-11
"Atascosa",0,0,12,3,2020-10-11
"Austin",0,0,0,1,2020-10-11
"Bandera",0,0,1,2,2020-10-11
"Bastrop",0,0,3,4,2020-10-11
"Bee",0,0,0,1,2020-10-11
"Bell",3,0,17,34,2020-10-11
"Bexar",1,1,153,193,2020-10-11
"Blanco",0,0,0,1,2020-10-11
"Bowie",0,0,4,12,2020-10-11
"Brazoria",0,0,26,52,2020-10-11
"Brazos",1,0,14,47,2020-10-11
"Brewster",0,0,0,1,2020-10-11
"Brown",0,0,4,4,2020-10-11
"Burnet",0,0,1,2,2020-10-11
"Caldwell",0,0,3,2,2020-10-11
"Calhoun",0,0,3,5,2020-10-11
"Callahan",0,0,0,1,2020-10-11
"Cameron",1,0,36,33,2020-10-11
"Camp",0,0,2,1,2020-10-11
"Cass",0,0,2,9,2020-10-11
"Chambers",0,1,0,3,2020-10-11
"Cherokee",0,0,3,2,2020-10-11
"Clay",0,0,0,2,2020-10-11
"Collin",0,2,61,103,2020-10-11
"Colorado",0,0,1,7,2020-10-11
"Comal",0,0,11,16,2020-10-11
"Comanche",0,0,1,0,2020-10-11
"Cooke",0,0,3,0,2020-10-11
"Coryell",0,0,2,2,2020-10-11
"Dallam",0,0,1,1,2020-10-11
"Dallas",2,1,113,199,2020-10-11
"Dawson",0,0,0,6,2020-10-11
"Deaf Smith",0,0,0,3,2020-10-11
"Delta",0,0,1,0,2020-10-11
"Denton",0,0,53,91,2020-10-11
"DeWitt",0,0,0,1,2020-10-11
"Dimmit",0,0,3,0,2020-10-11
"Ector",0,0,11,21,2020-10-11
"El Paso",1,0,27,43,2020-10-11
"Ellis",3,0,15,20,2020-10-11
"Erath",0,0,2,3,2020-10-11
"Fannin",0,0,0,1,2020-10-11
"Fayette",0,0,0,1,2020-10-11
"Fort Bend",0,0,47,106,2020-10-11
"Franklin",0,0,1,3,2020-10-11
"Freestone",0,0,0,1,2020-10-11
"Frio",0,0,0,2,2020-10-11
"Galveston",0,0,33,53,2020-10-11
"Garza",0,0,0,1,2020-10-11
"Gonzales",0,0,1,1,2020-10-11
"Gray",0,0,0,3,2020-10-11
"Grayson",0,0,2,8,2020-10-11
"Gregg",0,1,11,25,2020-10-11
"Grimes",0,0,0,5,2020-10-11
"Guadalupe",0,0,10,15,2020-10-11
"Hale",0,0,0,2,2020-10-11
"Hardin",0,0,3,3,2020-10-11
"Harris",1,2,238,482,2020-10-11
"Harrison",0,0,1,10,2020-10-11
"Hartley",0,0,0,1,2020-10-11
"Hays",0,0,6,25,2020-10-11
"Hemphill",0,0,1,0,2020-10-11
"Henderson",0,0,3,6,2020-10-11
"Hidalgo",2,0,69,62,2020-10-11
"Hill",0,0,2,1,2020-10-11
"Hockley",0,0,1,1,2020-10-11
"Hood",0,0,2,11,2020-10-11
"Hopkins",0,0,1,7,2020-10-11
"Howard",0,0,3,4,2020-10-11
"Hunt",0,0,2,5,2020-10-11
"Jackson",0,0,3,4,2020-10-11
"Jasper",0,0,0,1,2020-10-11
"Jefferson",0,2,7,13,2020-10-11
"Jim Wells",0,0,3,2,2020-10-11
"Johnson",0,0,7,11,2020-10-11
"Kaufman",0,0,5,16,2020-10-11
"Kendall",0,0,1,0,2020-10-11
"Kerr",0,0,1,3,2020-10-11
"Kleberg",0,0,0,1,2020-10-11
"Knox",0,0,0,1,2020-10-11
"Lamar",0,0,3,5,2020-10-11
"Lavaca",0,0,2,4,2020-10-11
"Lee",0,0,1,0,2020-10-11
"Liberty",0,0,2,7,2020-10-11
"Limestone",0,0,0,1,2020-10-11
"Llano",0,0,0,2,2020-10-11
"Lubbock",0,0,27,74,2020-10-11
"Marion",0,0,1,0,2020-10-11
"Martin",0,0,0,1,2020-10-11
"Matagorda",0,0,3,12,2020-10-11
"Maverick",0,0,3,5,2020-10-11
"McCulloch",0,0,0,2,2020-10-11
"McLennan",0,0,10,45,2020-10-11
"Medina",0,0,1,2,2020-10-11
"Midland",0,0,11,24,2020-10-11
"Mills",0,0,0,1,2020-10-11
"Montgomery",0,1,29,59,2020-10-11
"Morris",0,0,1,4,2020-10-11
"Nacogdoches",0,0,2,10,2020-10-11
"Navarro",0,0,3,5,2020-10-11
"Nolan",0,0,1,0,2020-10-11
"Nueces",0,0,24,65,2020-10-11
"Orange",0,0,8,1,2020-10-11
"Palo Pinto",0,0,2,5,2020-10-11
"Panola",0,0,5,1,2020-10-11
"Parker",0,0,2,15,2020-10-11
"Pecos",0,0,1,0,2020-10-11
"Polk",0,1,1,2,2020-10-11
"Potter",0,0,9,8,2020-10-11
"Randall",1,1,10,19,2020-10-11
"Robertson",0,0,0,2,2020-10-11
"Rockwall",0,0,11,8,2020-10-11
"Rusk",0,0,0,6,2020-10-11
"Sabine",0,0,0,2,2020-10-11
"San Jacinto",0,0,1,0,2020-10-11
"San Patricio",0,0,3,6,2020-10-11
"Scurry",0,1,3,1,2020-10-11
"Smith",1,0,19,35,2020-10-11
"Starr",0,0,4,4,2020-10-11
"Tarrant",4,1,93,190,2020-10-11
"Taylor",0,4,3,20,2020-10-11
"Terrell",0,0,0,1,2020-10-11
"Terry",0,0,0,1,2020-10-11
"Titus",0,0,2,5,2020-10-11
"Tom Green",0,0,9,21,2020-10-11
"Travis",0,0,49,99,2020-10-11
"Tyler",0,0,1,1,2020-10-11
"Upshur",0,0,3,1,2020-10-11
"Val Verde",0,0,3,4,2020-10-11
"Van Zandt",0,0,0,2,2020-10-11
"Victoria",0,0,9,6,2020-10-11
"Walker",0,0,2,12,2020-10-11
"Waller",0,0,0,2,2020-10-11
"Washington",0,0,1,3,2020-10-11
"Webb",0,0,21,29,2020-10-11
"Wharton",0,0,4,9,2020-10-11
"Wichita",0,2,1,20,2020-10-11
"Wilbarger",0,0,3,2,2020-10-11
"Willacy",0,0,1,0,2020-10-11
"Williamson",1,0,19,49,2020-10-11
"Wilson",0,0,2,4,2020-10-11
"Wise",2,0,5,2,2020-10-11
"Wood",0,0,0,2,2020-10-11
"Young",0,0,1,1,2020-10-11
"Anderson",0,0,1,4,2020-10-08
"Andrews",0,0,0,3,2020-10-08
"Angelina",0,0,4,16,2020-10-08
"Aransas",0,0,3,0,2020-10-08
"Archer",0,0,0,1,2020-10-08
"Atascosa",0,0,12,3,2020-10-08
"Austin",0,0,0,1,2020-10-08
"Bandera",0,0,1,2,2020-10-08
"Bastrop",0,0,3,4,2020-10-08
"Bee",0,0,0,1,2020-10-08
"Bell",0,0,14,34,2020-10-08
"Bexar",0,2,152,192,2020-10-08
"Blanco",0,0,0,1,2020-10-08
"Bowie",0,0,4,12,2020-10-08
"Brazoria",0,0,26,52,2020-10-08
"Brazos",0,0,13,47,2020-10-08
"Brewster",0,0,0,1,2020-10-08
"Brown",0,0,4,4,2020-10-08
"Burnet",0,0,1,2,2020-10-08
"Caldwell",0,0,3,2,2020-10-08
"Calhoun",0,0,3,5,2020-10-08
"Callahan",0,0,0,1,2020-10-08
"Cameron",0,0,35,33,2020-10-08
"Camp",0,0,2,1,2020-10-08
"Cass",0,0,2,9,2020-10-08
"Chambers",0,0,0,2,2020-10-08
"Cherokee",0,0,3,2,2020-10-08
"Clay",0,0,0,2,2020-10-08
"Collin",0,2,61,101,2020-10-08
"Colorado",0,0,1,7,2020-10-08
"Comal",0,0,11,16,2020-10-08
"Comanche",0,0,1,0,2020-10-08
"Cooke",0,0,3,0,2020-10-08
"Coryell",0,0,2,2,2020-10-08
"Dallam",0,0,1,1,2020-10-08
"Dallas",1,0,111,198,2020-10-08
"Dawson",0,0,0,6,2020-10-08
"Deaf Smith",0,0,0,3,2020-10-08
"Delta",0,0,1,0,2020-10-08
"Denton",0,0,53,91,2020-10-08
"DeWitt",0,0,0,1,2020-10-08
"Dimmit",0,0,3,0,2020-10-08
"Ector",0,1,11,21,2020-10-08
"El Paso",2,2,26,43,2020-10-08
"Ellis",0,0,12,20,2020-10-08
"Erath",1,0,2,3,2020-10-08
"Fannin",0,0,0,1,2020-10-08
"Fayette",0,0,0,1,2020-10-08
"Fort Bend",0,0,47,106,2020-10-08
"Franklin",0,0,1,3,2020-10-08
"Freestone",0,0,0,1,2020-10-08
"Frio",0,0,0,2,2020-10-08
"Galveston",0,0,33,53,2020-10-08
"Garza",0,0,0,1,2020-10-08
"Gonzales",0,0,1,1,2020-10-08
"Gray",0,0,0,3,2020-10-08
"Grayson",0,0,2,8,2020-10-08
"Gregg",1,0,11,24,2020-10-08
"Grimes",0,0,0,5,2020-10-08
"Guadalupe",0,0,10,15,2020-10-08
"Hale",0,0,0,2,2020-10-08
"Hardin",0,0,3,3,2020-10-08
"Harris",4,0,237,480,2020-10-08
"Harrison",0,0,1,10,2020-10-08
"Hartley",0,1,0,1,2020-10-08
"Hays",0,0,6,25,2020-10-08
"Hemphill",0,0,1,0,2020-10-08
"Henderson",1,0,3,6,2020-10-08
"Hidalgo",0,0,67,62,2020-10-08
"Hill",0,0,2,1,2020-10-08
"Hockley",0,0,1,1,2020-10-08
"Hood",0,0,2,11,2020-10-08
"Hopkins",0,0,1,7,2020-10-08
"Howard",0,0,3,4,2020-10-08
"Hunt",0,0,2,5,2020-10-08
"Jackson",0,0,3,4,2020-10-08
"Jasper",0,0,0,1,2020-10-08
"Jefferson",0,0,7,11,2020-10-08
"Jim Wells",0,0,3,2,2020-10-08
"Johnson",0,1,7,11,2020-10-08
"Kaufman",0,0,5,16,2020-10-08
"Kendall",0,0,1,0,2020-10-08
"Kerr",0,0,1,3,2020-10-08
"Kleberg",0,0,0,1,2020-10-08
"Knox",0,0,0,1,2020-10-08
"Lamar",0,0,3,5,2020-10-08
"Lavaca",0,0,2,4,2020-10-08
"Lee",0,0,1,0,2020-10-08
"Liberty",0,0,2,7,2020-10-08
"Limestone",0,0,0,1,2020-10-08
"Llano",0,0,0,2,2020-10-08
"Lubbock",0,2,27,74,2020-10-08
"Marion",0,0,1,0,2020-10-08
"Martin",0,0,0,1,2020-10-08
"Matagorda",0,0,3,12,2020-10-08
"Maverick",0,0,3,5,2020-10-08
"McCulloch",0,0,0,2,2020-10-08
"McLennan",0,0,10,45,2020-10-08
"Medina",0,0,1,2,2020-10-08
"Midland",0,0,11,24,2020-10-08
"Mills",0,0,0,1,2020-10-08
"Montgomery",1,0,29,58,2020-10-08
"Morris",0,0,1,4,2020-10-08
"Nacogdoches",0,1,2,10,2020-10-08
"Navarro",0,0,3,5,2020-10-08
"Nolan",0,0,1,0,2020-10-08
"Nueces",0,0,24,65,2020-10-08
"Orange",0,0,8,1,2020-10-08
"Palo Pinto",0,1,2,5,2020-10-08
"Panola",0,0,5,1,2020-10-08
"Parker",0,0,2,15,2020-10-08
"Pecos",0,0,1,0,2020-10-08
"Polk",0,0,1,1,2020-10-08
"Potter",0,1,9,8,2020-10-08
"Randall",0,1,9,18,2020-10-08
"Robertson",0,0,0,2,2020-10-08
"Rockwall",0,1,11,8,2020-10-08
"Rusk",0,0,0,6,2020-10-08
"Sabine",0,0,0,2,2020-10-08
"San Jacinto",0,0,1,0,2020-10-08
"San Patricio",0,0,3,6,2020-10-08
"Scurry",0,0,3,0,2020-10-08
"Smith",0,0,18,35,2020-10-08
"Starr",0,0,4,4,2020-10-08
"Tarrant",1,4,89,189,2020-10-08
"Taylor",0,0,3,16,2020-10-08
"Terrell",0,0,0,1,2020-10-08
"Terry",0,0,0,1,2020-10-08
"Titus",0,0,2,5,2020-10-08
"Tom Green",0,0,9,21,2020-10-08
"Travis",0,0,49,99,2020-10-08
"Tyler",0,0,1,1,2020-10-08
"Upshur",0,0,3,1,2020-10-08
"Val Verde",0,0,3,4,2020-10-08
"Van Zandt",0,0,0,2,2020-10-08
"Victoria",0,0,9,6,2020-10-08
"Walker",0,0,2,12,2020-10-08
"Waller",0,0,0,2,2020-10-08
"Washington",0,0,1,3,2020-10-08
"Webb",0,0,21,29,2020-10-08
"Wharton",0,0,4,9,2020-10-08
"Wichita",0,0,1,18,2020-10-08
"Wilbarger",0,0,3,2,2020-10-08
"Willacy",0,0,1,0,2020-10-08
"Williamson",0,0,18,49,2020-10-08
"Wilson",0,0,2,4,2020-10-08
"Wise",1,0,3,2,2020-10-08
"Wood",0,0,0,2,2020-10-08
"Young",0,0,1,1,2020-10-08
"Anderson",0,0,1,4,2020-10-07
"Andrews",0,0,0,3,2020-10-07
"Angelina",0,2,4,16,2020-10-07
"Aransas",0,0,3,0,2020-10-07
"Archer",0,0,0,1,2020-10-07
"Atascosa",0,0,12,3,2020-10-07
"Austin",0,0,0,1,2020-10-07
"Bandera",0,0,1,2,2020-10-07
"Bastrop",0,0,3,4,2020-10-07
"Bee",0,0,0,1,2020-10-07
"Bell",0,0,14,34,2020-10-07
"Bexar",0,0,152,190,2020-10-07
"Blanco",0,1,0,1,2020-10-07
"Bowie",0,0,4,12,2020-10-07
"Brazoria",0,1,26,52,2020-10-07
"Brazos",0,0,13,47,2020-10-07
"Brewster",0,0,0,1,2020-10-07
"Brown",0,0,4,4,2020-10-07
"Burnet",0,0,1,2,2020-10-07
"Caldwell",0,0,3,2,2020-10-07
"Calhoun",0,0,3,5,2020-10-07
"Callahan",0,0,0,1,2020-10-07
"Cameron",0,0,35,33,2020-10-07
"Camp",0,0,2,1,2020-10-07
"Cass",0,0,2,9,2020-10-07
"Chambers",0,0,0,2,2020-10-07
"Cherokee",0,0,3,2,2020-10-07
"Clay",0,0,0,2,2020-10-07
"Collin",1,0,61,99,2020-10-07
"Colorado",0,0,1,7,2020-10-07
"Comal",0,0,11,16,2020-10-07
"Comanche",0,0,1,0,2020-10-07
"Cooke",1,0,3,0,2020-10-07
"Coryell",0,0,2,2,2020-10-07
"Dallam",0,0,1,1,2020-10-07
"Dallas",0,2,110,198,2020-10-07
"Dawson",0,0,0,6,2020-10-07
"Deaf Smith",0,0,0,3,2020-10-07
"Delta",0,0,1,0,2020-10-07
"Denton",1,1,53,91,2020-10-07
"DeWitt",0,0,0,1,2020-10-07
"Dimmit",0,0,3,0,2020-10-07
"Ector",0,0,11,20,2020-10-07
"El Paso",0,0,24,41,2020-10-07
"Ellis",0,0,12,20,2020-10-07
"Erath",0,0,1,3,2020-10-07
"Fannin",0,0,0,1,2020-10-07
"Fayette",0,0,0,1,2020-10-07
"Fort Bend",0,1,47,106,2020-10-07
"Franklin",1,0,1,3,2020-10-07
"Freestone",0,0,0,1,2020-10-07
"Frio",0,0,0,2,2020-10-07
"Galveston",0,0,33,53,2020-10-07
"Garza",0,1,0,1,2020-10-07
"Gonzales",0,0,1,1,2020-10-07
"Gray",0,1,0,3,2020-10-07
"Grayson",0,0,2,8,2020-10-07
"Gregg",0,1,10,24,2020-10-07
"Grimes",0,0,0,5,2020-10-07
"Guadalupe",0,0,10,15,2020-10-07
"Hale",0,0,0,2,2020-10-07
"Hardin",0,0,3,3,2020-10-07
"Harris",0,0,233,480,2020-10-07
"Harrison",0,0,1,10,2020-10-07
"Hays",0,1,6,25,2020-10-07
"Hemphill",0,0,1,0,2020-10-07
"Henderson",0,0,2,6,2020-10-07
"Hidalgo",0,0,67,62,2020-10-07
"Hill",0,0,2,1,2020-10-07
"Hockley",0,0,1,1,2020-10-07
"Hood",0,0,2,11,2020-10-07
"Hopkins",0,0,1,7,2020-10-07
"Howard",0,0,3,4,2020-10-07
"Hunt",0,0,2,5,2020-10-07
"Jackson",0,0,3,4,2020-10-07
"Jasper",0,0,0,1,2020-10-07
"Jefferson",0,0,7,11,2020-10-07
"Jim Wells",0,0,3,2,2020-10-07
"Johnson",0,0,7,10,2020-10-07
"Kaufman",0,0,5,16,2020-10-07
"Kendall",0,0,1,0,2020-10-07
"Kerr",0,0,1,3,2020-10-07
"Kleberg",0,0,0,1,2020-10-07
"Knox",0,0,0,1,2020-10-07
"Lamar",0,0,3,5,2020-10-07
"Lavaca",0,0,2,4,2020-10-07
"Lee",0,0,1,0,2020-10-07
"Liberty",0,0,2,7,2020-10-07
"Limestone",0,0,0,1,2020-10-07
"Llano",0,0,0,2,2020-10-07
"Lubbock",0,0,27,72,2020-10-07
"Marion",0,0,1,0,2020-10-07
"Martin",0,0,0,1,2020-10-07
"Matagorda",0,1,3,12,2020-10-07
"Maverick",0,0,3,5,2020-10-07
"McCulloch",0,0,0,2,2020-10-07
"McLennan",0,1,10,45,2020-10-07
"Medina",0,0,1,2,2020-10-07
"Midland",0,0,11,24,2020-10-07
"Mills",0,1,0,1,2020-10-07
"Montgomery",0,0,28,58,2020-10-07
"Morris",0,0,1,4,2020-10-07
"Nacogdoches",0,0,2,9,2020-10-07
"Navarro",0,0,3,5,2020-10-07
"Nolan",0,0,1,0,2020-10-07
"Nueces",0,0,24,65,2020-10-07
"Orange",0,0,8,1,2020-10-07
"Palo Pinto",0,0,2,4,2020-10-07
"Panola",0,0,5,1,2020-10-07
"Parker",0,0,2,15,2020-10-07
"Pecos",0,0,1,0,2020-10-07
"Polk",0,0,1,1,2020-10-07
"Potter",0,1,9,7,2020-10-07
"Randall",0,0,9,17,2020-10-07
"Robertson",0,0,0,2,2020-10-07
"Rockwall",0,0,11,7,2020-10-07
"Rusk",0,0,0,6,2020-10-07
"Sabine",0,0,0,2,2020-10-07
"San Jacinto",0,0,1,0,2020-10-07
"San Patricio",0,0,3,6,2020-10-07
"Scurry",0,0,3,0,2020-10-07
"Smith",0,1,18,35,2020-10-07
"Starr",1,0,4,4,2020-10-07
"Tarrant",0,3,88,185,2020-10-07
"Taylor",0,0,3,16,2020-10-07
"Terrell",0,0,0,1,2020-10-07
"Terry",0,0,0,1,2020-10-07
"Titus",0,0,2,5,2020-10-07
"Tom Green",0,0,9,21,2020-10-07
"Travis",0,1,49,99,2020-10-07
"Tyler",0,0,1,1,2020-10-07
"Upshur",0,0,3,1,2020-10-07
"Val Verde",0,0,3,4,2020-10-07
"Van Zandt",0,0,0,2,2020-10-07
"Victoria",0,0,9,6,2020-10-07
"Walker",0,0,2,12,2020-10-07
"Waller",0,0,0,2,2020-10-07
"Washington",0,0,1,3,2020-10-07
"Webb",0,0,21,29,2020-10-07
"Wharton",0,0,4,9,2020-10-07
"Wichita",0,3,1,18,2020-10-07
"Wilbarger",0,0,3,2,2020-10-07
"Willacy",0,0,1,0,2020-10-07
"Williamson",0,0,18,49,2020-10-07
"Wilson",0,0,2,4,2020-10-07
"Wise",0,0,2,2,2020-10-07
"Wood",0,0,0,2,2020-10-07
"Young",0,1,1,1,2020-10-07
"Anderson",0,0,1,4,2020-10-06
"Andrews",0,0,0,3,2020-10-06
"Angelina",0,0,4,14,2020-10-06
"Aransas",0,0,3,0,2020-10-06
"Archer",0,0,0,1,2020-10-06
"Atascosa",0,0,12,3,2020-10-06
"Austin",0,0,0,1,2020-10-06
"Bandera",0,0,1,2,2020-10-06
"Bastrop",0,0,3,4,2020-10-06
"Bee",0,0,0,1,2020-10-06
"Bell",0,0,14,34,2020-10-06
"Bexar",4,0,152,190,2020-10-06
"Bowie",0,0,4,12,2020-10-06
"Brazoria",0,0,26,51,2020-10-06
"Brazos",0,1,13,47,2020-10-06
"Brewster",0,0,0,1,2020-10-06
"Brown",0,0,4,4,2020-10-06
"Burnet",0,0,1,2,2020-10-06
"Caldwell",0,0,3,2,2020-10-06
"Calhoun",0,0,3,5,2020-10-06
"Callahan",0,0,0,1,2020-10-06
"Cameron",0,0,35,33,2020-10-06
"Camp",0,0,2,1,2020-10-06
"Cass",0,0,2,9,2020-10-06
"Chambers",0,0,0,2,2020-10-06
"Cherokee",1,1,3,2,2020-10-06
"Clay",0,0,0,2,2020-10-06
"Collin",0,1,60,99,2020-10-06
"Colorado",0,0,1,7,2020-10-06
"Comal",0,0,11,16,2020-10-06
"Comanche",0,0,1,0,2020-10-06
"Cooke",0,0,2,0,2020-10-06
"Coryell",0,0,2,2,2020-10-06
"Dallam",0,0,1,1,2020-10-06
"Dallas",0,0,110,196,2020-10-06
"Dawson",0,0,0,6,2020-10-06
"Deaf Smith",0,0,0,3,2020-10-06
"Delta",0,0,1,0,2020-10-06
"Denton",0,1,52,90,2020-10-06
"DeWitt",0,0,0,1,2020-10-06
"Dimmit",0,0,3,0,2020-10-06
"Ector",0,0,11,20,2020-10-06
"El Paso",1,0,24,41,2020-10-06
"Ellis",1,0,12,20,2020-10-06
"Erath",0,0,1,3,2020-10-06
"Fannin",0,0,0,1,2020-10-06
"Fayette",0,0,0,1,2020-10-06
"Fort Bend",0,0,47,105,2020-10-06
"Franklin",0,0,0,3,2020-10-06
"Freestone",0,0,0,1,2020-10-06
"Frio",0,0,0,2,2020-10-06
"Galveston",0,0,33,53,2020-10-06
"Gonzales",0,0,1,1,2020-10-06
"Gray",0,0,0,2,2020-10-06
"Grayson",0,0,2,8,2020-10-06
"Gregg",0,0,10,23,2020-10-06
"Grimes",0,0,0,5,2020-10-06
"Guadalupe",0,0,10,15,2020-10-06
"Hale",0,0,0,2,2020-10-06
"Hardin",0,0,3,3,2020-10-06
"Harris",5,0,233,480,2020-10-06
"Harrison",0,0,1,10,2020-10-06
"Hays",0,0,6,24,2020-10-06
"Hemphill",0,0,1,0,2020-10-06
"Henderson",0,0,2,6,2020-10-06
"Hidalgo",0,0,67,62,2020-10-06
"Hill",0,0,2,1,2020-10-06
"Hockley",0,0,1,1,2020-10-06
"Hood",0,0,2,11,2020-10-06
"Hopkins",0,1,1,7,2020-10-06
"Howard",0,0,3,4,2020-10-06
"Hunt",0,0,2,5,2020-10-06
"Jackson",0,0,3,4,2020-10-06
"Jasper",0,0,0,1,2020-10-06
"Jefferson",0,1,7,11,2020-10-06
"Jim Wells",0,0,3,2,2020-10-06
"Johnson",0,0,7,10,2020-10-06
"Kaufman",0,0,5,16,2020-10-06
"Kendall",0,0,1,0,2020-10-06
"Kerr",0,0,1,3,2020-10-06
"Kleberg",0,0,0,1,2020-10-06
"Knox",0,0,0,1,2020-10-06
"Lamar",0,0,3,5,2020-10-06
"Lavaca",0,0,2,4,2020-10-06
"Lee",0,0,1,0,2020-10-06
"Liberty",0,0,2,7,2020-10-06
"Limestone",0,0,0,1,2020-10-06
"Llano",0,0,0,2,2020-10-06
"Lubbock",0,2,27,72,2020-10-06
"Marion",0,0,1,0,2020-10-06
"Martin",0,0,0,1,2020-10-06
"Matagorda",0,0,3,11,2020-10-06
"Maverick",0,0,3,5,2020-10-06
"McCulloch",0,1,0,2,2020-10-06
"McLennan",0,0,10,44,2020-10-06
"Medina",0,0,1,2,2020-10-06
"Midland",0,0,11,24,2020-10-06
"Montgomery",0,1,28,58,2020-10-06
"Morris",0,0,1,4,2020-10-06
"Nacogdoches",0,0,2,9,2020-10-06
"Navarro",0,0,3,5,2020-10-06
