"County","Childcare_Child_Cases_Daily","Childcare_Employee_Cases_Daily","Childcare_Child_Cases_Cumulative","Childcare_Employee_Cases_Cumulative","Date"
"Scurry",0,1,3,2,2020-10-18
"Smith",0,0,19,36,2020-10-18
"Starr",0,0,4,4,2020-10-18
"Swisher",0,0,0,1,2020-10-18
"Tarrant",2,2,110,209,2020-10-18
"Taylor",1,0,4,21,2020-10-18
"Terrell",0,0,0,1,2020-10-18
"Terry",0,1,0,2,2020-10-18
"Titus",0,0,2,5,2020-10-18
"Tom Green",0,1,9,23,2020-10-18
"Travis",0,0,51,102,2020-10-18
"Tyler",0,0,2,2,2020-10-18
"Upshur",0,0,3,1,2020-10-18
"Val Verde",0,0,3,4,2020-10-18
"Van Zandt",0,0,0,2,2020-10-18
"Victoria",0,0,9,6,2020-10-18
"Walker",0,0,2,12,2020-10-18
"Waller",0,0,0,2,2020-10-18
"Washington",0,0,1,3,2020-10-18
"Webb",0,0,21,29,2020-10-18
"Wharton",0,0,4,9,2020-10-18
"Wichita",0,0,3,21,2020-10-18
"Wilbarger",0,0,3,3,2020-10-18
"Willacy",0,0,1,0,2020-10-18
"Williamson",2,1,23,50,2020-10-18
"Wilson",0,0,2,4,2020-10-18
"Wise",1,0,6,2,2020-10-18
"Wood",0,0,0,3,2020-10-18
"Young",0,0,1,1,2020-10-18
"Anderson",0,0,1,4,2020-10-15
"Andrews",0,0,0,3,2020-10-15
"Angelina",0,2,4,18,2020-10-15
"Aransas",0,0,3,0,2020-10-15
"Archer",0,1,0,2,2020-10-15
"Atascosa",0,0,12,3,2020-10-15
"Austin",0,0,0,1,2020-10-15
"Bandera",0,0,1,2,2020-10-15
"Bastrop",0,0,3,4,2020-10-15
"Bee",0,0,0,1,2020-10-15
"Bell",0,0,17,34,2020-10-15
"Bexar",0,0,156,195,2020-10-15
"Blanco",0,0,0,1,2020-10-15
"Bowie",0,0,4,13,2020-10-15
"Brazoria",0,0,27,54,2020-10-15
"Brazos",0,0,14,47,2020-10-15
"Brewster",0,0,0,1,2020-10-15
"Brown",0,0,4,4,2020-10-15
"Burnet",0,0,1,2,2020-10-15
"Caldwell",0,0,3,2,2020-10-15
"Calhoun",0,0,3,5,2020-10-15
"Callahan",0,0,0,1,2020-10-15
"Cameron",0,0,36,33,2020-10-15
"Camp",0,0,2,1,2020-10-15
"Cass",0,0,2,9,2020-10-15
"Chambers",0,0,2,3,2020-10-15
"Cherokee",0,0,4,2,2020-10-15
"Clay",0,0,0,2,2020-10-15
"Collin",0,0,63,107,2020-10-15
"Colorado",0,0,1,7,2020-10-15
"Comal",2,0,13,16,2020-10-15
"Comanche",0,0,1,0,2020-10-15
"Cooke",0,0,3,0,2020-10-15
"Coryell",0,0,2,2,2020-10-15
"Dallam",0,0,1,1,2020-10-15
"Dallas",1,4,121,214,2020-10-15
"Dawson",0,0,0,6,2020-10-15
"Deaf Smith",0,0,0,4,2020-10-15
"Delta",0,0,1,0,2020-10-15
"Denton",0,0,59,101,2020-10-15
"DeWitt",0,0,0,1,2020-10-15
"Dimmit",0,0,3,0,2020-10-15
"Ector",1,0,13,24,2020-10-15
"El Paso",2,1,35,45,2020-10-15
"Ellis",0,0,15,21,2020-10-15
"Erath",0,0,2,3,2020-10-15
"Falls",0,0,0,2,2020-10-15
"Fannin",0,0,0,1,2020-10-15
"Fayette",0,0,0,1,2020-10-15
"Fort Bend",0,0,49,108,2020-10-15
"Franklin",0,0,2,3,2020-10-15
"Freestone",0,0,0,1,2020-10-15
"Frio",0,0,0,2,2020-10-15
"Galveston",0,0,33,55,2020-10-15
"Garza",0,0,0,2,2020-10-15
"Gonzales",0,0,1,1,2020-10-15
"Gray",0,0,0,4,2020-10-15
"Grayson",0,0,2,8,2020-10-15
"Gregg",0,2,11,29,2020-10-15
"Grimes",0,0,0,5,2020-10-15
"Guadalupe",0,0,10,15,2020-10-15
"Hale",0,0,0,2,2020-10-15
"Hall",0,0,0,1,2020-10-15
"Hardin",0,0,3,3,2020-10-15
"Harris",0,1,243,487,2020-10-15
"Harrison",0,0,1,10,2020-10-15
"Hartley",0,0,0,1,2020-10-15
"Hays",0,0,6,25,2020-10-15
"Hemphill",0,0,1,0,2020-10-15
"Henderson",0,0,3,6,2020-10-15
"Hidalgo",2,0,72,65,2020-10-15
"Hill",0,0,2,1,2020-10-15
"Hockley",0,0,1,1,2020-10-15
"Hood",0,0,2,11,2020-10-15
"Hopkins",0,0,1,7,2020-10-15
"Howard",0,0,3,4,2020-10-15
"Hunt",0,1,3,6,2020-10-15
"Hutchinson",0,0,0,1,2020-10-15
"Jackson",0,0,3,4,2020-10-15
"Jasper",0,0,0,1,2020-10-15
"Jefferson",0,0,7,13,2020-10-15
"Jim Wells",0,0,3,2,2020-10-15
"Johnson",0,0,7,14,2020-10-15
"Kaufman",1,0,6,17,2020-10-15
"Kendall",0,0,1,0,2020-10-15
"Kerr",0,0,1,3,2020-10-15
"Kleberg",0,0,0,1,2020-10-15
"Knox",0,0,0,1,2020-10-15
"Lamar",0,0,5,6,2020-10-15
"Lamb",0,0,0,1,2020-10-15
"Lavaca",0,0,2,5,2020-10-15
"Lee",0,0,1,0,2020-10-15
"Liberty",0,0,2,12,2020-10-15
"Limestone",0,0,0,1,2020-10-15
"Llano",0,0,0,2,2020-10-15
"Lubbock",0,2,29,85,2020-10-15
"Marion",0,0,1,0,2020-10-15
"Martin",0,0,0,1,2020-10-15
"Matagorda",0,0,3,12,2020-10-15
"Maverick",0,0,3,5,2020-10-15
"McCulloch",0,0,0,2,2020-10-15
"McLennan",0,0,10,45,2020-10-15
"Medina",0,0,1,2,2020-10-15
"Midland",1,1,12,26,2020-10-15
"Mills",0,0,0,1,2020-10-15
"Montgomery",0,0,31,61,2020-10-15
"Morris",0,0,1,4,2020-10-15
"Nacogdoches",0,0,2,10,2020-10-15
"Navarro",0,0,6,5,2020-10-15
"Nolan",0,0,1,0,2020-10-15
"Nueces",0,0,28,65,2020-10-15
"Ochiltree",0,1,0,2,2020-10-15
"Oldham",0,0,1,0,2020-10-15
"Orange",0,0,8,1,2020-10-15
"Palo Pinto",0,0,2,5,2020-10-15
"Panola",0,0,5,2,2020-10-15
"Parker",0,0,3,15,2020-10-15
"Pecos",0,0,1,0,2020-10-15
"Polk",0,0,1,2,2020-10-15
"Potter",0,1,10,13,2020-10-15
"Randall",0,0,10,20,2020-10-15
"Robertson",0,0,0,2,2020-10-15
"Rockwall",0,0,11,8,2020-10-15
"Rusk",0,0,0,6,2020-10-15
"Sabine",0,0,0,2,2020-10-15
"San Jacinto",0,0,1,0,2020-10-15
"San Patricio",0,0,3,6,2020-10-15
"Scurry",0,0,3,1,2020-10-15
"Smith",0,0,19,36,2020-10-15
"Starr",0,0,4,4,2020-10-15
"Swisher",0,0,0,1,2020-10-15
"Tarrant",2,3,108,207,2020-10-15
"Taylor",0,0,3,21,2020-10-15
"Terrell",0,0,0,1,2020-10-15
"Terry",0,0,0,1,2020-10-15
"Titus",0,0,2,5,2020-10-15
"Tom Green",0,0,9,22,2020-10-15
"Travis",0,1,51,102,2020-10-15
"Tyler",0,0,2,2,2020-10-15
"Upshur",0,0,3,1,2020-10-15
"Val Verde",0,0,3,4,2020-10-15
"Van Zandt",0,0,0,2,2020-10-15
"Victoria",0,0,9,6,2020-10-15
"Walker",0,0,2,12,2020-10-15
"Waller",0,0,0,2,2020-10-15
"Washington",0,0,1,3,2020-10-15
"Webb",0,0,21,29,2020-10-15
"Wharton",0,0,4,9,2020-10-15
"Wichita",1,0,3,21,2020-10-15
"Wilbarger",0,1,3,3,2020-10-15
"Willacy",0,0,1,0,2020-10-15
"Williamson",0,0,21,49,2020-10-15
"Wilson",0,0,2,4,2020-10-15
"Wise",0,0,5,2,2020-10-15
"Wood",0,0,0,3,2020-10-15
"Young",0,0,1,1,2020-10-15
"Anderson",0,0,1,4,2020-10-14
"Andrews",0,0,0,3,2020-10-14
"Angelina",0,0,4,16,2020-10-14
"Aransas",0,0,3,0,2020-10-14
"Archer",0,0,0,1,2020-10-14
"Atascosa",0,0,12,3,2020-10-14
"Austin",0,0,0,1,2020-10-14
"Bandera",0,0,1,2,2020-10-14
"Bastrop",0,0,3,4,2020-10-14
"Bee",0,0,0,1,2020-10-14
"Bell",0,0,17,34,2020-10-14
"Bexar",0,1,156,195,2020-10-14
"Blanco",0,0,0,1,2020-10-14
"Bowie",0,0,4,13,2020-10-14
"Brazoria",0,0,27,54,2020-10-14
"Brazos",0,0,14,47,2020-10-14
"Brewster",0,0,0,1,2020-10-14
"Brown",0,0,4,4,2020-10-14
"Burnet",0,0,1,2,2020-10-14
"Caldwell",0,0,3,2,2020-10-14
"Calhoun",0,0,3,5,2020-10-14
"Callahan",0,0,0,1,2020-10-14
"Cameron",0,0,36,33,2020-10-14
"Camp",0,0,2,1,2020-10-14
"Cass",0,0,2,9,2020-10-14
"Chambers",0,0,2,3,2020-10-14
"Cherokee",1,0,4,2,2020-10-14
"Clay",0,0,0,2,2020-10-14
"Collin",0,0,63,107,2020-10-14
"Colorado",0,0,1,7,2020-10-14
"Comal",0,0,11,16,2020-10-14
"Comanche",0,0,1,0,2020-10-14
"Cooke",0,0,3,0,2020-10-14
"Coryell",0,0,2,2,2020-10-14
"Dallam",0,0,1,1,2020-10-14
"Dallas",2,4,120,210,2020-10-14
"Dawson",0,0,0,6,2020-10-14
"Deaf Smith",0,0,0,4,2020-10-14
"Delta",0,0,1,0,2020-10-14
"Denton",3,2,59,101,2020-10-14
"DeWitt",0,0,0,1,2020-10-14
"Dimmit",0,0,3,0,2020-10-14
"Ector",1,0,12,24,2020-10-14
"El Paso",3,0,33,44,2020-10-14
"Ellis",0,1,15,21,2020-10-14
"Erath",0,0,2,3,2020-10-14
"Falls",0,2,0,2,2020-10-14
"Fannin",0,0,0,1,2020-10-14
"Fayette",0,0,0,1,2020-10-14
"Fort Bend",1,0,49,108,2020-10-14
