"District","LEA","County"
"Blanco ISD","16902","Blanco"
"Blanco ISD","16902","Comal"
"Blanco ISD","16902","Gillespie"
"Blanco ISD","16902","Hays"
"Blanco ISD","16902","Kendall"
"Bland ISD","116915","Collin"
"Bland ISD","116915","Hunt"
"Blanket ISD","25904","Brown"
"Blanket ISD","25904","Comanche"
"Bloomburg ISD","34909","Cass"
"Blooming Grove ISD","175902","Ellis"
"Blooming Grove ISD","175902","Navarro"
"Bloomington ISD","235901","Calhoun"
"Bloomington ISD","235901","Jackson"
"Bloomington ISD","235901","Victoria"
"Blue Ridge ISD","43917","Collin"
"Blue Ridge ISD","43917","Fannin"
"Blue Ridge ISD","43917","Hunt"
"Bluff Dale ISD","72904","Erath"
"Bluff Dale ISD","72904","Hood"
"Blum ISD","109913","Bosque"
"Blum ISD","109913","Hill"
"Blum ISD","109913","Johnson"
"Boerne ISD","130901","Bandera"
"Boerne ISD","130901","Bexar"
"Boerne ISD","130901","Comal"
"Boerne ISD","130901","Kendall"
"Boerne ISD","130901","Kerr"
"Boerne ISD","130901","Medina"
"Boles ISD","116916","Hunt"
"Boling ISD","241901","Brazoria"
"Boling ISD","241901","Fort Bend"
"Boling ISD","241901","Matagorda"
"Boling ISD","241901","Wharton"
"Bonham ISD","74903","Fannin"
"Bonham ISD","74903","Hunt"
"Booker ISD","148901","Hemphill"
"Booker ISD","148901","Lipscomb"
"Booker ISD","148901","Ochiltree"
"Booker ISD","148901","Roberts"
"Borden County ISD","17901","Borden"
"Borden County ISD","17901","Dawson"
"Borden County ISD","17901","Garza"
"Borden County ISD","17901","Howard"
"Borden County ISD","17901","Lynn"
"Borden County ISD","17901","Mitchell"
"Borden County ISD","17901","Scurry"
"Borger ISD","117901","Carson"
"Borger ISD","117901","Hutchinson"
"Bosqueville ISD","161923","McLennan"
"Bovina ISD","185901","Parmer"
"Bowie ISD","169901","Clay"
"Bowie ISD","169901","Jack"
"Bowie ISD","169901","Montague"
"Bowie ISD","169901","Wise"
"Boyd ISD","249902","Wise"
"Boys Ranch ISD","180901","Oldham"
"Brackett ISD","136901","Edwards"
"Brackett ISD","136901","Kinney"
"Brackett ISD","136901","Maverick"
"Brackett ISD","136901","Uvalde"
"Brackett ISD","136901","Val Verde"
"Brackett ISD","136901","Zavala"
"Brady ISD","160901","Coleman"
"Brady ISD","160901","Concho"
"Brady ISD","160901","Mason"
"Brady ISD","160901","McCulloch"
"Brady ISD","160901","Menard"
"Brady ISD","160901","San Saba"
"Brazos ISD","8903","Austin"
"Brazos ISD","8903","Colorado"
"Brazos ISD","8903","Fort Bend"
"Brazos ISD","8903","Wharton"
"Brazosport ISD","20905","Brazoria"
"Brazosport ISD","20905","Galveston"
"Breckenridge ISD","215901","Eastland"
"Breckenridge ISD","215901","Palo Pinto"
"Breckenridge ISD","215901","Shackelford"
"Breckenridge ISD","215901","Stephens"
"Breckenridge ISD","215901","Throckmorton"
"Breckenridge ISD","215901","Young"
"Bremond ISD","198901","Falls"
"Bremond ISD","198901","Limestone"
"Bremond ISD","198901","Milam"
"Bremond ISD","198901","Robertson"
"Brenham ISD","239901","Austin"
"Brenham ISD","239901","Brazos"
"Brenham ISD","239901","Burleson"
"Brenham ISD","239901","Grimes"
"Brenham ISD","239901","Waller"
"Brenham ISD","239901","Washington"
"Bridge City ISD","181901","Jefferson"
"Bridge City ISD","181901","Orange"
"Bridgeport ISD","249903","Jack"
"Bridgeport ISD","249903","Wise"
"Broaddus ISD","203902","Angelina"
"Broaddus ISD","203902","Jasper"
"Broaddus ISD","203902","Nacogdoches"
"Broaddus ISD","203902","Sabine"
"Broaddus ISD","203902","San Augustine"
"Brock ISD","184909","Hood"
"Brock ISD","184909","Parker"
"Bronte ISD","41901","Coke"
"Bronte ISD","41901","Runnels"
"Bronte ISD","41901","Tom Green"
"Brookeland ISD","121902","Jasper"
"Brookeland ISD","121902","Newton"
"Brookeland ISD","121902","Sabine"
"Brookeland ISD","121902","San Augustine"
"Brookesmith ISD","25908","Brown"
"Brookesmith ISD","25908","Coleman"
"Brookesmith ISD","25908","McCulloch"
"Brookesmith ISD","25908","Mills"
"Brookesmith ISD","25908","San Saba"
"Brooks County ISD","24901","Brooks"
"Brooks County ISD","24901","Duval"
"Brooks County ISD","24901","Hidalgo"
"Brooks County ISD","24901","Jim Hogg"
"Brooks County ISD","24901","Jim Wells"
"Brooks County ISD","24901","Kenedy"
"Brooks County ISD","24901","Kleberg"
"Brooks County ISD","24901","Starr"
"Brownfield ISD","223901","Cochran"
"Brownfield ISD","223901","Hockley"
"Brownfield ISD","223901","Terry"
"Brownfield ISD","223901","Yoakum"
"Brownsboro ISD","107902","Cherokee"
"Brownsboro ISD","107902","Henderson"
"Brownsboro ISD","107902","Smith"
"Brownsboro ISD","107902","Van Zandt"
"Brownsville ISD","31901","Cameron"
"Brownwood ISD","25902","Brown"
"Brownwood ISD","25902","Mills"
"Bruceville-Eddy ISD","161919","Bell"
"Bruceville-Eddy ISD","161919","Falls"
"Bruceville-Eddy ISD","161919","McLennan"
"Bryan ISD","21902","Brazos"
"Bryan ISD","21902","Burleson"
"Bryan ISD","21902","Grimes"
"Bryan ISD","21902","Leon"
"Bryan ISD","21902","Madison"
"Bryan ISD","21902","Robertson"
"Bryson ISD","119901","Jack"
"Bryson ISD","119901","Palo Pinto"
"Bryson ISD","119901","Young"
"Buckholts ISD","166907","Bell"
"Buckholts ISD","166907","Milam"
"Buena Vista ISD","186901","Crane"
"Buena Vista ISD","186901","Pecos"
"Buena Vista ISD","186901","Reeves"
"Buena Vista ISD","186901","Ward"
"Buffalo ISD","145901","Freestone"
"Buffalo ISD","145901","Leon"
"Bullard ISD","212902","Anderson"
"Bullard ISD","212902","Cherokee"
"Bullard ISD","212902","Henderson"
"Bullard ISD","212902","Smith"
"Buna ISD","121903","Hardin"
"Buna ISD","121903","Jasper"
"Buna ISD","121903","Newton"
"Buna ISD","121903","Orange"
"Buna ISD","121903","Tyler"
"Burkburnett ISD","243901","Clay"
"Burkburnett ISD","243901","Wichita"
"Burkeville ISD","176901","Jasper"
"Burkeville ISD","176901","Newton"
"Burkeville ISD","176901","Sabine"
"Burleson ISD","126902","Johnson"
"Burleson ISD","126902","Tarrant"
"Burnet Cons ISD","27903","Bell"
"Burnet Cons ISD","27903","Burnet"
"Burnet Cons ISD","27903","Lampasas"
"Burnet Cons ISD","27903","Llano"
"Burnet Cons ISD","27903","San Saba"
"Burnet Cons ISD","27903","Travis"
"Burnet Cons ISD","27903","Williamson"
"Burton ISD","239903","Austin"
"Burton ISD","239903","Burleson"
"Burton ISD","239903","Fayette"
"Burton ISD","239903","Lee"
"Burton ISD","239903","Washington"
"Bushland ISD","188904","Deaf Smith"
"Bushland ISD","188904","Moore"
"Bushland ISD","188904","Oldham"
"Bushland ISD","188904","Potter"
"Bushland ISD","188904","Randall"
"Bynum ISD","109902","Ellis"
"Bynum ISD","109902","Hill"
