"County Number","County Name","All Intersecting School Districts ->"
001,ANDERSON,Alto ISD,Athens ISD,Bullard ISD,Cayuga ISD,Cross Roads ISD,Elkhart ISD,Fairfield ISD,Frankston ISD,Grapeland ISD,Jacksonville ISD,Lapoynor ISD,Neches ISD,Oakwood ISD,Palestine ISD,Rusk ISD,Slocum ISD,Westwood ISD
002,ANDREWS,Andrews ISD,Ector County ISD,Grady ISD,Kermit ISD,Klondike ISD,Midland ISD,Seminole ISD,Stanton ISD
003,ANGELINA,Apple Springs ISD,Broaddus ISD,Centerville ISD (Trinity),Central ISD,Chester ISD,Colmesneil ISD,Corrigan-Camden ISD,Diboll ISD,Etoile ISD,Hudson ISD,Huntington ISD,Jasper ISD,Kennard ISD,Lufkin ISD,Nacogdoches ISD,Wells ISD,Woden ISD,Zavalla ISD
004,ARANSAS,Aransas County ISD,Aransas Pass ISD,Austwell-Tivoli ISD,Calhoun County ISD,Gregory-Portland ISD,Port Aransas ISD,Refugio ISD,Sinton ISD,Woodsboro ISD
005,ARCHER,Archer City ISD,Electra ISD,Graham ISD,Harrold ISD,Henrietta ISD,Holliday ISD,Iowa Park Cons ISD,Jacksboro ISD,Midway ISD (Clay),Olney ISD,Seymour ISD,Wichita Falls ISD,Windthorst ISD
006,ARMSTRONG,Canyon ISD,Clarendon ISD,Claude ISD,Groom ISD,Happy ISD,Highland Park ISD (Potter),Panhandle ISD,Silverton ISD
007,ATASCOSA,Charlotte ISD,Cotulla ISD,Devine ISD,Falls City ISD,Floresville ISD,Jourdanton ISD,Karnes City ISD,Lytle ISD,McMullen County ISD,Natalia ISD,Pearsall ISD,Pleasanton ISD,Poteet ISD,Poth ISD,Somerset ISD,Southside ISD,Southwest ISD,Three Rivers ISD
008,AUSTIN,Bellville ISD,Brazos ISD,Brenham ISD,Burton ISD,Columbus ISD,East Bernard ISD,Fayetteville ISD,Hempstead ISD,Lamar Cons ISD,Rice Cons ISD,Round Top-Carmine ISD,Royal ISD,Sealy ISD
009,BAILEY,Farwell ISD,Lazbuddie ISD,Littlefield ISD,Morton ISD,Muleshoe ISD,Sudan ISD,Whiteface Cons ISD
010,BANDERA,Bandera ISD,Boerne ISD,Center Point ISD,Comfort ISD,D'Hanis ISD,Divide ISD,Hondo ISD,Hunt ISD,Kerrville ISD,Leakey ISD,Medina ISD,Medina Valley ISD,Northside ISD (Bexar),Utopia ISD
011,BASTROP,Bastrop ISD,Coupland ISD,Del Valle ISD,Elgin ISD,Flatonia ISD,Giddings ISD,La Grange ISD,Lexington ISD,Lockhart ISD,Manor ISD,McDade ISD,Smithville ISD,Waelder ISD
012,BAYLOR,Benjamin ISD,Crowell ISD,Harrold ISD,Holliday ISD,Iowa Park Cons ISD,Munday Cons ISD,Olney ISD,Seymour ISD,Throckmorton ISD,Vernon ISD
013,BEE,Beeville ISD,George West ISD,Goliad ISD,Kenedy ISD,Mathis ISD,Pawnee ISD,Pettus ISD,Refugio ISD,Sinton ISD,Skidmore-Tynan ISD,Three Rivers ISD,Woodsboro ISD
014,BELL,Academy ISD,Bartlett ISD,Belton ISD,Bruceville-Eddy ISD,Buckholts ISD,Burnet Cons ISD,Cameron ISD,Copperas Cove ISD,Florence ISD,Gatesville ISD,Holland ISD,Jarrell ISD,Killeen ISD,Lampasas ISD,Moody ISD,Rogers ISD,Rosebud-Lott ISD,Salado ISD,Temple ISD,Troy ISD,Westphalia ISD
015,BEXAR,Alamo Heights ISD,Bandera ISD,Boerne ISD,Comal ISD,East Central ISD,Edgewood ISD (Bexar),Floresville ISD,Fort Sam Houston ISD,Harlandale ISD,Judson ISD,La Vernia ISD,Lackland ISD,Lytle ISD,Marion ISD,Medina Valley ISD,North East ISD,Northside ISD (Bexar),Pleasanton ISD,Poteet ISD,Randolph Field ISD,San Antonio ISD,Schertz-Cibolo-Universal City ISD,Somerset ISD,South San Antonio ISD,Southside ISD,Southwest ISD
016,BLANCO,Blanco ISD,Comal ISD,Dripping Springs ISD,Fredericksburg ISD,Johnson City ISD,Llano ISD,Marble Falls ISD
017,BORDEN,Big Spring ISD,Borden County ISD,Coahoma ISD,Lamesa ISD,O'Donnell ISD,Post ISD,Sands Consolidated ISD,Snyder ISD
018,BOSQUE,Aquilla ISD,Blum ISD,China Spring ISD,Cleburne ISD,Clifton ISD,Cranfills Gap ISD,Crawford ISD,Gatesville ISD,Glen Rose ISD,Hamilton ISD,Hico ISD,Iredell ISD,Jonesboro ISD,Kopperl ISD,Meridian ISD,Morgan ISD,Rio Vista ISD,Valley Mills ISD,Walnut Springs ISD,Whitney ISD
019,BOWIE,Atlanta ISD,Avery ISD,De Kalb ISD,Hooks ISD,Hubbard ISD (Bowie),Leary ISD,Liberty-Eylau ISD,Malta ISD,Maud ISD,New Boston ISD,Pewitt Cons ISD,Pleasant Grove ISD,Queen City ISD,Red Lick ISD,Redwater ISD,Simms ISD,Texarkana ISD
020,BRAZORIA,Alvin ISD,Angleton ISD,Boling ISD,Brazosport ISD,Clear Creek ISD,Columbia-Brazoria ISD,Damon ISD,Danbury ISD,Fort Bend ISD,Friendswood ISD,Galveston ISD,Hitchcock ISD,Houston ISD,Lamar Cons ISD,Needville ISD,Pasadena ISD,Pearland ISD,Santa Fe ISD,Sweeny ISD,Van Vleck ISD
021,BRAZOS,Anderson-Shiro Cons ISD,Brenham ISD,Bryan ISD,Caldwell ISD,College Station ISD,Franklin ISD,Hearne ISD,Iola ISD,Mumford ISD,Navasota ISD,Normangee ISD,North Zulch ISD,Snook ISD
022,BREWSTER,Alpine ISD,Fort Davis ISD,Fort Stockton ISD,Marathon ISD,Marfa ISD,San Vicente ISD,Terlingua CSD,Terrell County ISD
023,BRISCOE,Clarendon ISD,Claude ISD,Floydada ISD,Happy ISD,Kress ISD,Lockney ISD,Memphis ISD,Motley County ISD,Silverton ISD,Tulia ISD,Turkey-Quitaque ISD
024,BROOKS,Brooks County ISD,Edinburg Cons ISD,Jim Hogg County ISD,Kenedy County-Wide CSD,La Gloria ISD,Ramirez CSD,San Isidro ISD,Santa Gertrudis ISD
025,BROWN,Bangs ISD,Blanket ISD,Brookesmith ISD,Brownwood ISD,Coleman ISD,Comanche ISD,Cross Plains ISD,Early ISD,May ISD,Mullin ISD,Richland Springs ISD,Rising Star ISD,Rochelle ISD,Santa Anna ISD,Sidney ISD,Zephyr ISD
026,BURLESON,Brenham ISD,Bryan ISD,Burton ISD,Caldwell ISD,College Station ISD,Dime Box ISD,Gause ISD,Giddings ISD,Lexington ISD,Milano ISD,Mumford ISD,Navasota ISD,Rockdale ISD,Snook ISD,Somerville ISD
027,BURNET,Burnet Cons ISD,Copperas Cove ISD,Florence ISD,Johnson City ISD,Killeen ISD,Lampasas ISD,Leander ISD,Liberty Hill ISD,Llano ISD,Marble Falls ISD,San Saba ISD
028,CALDWELL,Bastrop ISD,Del Valle ISD,Flatonia ISD,Gonzales ISD,Hays Cons ISD,Lockhart ISD,Luling ISD,Prairie Lea ISD,San Marcos Cons ISD,Seguin ISD,Smithville ISD,Waelder ISD
029,CALHOUN,Aransas County ISD,Austwell-Tivoli ISD,Bloomington ISD,Calhoun County ISD,Industrial ISD,Palacios ISD,Refugio ISD
030,CALLAHAN,Baird ISD,Cisco ISD,Clyde Cons ISD,Coleman ISD,Cross Plains ISD,Eula ISD,Jim Ned Cons ISD,Moran ISD,Wylie ISD (Taylor)
031,CAMERON,Brownsville ISD,Harlingen Cons ISD,La Feria ISD,La Villa ISD,Los Fresnos Cons ISD,Lyford Cons ISD,Mercedes ISD,Point Isabel ISD,Rio Hondo ISD,San Benito Cons ISD,Santa Maria ISD,Santa Rosa ISD
032,CAMP,Chapel Hill ISD (Titus),Daingerfield-Lone Star ISD,Gilmer ISD,Mount Pleasant ISD,Mount Vernon ISD,Pittsburg ISD,Union Hill ISD,Winnsboro ISD
033,CARSON,Borger ISD,Canyon ISD,Claude ISD,Dumas ISD,Grandview-Hopkins ISD,Groom ISD,Highland Park ISD (Potter),Pampa ISD,Panhandle ISD,Sanford-Fritch ISD,Spring Creek ISD,White Deer ISD
034,CASS,Atlanta ISD,Avinger ISD,Bloomburg ISD,Daingerfield-Lone Star ISD,De Kalb ISD,Hughes Springs ISD,Jefferson ISD,Liberty-Eylau ISD,Linden-Kildare Cons ISD,Maud ISD,McLeod ISD,New Boston ISD,Pewitt Cons ISD,Queen City ISD,Redwater ISD,Simms ISD
035,CASTRO,Canyon ISD,Dimmitt ISD,Friona ISD,Happy ISD,Hart ISD,Hereford ISD,Kress ISD,Lazbuddie ISD,Nazareth ISD,Olton ISD,Plainview ISD,Springlake-Earth ISD,Tulia ISD
