"LEA","District","County"
30902,"Clyde Cisd","Callahan,Coleman,Jones,Shackelford,Taylor"
30903,"Baird ISD","Callahan,Coleman,Eastland,Shackelford"
30906,"Eula ISD","Callahan,Shackelford,Taylor"
31901,"Brownsville ISD","Cameron"
31903,"Harlingen Cisd","Cameron,Willacy"
31905,"La Feria ISD","Cameron,Hidalgo"
31906,"Los Fresnos Cisd","Cameron,Willacy"
31909,"Point Isabel ISD","Cameron,Willacy"
31911,"Rio Hondo ISD","Cameron,Willacy"
31912,"San Benito Cisd","Cameron"
31913,"Santa Maria ISD","Cameron,Hidalgo"
31914,"Santa Rosa ISD","Cameron,Hidalgo"
32902,"Pittsburg ISD","Camp,Franklin,Morris,Titus,Upshur,Wood"
33901,"Groom ISD","Armstrong,Carson,Donley,Gray"
33902,"Panhandle ISD","Armstrong,Carson,Hutchinson,Moore,Potter,Randall"
33904,"White Deer ISD","Carson,Gray,Hutchinson,Roberts"
34901,"Atlanta ISD","Bowie,Cass"
34902,"Avinger ISD","Cass,Marion,Morris"
34903,"Hughes Springs ISD","Cass,Morris"
34905,"Linden-Kildare Cisd","Cass,Marion"
34906,"Mcleod ISD","Cass,Marion"
34907,"Queen City ISD","Bowie,Cass"
34909,"Bloomburg ISD","Cass"
35901,"Dimmitt ISD","Castro,Deaf Smith,Parmer,Randall"
35902,"Hart ISD","Castro,Hale,Lamb,Swisher"
35903,"Nazareth ISD","Castro,Swisher"
36901,"Anahuac ISD","Chambers,Galveston,Liberty"
36902,"Barbers Hill ISD","Chambers,Galveston,Harris,Liberty"
36903,"East Chambers ISD","Chambers,Galveston,Jefferson,Liberty"
37901,"Alto ISD","Anderson,Cherokee,Houston,Nacogdoches"
37904,"Jacksonville ISD","Anderson,Cherokee"
37907,"Rusk ISD","Anderson,Cherokee,Nacogdoches,Rusk"
37908,"New Summerfield ISD","Cherokee,Rusk"
37909,"Wells ISD","Angelina,Cherokee,Houston,Nacogdoches"
38901,"Childress ISD","Childress,Cottle,Foard,Hall,Hardeman"
39902,"Henrietta ISD","Archer,Clay,Wichita"
39903,"Petrolia Cisd","Clay,Wichita"
39904,"Bellevue ISD","Clay,Montague"
39905,"Midway ISD","Archer,Clay,Jack"
40901,"Morton ISD","Bailey,Cochran"
40902,"Whiteface Cisd","Bailey,Cochran,Hockley,Lamb,Terry,Yoakum"
41901,"Bronte ISD","Coke,Runnels,Tom Green"
41902,"Robert Lee ISD","Coke,Mitchell,Nolan,Sterling,Tom Green"
42901,"Coleman ISD","Brown,Callahan,Coleman,Runnels,Taylor"
42903,"Santa Anna ISD","Brown,Coleman,McCulloch"
42905,"Panther Creek Cisd","Coleman,Concho,McCulloch,Runnels"
43901,"Allen ISD","Collin"
43902,"Anna ISD","Collin,Grayson"
43903,"Celina ISD","Collin,Denton,Grayson"
43904,"Farmersville ISD","Collin,Hunt"
43905,"Frisco ISD","Collin,Denton"
43907,"Mckinney ISD","Collin"
43908,"Melissa ISD","Collin"
43910,"Plano ISD","Collin,Dallas"
43911,"Princeton ISD","Collin"
43912,"Prosper ISD","Collin,Denton"
43914,"Wylie ISD","Collin,Dallas,Rockwall"
43917,"Blue Ridge ISD","Collin,Fannin,Hunt"
43918,"Community ISD","Collin,Hunt,Rockwall"
43919,"Lovejoy ISD","Collin"
44902,"Wellington ISD","Childress,Collingsworth,Donley,Hall,Wheeler"
45902,"Columbus ISD","Austin,Colorado,Fayette"
45903,"Rice Cisd","Austin,Colorado,Lavaca,Wharton"
45905,"Weimar ISD","Colorado,Fayette,Lavaca"
46901,"New Braunfels ISD","Comal,Guadalupe"
46902,"Comal ISD","Bexar,Blanco,Comal,Guadalupe,Hays,Kendall"
47901,"Comanche ISD","Brown,Comanche,Erath,Mills"
47902,"De Leon ISD","Comanche,Eastland,Erath"
47903,"Gustine ISD","Comanche,Hamilton"
47905,"Sidney ISD","Brown,Comanche"
48901,"Eden Cisd","Concho,Menard,Schleicher,Tom Green"
48903,"Paint Rock ISD","Coleman,Concho,Runnels,Tom Green"
49901,"Gainesville ISD","Cooke"
49902,"Muenster ISD","Cooke,Montague"
49903,"Valley View ISD","Cooke,Denton"
49905,"Callisburg ISD","Cooke,Grayson"
49906,"Era ISD","Cooke,Denton,Montague"
49907,"Lindsay ISD","Cooke"
49908,"Walnut Bend ISD","Cooke"
49909,"Sivells Bend ISD","Cooke"
50901,"Evant ISD","Coryell,Hamilton,Lampasas"
50902,"Gatesville ISD","Bell,Bosque,Coryell,McLennan"
50904,"Oglesby ISD","Coryell,McLennan"
50909,"Jonesboro ISD","Bosque,Coryell,Hamilton"
50910,"Copperas Cove ISD","Bell,Burnet,Coryell,Lampasas"
51901,"Paducah ISD","Childress,Cottle,Dickens,Foard,Hall,King,Motley"
52901,"Crane ISD","Crane,Crockett,Ector,Pecos,Upton,Ward"
53001,"Crockett County
Consolidated Csd","Crane,Crockett,Irion,Pecos,Reagan,Schleicher,Sutton,Terrell,Upton,Val Verde"
54901,"Crosbyton Cisd","Crosby,Dickens,Floyd,Garza,Kent,Motley"
54902,"Lorenzo ISD","Crosby,Floyd,Garza,Hale,Lubbock,Lynn"
54903,"Ralls ISD","Crosby,Floyd,Garza"
55901,"Culberson
County-Allamoore ISD","Culberson,Hudspeth,Jeff Davis,Reeves"
56901,"Dalhart ISD","Dallam,Hartley"
56902,"Texline ISD","Dallam,Hartley"
57903,"Carrollton-Farmers
Branch ISD","Collin,Dallas,Denton"
57904,"Cedar Hill ISD","Dallas,Ellis,Tarrant"
57905,"Dallas ISD","Collin,Dallas,Denton,Ellis,Kaufman"
57906,"Desoto ISD","Dallas,Ellis"
57907,"Duncanville ISD","Dallas"
57909,"Garland ISD","Collin,Dallas,Rockwall"
57910,"Grand Prairie ISD","Dallas,Tarrant"
57911,"Highland Park ISD","Dallas"
57912,"Irving ISD","Dallas,Tarrant"
57913,"Lancaster ISD","Dallas,Ellis"
57914,"Mesquite ISD","Dallas,Kaufman"
57916,"Richardson ISD","Collin,Dallas"
57919,"Sunnyvale ISD","Dallas,Kaufman,Rockwall"
57922,"Coppell ISD","Dallas,Denton,Tarrant"
58902,"Dawson ISD","Dawson,Gaines,Lynn,Terry"
58905,"Klondike ISD","Andrews,Dawson,Gaines,Martin"
58906,"Lamesa ISD","Borden,Dawson,Lynn"
58909,"Sands Cisd","Borden,Dawson,Howard,Martin"
59901,"Hereford ISD","Castro,Deaf Smith,Parmer,Randall"
59902,"Walcott ISD","Deaf Smith,Parmer"
60902,"Cooper ISD","Delta,Franklin,Hopkins,Hunt,Lamar,Red River"
60914,"Fannindel ISD","Delta,Fannin,Hunt,Lamar"
61901,"Denton ISD","Denton"
61902,"Lewisville ISD","Collin,Dallas,Denton,Tarrant"
61903,"Pilot Point ISD","Collin,Cooke,Denton,Grayson"
61905,"Krum ISD","Denton,Wise"
61906,"Ponder ISD","Denton,Wise"
61907,"Aubrey ISD","Denton"
61908,"Sanger ISD","Cooke,Denton"
61910,"Argyle ISD","Denton"
61911,"Northwest ISD","Denton,Tarrant,Wise"
61912,"Lake Dallas ISD","Denton"
61914,"Little Elm ISD","Denton"
62901,"Cuero ISD","DeWitt,Gonzales,Victoria"
62902,"Nordheim ISD","DeWitt,Goliad,Karnes"
62903,"Yoakum ISD","DeWitt,Gonzales,Lavaca,Victoria"
62904,"Yorktown ISD","DeWitt,Goliad,Gonzales,Karnes"
62905,"Westhoff ISD","DeWitt,Gonzales"
62906,"Meyersville ISD","DeWitt,Goliad,Victoria"
63903,"Spur ISD","Crosby,Dickens,Floyd,Garza,Kent,King,Motley,Stonewall"
63906,"Patton Springs ISD","Cottle,Dickens,King,Motley"
64903,"Carrizo Springs Cisd","Dimmit,Frio,La Salle,Maverick,Webb,Zavala"
65901,"Clarendon ISD","Armstrong,Briscoe,Donley,Gray,Hall"
65902,"Hedley ISD","Collingsworth,Donley,Gray,Hall"
66005,"Ramirez Csd","Brooks,Duval,Jim Hogg,Jim Wells"
66901,"Benavides ISD","Duval,Jim Hogg,Webb"
66902,"San Diego ISD","Duval,Jim Wells,Live Oak,McMullen"
66903,"Freer ISD","Duval,La Salle,McMullen,Webb"
67902,"Cisco ISD","Callahan,Eastland,Shackelford,Stephens"
67903,"Eastland ISD","Eastland,Stephens"
67904,"Gorman ISD","Comanche,Eastland"
67907,"Ranger ISD","Eastland,Erath,Palo Pinto,Stephens"
67908,"Rising Star ISD","Brown,Comanche,Eastland"
68901,"Ector County ISD","Andrews,Crane,Ector,Midland,Upton,Ward,Winkler"
69901,"Rocksprings ISD","Edwards,Kerr,Kimble,Kinney,Real,Sutton,Val Verde"
69902,"Nueces Canyon Cisd","Edwards,Kinney,Real,Uvalde"
70901,"Avalon ISD","Ellis,Navarro"
70903,"Ennis ISD","Ellis,Henderson,Kaufman,Navarro"
70905,"Ferris ISD","Dallas,Ellis,Kaufman"
70907,"Italy ISD","Ellis,Navarro"
70908,"Midlothian ISD","Dallas,Ellis,Johnson,Tarrant"
70909,"Milford ISD","Ellis,Hill"
70910,"Palmer ISD","Ellis"
70911,"Red Oak ISD","Dallas,Ellis"
70912,"Waxahachie ISD","Ellis"
70915,"Maypearl ISD","Ellis,Hill,Johnson"
71901,"Clint ISD","El Paso,Hudspeth"
71902,"El Paso ISD","El Paso"
71903,"Fabens ISD","El Paso"
71904,"San Elizario ISD","El Paso"
71905,"Ysleta ISD","El Paso"
71906,"Anthony ISD","El Paso"
71907,"Canutillo ISD","El Paso"
71908,"Tornillo ISD","El Paso,Hudspeth"
71909,"Socorro ISD","El Paso"
72901,"Three Way ISD","Erath,Hood,Somervell"
72902,"Dublin ISD","Comanche,Erath"
72903,"Stephenville ISD","Erath"
72904,"Bluff Dale ISD","Erath,Hood"
72908,"Huckabay ISD","Eastland,Erath,Palo Pinto"
72909,"Lingleville ISD","Comanche,Eastland,Erath"
72910,"Morgan Mill ISD","Erath,Palo Pinto"
73901,"Chilton ISD","Falls,McLennan"
73903,"Marlin ISD","Falls,Limestone,McLennan,Milam,Robertson"
73904,"Westphalia ISD","Bell,Falls"
73905,"Rosebud-Lott ISD","Bell,Falls,Milam,Robertson"
74903,"Bonham ISD","Fannin,Hunt"
74904,"Dodd City ISD","Fannin"
74905,"Ector ISD","Fannin"
74907,"Honey Grove ISD","Fannin,Lamar"
74909,"Leonard ISD","Collin,Fannin,Hunt"
74911,"Savoy ISD","Fannin,Grayson"
74912,"Trenton ISD","Collin,Fannin,Grayson"
74917,"Sam Rayburn ISD","Fannin"
75901,"Flatonia ISD","Bastrop,Caldwell,Fayette,Gonzales,Lavaca"
75902,"La Grange ISD","Bastrop,Colorado,Fayette,Lee"
75903,"Schulenburg ISD","Colorado,Fayette,Lavaca"
75906,"Fayetteville ISD","Austin,Colorado,Fayette"
75908,"Round Top-Carmine ISD","Austin,Fayette,Lee,Washington"
76903,"Roby Cisd","Fisher,Jones,Scurry"
76904,"Rotan ISD","Fisher,Kent,Scurry,Stonewall"
77901,"Floydada ISD","Briscoe,Crosby,Dickens,Floyd,Hale,Motley"
77902,"Lockney ISD","Briscoe,Floyd,Hale,Swisher"
78901,"Crowell ISD","Baylor,Cottle,Foard,Hardeman,King,Knox,Wilbarger"
79901,"Lamar Cisd","Austin,Brazoria,Fort Bend,Waller,Wharton"
79906,"Needville ISD","Brazoria,Fort Bend,Wharton"
79907,"Fort Bend ISD","Brazoria,Fort Bend,Harris"
79910,"Stafford Msd","Fort Bend,Harris"
80901,"Mount Vernon ISD","Camp,Franklin,Hopkins,Red River,Titus,Wood"
81902,"Fairfield ISD","Anderson,Freestone,Navarro"
81904,"Teague ISD","Freestone,Leon,Limestone"
81905,"Wortham ISD","Freestone,Limestone,Navarro"
81906,"Dew ISD","Freestone"
82902,"Dilley ISD","Dimmit,Frio,La Salle,Zavala"
82903,"Pearsall ISD","Atascosa,Frio,La Salle,Medina,Uvalde,Zavala"
83901,"Seagraves ISD","Gaines,Terry,Yoakum"
83902,"Loop ISD","Dawson,Gaines,Terry"
83903,"Seminole ISD","Andrews,Dawson,Gaines,Martin,Yoakum"
84901,"Dickinson ISD","Chambers,Galveston"
84902,"Galveston ISD","Brazoria,Chambers,Galveston"
84903,"High Island ISD","Chambers,Galveston"
84906,"Texas City ISD","Galveston"
84908,"Hitchcock ISD","Brazoria,Galveston"
84909,"Santa Fe ISD","Brazoria,Galveston"
84910,"Clear Creek ISD","Brazoria,Chambers,Galveston,Harris"
84911,"Friendswood ISD","Brazoria,Galveston,Harris"
85902,"Post ISD","Borden,Crosby,Garza,Kent,Lynn,Scurry"
85903,"Southland ISD","Crosby,Garza,Lubbock,Lynn"
86024,"Doss Consolidated Csd","Gillespie,Kimble,Mason"
86901,"Fredericksburg ISD","Blanco,Gillespie,Kendall,Kerr,Llano,Mason"
86902,"Harper ISD","Gillespie,Kerr,Kimble,Mason"
87901,"Glasscock County ISD","Glasscock,Howard,Martin,Midland,Reagan,Sterling,Upton"
88902,"Goliad ISD","Bee,DeWitt,Goliad,Karnes,Refugio,Victoria"
89901,"Gonzales ISD","Caldwell,DeWitt,Gonzales,Guadalupe"
89903,"Nixon-Smiley Cisd","DeWitt,Gonzales,Guadalupe,Karnes,Wilson"
89905,"Waelder ISD","Bastrop,Caldwell,Fayette,Gonzales"
90902,"Lefors ISD","Gray,Wheeler"
90903,"Mclean ISD","Collingsworth,Donley,Gray,Wheeler"
90904,"Pampa ISD","Carson,Gray,Hutchinson,Roberts"
90905,"Grandview-Hopkins ISD","Carson,Gray"
91901,"Bells ISD","Fannin,Grayson"
91902,"Collinsville ISD","Cooke,Grayson"
91903,"Denison ISD","Fannin,Grayson"
91905,"Howe ISD","Grayson"
91906,"Sherman ISD","Grayson"
91907,"Tioga ISD","Cooke,Denton,Grayson"
91908,"Van Alstyne ISD","Collin,Grayson"
91909,"Whitesboro ISD","Cooke,Grayson"
91910,"Whitewright ISD","Collin,Fannin,Grayson"
91913,"Pottsboro ISD","Grayson"
91914,"S And S Cisd","Grayson"
91917,"Gunter ISD","Collin,Grayson"
91918,"Tom Bean ISD","Grayson"
92901,"Gladewater ISD","Gregg,Smith,Upshur"
92902,"Kilgore ISD","Gregg,Rusk"
92903,"Longview ISD","Gregg,Harrison,Rusk,Upshur"
92904,"Pine Tree ISD","Gregg"
92906,"Sabine ISD","Gregg,Smith"
92907,"Spring Hill ISD","Gregg"
92908,"White Oak ISD","Gregg,Upshur"
93901,"Anderson-Shiro Cisd","Brazos,Grimes,Montgomery,Walker"
93903,"Iola ISD","Brazos,Grimes,Madison"
93904,"Navasota ISD","Brazos,Burleson,Grimes,Montgomery,Waller,Washington"
93905,"Richards ISD","Grimes,Montgomery,Walker"
94901,"Seguin ISD","Caldwell,Gonzales,Guadalupe,Wilson"
94902,"Schertz-Cibolo-U City ISD","Bexar,Comal,Guadalupe"
94903,"Navarro ISD","Comal,Guadalupe,Hays"
94904,"Marion ISD","Bexar,Guadalupe"
95901,"Abernathy ISD","Hale,Hockley,Lamb,Lubbock"
95902,"Cotton Center ISD","Hale,Lamb"
95903,"Hale Center ISD","Hale"
95904,"Petersburg ISD","Crosby,Floyd,Hale,Lubbock"
95905,"Plainview ISD","Castro,Floyd,Hale,Swisher"
96904,"Memphis ISD","Briscoe,Childress,Collingsworth,Cottle,Donley,Hall,Motley"
96905,"Turkey-Quitaque ISD","Briscoe,Floyd,Hall,Motley"
97902,"Hamilton ISD","Bosque,Comanche,Hamilton,Mills"
97903,"Hico ISD","Bosque,Comanche,Erath,Hamilton"
98901,"Gruver ISD","Hansford,Sherman"
98903,"Pringle-Morse Cisd","Hansford,Hutchinson,Moore,Roberts,Sherman"
98904,"Spearman ISD","Hansford,Hutchinson,Ochiltree,Roberts"
99902,"Chillicothe ISD","Foard,Hardeman,Wilbarger"
99903,"Quanah ISD","Childress,Cottle,Foard,Hardeman"
100903,"Kountze ISD","Hardin,Polk,Tyler"
100904,"Silsbee ISD","Hardin,Jasper,Tyler"
100905,"Hardin-Jefferson ISD","Chambers,Hardin,Jefferson,Liberty"
100907,"Lumberton ISD","Hardin,Jasper,Jefferson,Orange"
100908,"West Hardin County Cisd","Hardin,Liberty,Polk"
101902,"Aldine ISD","Harris,Montgomery"
101903,"Alief ISD","Fort Bend,Harris"
101905,"Channelview ISD","Harris"
101906,"Crosby ISD","Chambers,Harris,Liberty"
101907,"Cypress-Fairbanks ISD","Harris"
101908,"Deer Park ISD","Harris"
101910,"Galena Park ISD","Harris"
101911,"Goose Creek Cisd","Chambers,Harris"
101912,"Houston ISD","Brazoria,Fort Bend,Harris"
101913,"Humble ISD","Harris,Montgomery"
101914,"Katy ISD","Fort Bend,Harris,Waller"
101915,"Klein ISD","Harris,Montgomery"
101916,"La Porte ISD","Chambers,Harris"
101917,"Pasadena ISD","Brazoria,Harris"
101919,"Spring ISD","Harris,Montgomery"
101920,"Spring Branch ISD","Harris"
101921,"Tomball ISD","Harris,Montgomery"
101924,"Sheldon ISD","Harris"
101925,"Huffman ISD","Harris,Liberty,Montgomery"
102901,"Karnack ISD","Harrison,Marion"
102902,"Marshall ISD","Harrison,Marion,Panola,Rusk"
102903,"Waskom ISD","Harrison,Panola"
102904,"Hallsville ISD","Gregg,Harrison,Rusk"
102905,"Harleton ISD","Harrison,Marion,Upshur"
102906,"Elysian Fields ISD","Harrison,Panola"
103901,"Channing ISD","Dallam,Hartley,Moore,Oldham,Potter"
103902,"Hartley ISD","Dallam,Hartley,Moore,Sherman"
104901,"Haskell Cisd","Haskell,King,Knox,Stonewall,Throckmorton"
104903,"Rule ISD","Haskell,Jones,Stonewall"
104907,"Paint Creek ISD","Haskell,Jones,Shackelford,Throckmorton"
105902,"San Marcos Cisd","Caldwell,Comal,Guadalupe,Hays"
105904,"Dripping Springs ISD","Blanco,Hays,Travis"
105905,"Wimberley ISD","Comal,Hays"
105906,"Hays Cisd","Caldwell,Hays,Travis"
106901,"Canadian ISD","Hemphill,Lipscomb,Roberts"
107901,"Athens ISD","Anderson,Henderson,Van Zandt"
107902,"Brownsboro ISD","Cherokee,Henderson,Smith,Van Zandt"
107904,"Cross Roads ISD","Anderson,Freestone,Henderson,Navarro"
107905,"Eustace ISD","Henderson,Kaufman,Van Zandt"
107906,"Malakoff ISD","Henderson,Navarro"
107907,"Trinidad ISD","Henderson,Navarro"
107908,"Murchison ISD","Henderson"
107910,"Lapoynor ISD","Anderson,Henderson"
108902,"Donna ISD","Hidalgo"
108903,"Edcouch-Elsa ISD","Hidalgo"
108904,"Edinburg Cisd","Brooks,Hidalgo,Kenedy,Starr,Willacy"
108905,"Hidalgo ISD","Hidalgo"
108906,"Mcallen ISD","Hidalgo"
108907,"Mercedes ISD","Cameron,Hidalgo"
108908,"Mission Cisd","Hidalgo"
108909,"Pharr-San Juan-Alamo ISD","Hidalgo"
108910,"Progreso ISD","Hidalgo"
108911,"Sharyland ISD","Hidalgo"
108912,"La Joya ISD","Hidalgo,Starr"
108913,"Weslaco ISD","Hidalgo"
108914,"La Villa ISD","Cameron,Hidalgo,Willacy"
108915,"Monte Alto ISD","Hidalgo,Willacy"
108916,"Valley View ISD","Hidalgo"
109901,"Abbott ISD","Hill,McLennan"
109902,"Bynum ISD","Ellis,Hill,Navarro"
109903,"Covington ISD","Hill,Johnson"
109904,"Hillsboro ISD","Hill"
109905,"Hubbard ISD","Hill,Limestone,Navarro"
109907,"Itasca ISD","Ellis,Hill,Johnson"
109908,"Malone ISD","Hill,Navarro"
109910,"Mount Calm ISD","Hill,Limestone,McLennan"
109911,"Whitney ISD","Bosque,Hill"
109912,"Aquilla ISD","Bosque,Hill,McLennan"
109913,"Blum ISD","Bosque,Hill,Johnson"
109914,"Penelope ISD","Hill,McLennan"
110901,"Anton ISD","Hale,Hockley,Lamb,Lubbock"
110902,"Levelland ISD","Cochran,Hockley,Lamb,Terry"
110905,"Ropes ISD","Hockley,Lubbock,Lynn,Terry"
110906,"Smyer ISD","Hockley,Lubbock"
110907,"Sundown ISD","Cochran,Hockley,Terry,Yoakum"
110908,"Whitharral ISD","Hockley,Lamb"
111901,"Granbury ISD","Hood,Johnson,Parker,Somervell,Tarrant"
111902,"Lipan ISD","Erath,Hood,Palo Pinto,Parker"
111903,"Tolar ISD","Erath,Hood,Somervell"
112901,"Sulphur Springs ISD","Hopkins,Rains,Wood"
112905,"Cumby ISD","Delta,Hopkins,Hunt"
112906,"North Hopkins ISD","Delta,Hopkins"
112907,"Miller Grove ISD","Hopkins,Hunt,Rains"
112908,"Como-Pickton Cisd","Franklin,Hopkins,Wood"
112909,"Saltillo ISD","Franklin,Hopkins"
112910,"Sulphur Bluff ISD","Delta,Franklin,Hopkins,Red River"
113901,"Crockett ISD","Houston,Leon"
113902,"Grapeland ISD","Anderson,Cherokee,Houston,Leon"
113903,"Lovelady ISD","Houston,Leon,Madison,Trinity,Walker"
113905,"Latexo ISD","Houston"
113906,"Kennard ISD","Angelina,Cherokee,Houston,Trinity"
114901,"Big Spring ISD","Borden,Howard,Martin"
114902,"Coahoma ISD","Borden,Howard,Mitchell"
114904,"Forsan ISD","Glasscock,Howard,Mitchell,Sterling"
115901,"Ft Hancock ISD","El Paso,Hudspeth"
115902,"Sierra Blanca ISD","Hudspeth"
115903,"Dell City ISD","Culberson,Hudspeth"
116901,"Caddo Mills ISD","Collin,Hunt"
116902,"Celeste ISD","Collin,Fannin,Hunt"
116903,"Commerce ISD","Delta,Hopkins,Hunt"
116905,"Greenville ISD","Hunt"
116906,"Lone Oak ISD","Hopkins,Hunt,Rains"
116908,"Quinlan ISD","Hunt,Kaufman,Rains,Rockwall,Van Zandt"
116909,"Wolfe City ISD","Fannin,Hunt"
116910,"Campbell ISD","Hunt"
116915,"Bland ISD","Collin,Hunt"
116916,"Boles ISD","Hunt"
117901,"Borger ISD","Carson,Hutchinson"
117903,"Sanford-Fritch ISD","Carson,Hutchinson,Moore"
117904,"Plemons-Stinnett-Phillips
Cisd","Hutchinson,Moore,Roberts"
117907,"Spring Creek ISD","Carson,Hutchinson,Roberts"
118902,"Irion County ISD","Crockett,Irion,Reagan,Schleicher,Tom Green"
119901,"Bryson ISD","Jack,Palo Pinto,Young"
119902,"Jacksboro ISD","Archer,Clay,Jack,Wise,Young"
119903,"Perrin-Whitt Cisd","Jack,Palo Pinto,Parker,Wise"
120901,"Edna ISD","Jackson,Lavaca,Victoria,Wharton"
120902,"Ganado ISD","Jackson,Matagorda,Wharton"
120905,"Industrial ISD","Calhoun,Jackson,Matagorda,Victoria"
121902,"Brookeland ISD","Jasper,Newton,Sabine,San Augustine"
121903,"Buna ISD","Hardin,Jasper,Newton,Orange,Tyler"
121904,"Jasper ISD","Angelina,Jasper,Newton,San Augustine,Tyler"
121905,"Kirbyville Cisd","Jasper,Newton,Tyler"
121906,"Evadale ISD","Hardin,Jasper"
122901,"Ft Davis ISD","Brewster,Culberson,Jeff Davis,Pecos,Presidio,Reeves"
122902,"Valentine ISD","Culberson,Hudspeth,Jeff Davis,Presidio"
123905,"Nederland ISD","Jefferson,Orange"
123907,"Port Arthur ISD","Jefferson,Orange"
123908,"Port Neches-Groves ISD","Jefferson,Orange"
123910,"Beaumont ISD","Hardin,Jefferson,Orange"
123913,"Sabine Pass ISD","Chambers,Jefferson"
123914,"Hamshire-Fannett ISD","Chambers,Jefferson"
124901,"Jim Hogg County ISD","Brooks,Duval,Jim Hogg,Starr,Webb,Zapata"
125901,"Alice ISD","Duval,Jim Wells,Kleberg,Live Oak,Nueces"
125902,"Ben Bolt-Palito Blanco ISD","Duval,Jim Wells,Kleberg"
125903,"Orange Grove ISD","Jim Wells,Live Oak,Nueces,San Patricio"
125905,"Premont ISD","Duval,Jim Wells,Kleberg"
125906,"La Gloria ISD","Brooks,Duval,Jim Wells,Kleberg"
126901,"Alvarado ISD","Johnson"
126902,"Burleson ISD","Johnson,Tarrant"
126903,"Cleburne ISD","Bosque,Hood,Johnson,Somervell"
126904,"Grandview ISD","Ellis,Hill,Johnson"
126905,"Joshua ISD","Johnson,Tarrant"
126906,"Keene ISD","Johnson"
126907,"Rio Vista ISD","Bosque,Hill,Johnson"
126908,"Venus ISD","Ellis,Johnson"
126911,"Godley ISD","Hood,Johnson,Parker,Tarrant"
127901,"Anson ISD","Jones"
127903,"Hamlin Collegiate ISD","Fisher,Haskell,Jones,Stonewall"
127904,"Hawley ISD","Jones,Taylor"
127905,"Lueders-Avoca ISD","Haskell,Jones,Shackelford,Throckmorton"
127906,"Stamford ISD","Haskell,Jones"
128901,"Karnes City ISD","Atascosa,DeWitt,Gonzales,Karnes,Live Oak,Wilson"
128902,"Kenedy ISD","Bee,Karnes,Live Oak"
128903,"Runge ISD","DeWitt,Goliad,Karnes"
128904,"Falls City ISD","Atascosa,Karnes,Wilson"
129901,"Crandall ISD","Dallas,Ellis,Kaufman"
129902,"Forney ISD","Dallas,Kaufman,Rockwall"
129903,"Kaufman ISD","Kaufman,Van Zandt"
129904,"Kemp ISD","Ellis,Henderson,Kaufman,Navarro"
129905,"Mabank ISD","Henderson,Kaufman,Van Zandt"
129906,"Terrell ISD","Hunt,Kaufman,Rockwall"
129910,"Scurry-Rosser ISD","Ellis,Kaufman"
130901,"Boerne ISD","Bandera,Bexar,Comal,Kendall,Kerr,Medina"
130902,"Comfort ISD","Bandera,Gillespie,Kendall,Kerr"
131001,"Kenedy County Wide Csd","Brooks,Hidalgo,Kenedy,Kleberg,Willacy"
132902,"Jayton-Girard ISD","Dickens,Fisher,Garza,Kent,King,Scurry,Stonewall"
133901,"Center Point ISD","Bandera,Kerr"
133902,"Hunt ISD","Bandera,Kerr"
133903,"Kerrville ISD","Bandera,Kerr"
133904,"Ingram ISD","Gillespie,Kerr,Kimble"
133905,"Divide ISD","Bandera,Edwards,Kerr,Kimble,Real"
134901,"Junction ISD","Edwards,Kerr,Kimble,Mason,Menard,Schleicher,Sutton"
135001,"Guthrie Csd","Cottle,Dickens,Haskell,Kent,King,Knox,Motley,Stonewall"
136901,"Brackett ISD","Edwards,Kinney,Maverick,Uvalde,Val Verde,Zavala"
137901,"Kingsville ISD","Jim Wells,Kleberg,Nueces"
137902,"Ricardo ISD","Kleberg"
137903,"Riviera ISD","Kenedy,Kleberg,Nueces"
137904,"Santa Gertrudis ISD","Brooks,Jim Wells,Kenedy,Kleberg"
138902,"Knox City-O'brien Cisd","Haskell,King,Knox,Stonewall"
138903,"Munday Cisd","Baylor,Haskell,Knox,Throckmorton"
138904,"Benjamin ISD","Baylor,Foard,King,Knox"
139905,"Chisum ISD","Delta,Fannin,Lamar"
139909,"Paris ISD","Lamar"
139911,"North Lamar ISD","Fannin,Lamar,Red River"
139912,"Prairiland ISD","Delta,Franklin,Lamar,Red River"
140901,"Amherst ISD","Lamb"
140904,"Littlefield ISD","Bailey,Hockley,Lamb"
140905,"Olton ISD","Castro,Hale,Lamb"
140907,"Springlake-Earth ISD","Castro,Lamb,Parmer"
140908,"Sudan ISD","Bailey,Cochran,Hockley,Lamb"
141901,"Lampasas ISD","Bell,Burnet,Coryell,Lampasas,San Saba"
141902,"Lometa ISD","Lampasas,Mills,San Saba"
142901,"Cotulla ISD","Atascosa,Dimmit,Duval,Frio,La Salle,McMullen,Webb"
143901,"Hallettsville ISD","Colorado,Fayette,Jackson,Lavaca,Wharton"
143902,"Moulton ISD","Fayette,Gonzales,Lavaca"
143903,"Shiner ISD","DeWitt,Gonzales,Lavaca"
143904,"Vysehrad ISD","Lavaca"
143905,"Sweet Home ISD","Lavaca"
143906,"Ezzell ISD","DeWitt,Jackson,Lavaca,Victoria"
144901,"Giddings ISD","Bastrop,Burleson,Fayette,Lee,Washington"
144902,"Lexington ISD","Bastrop,Burleson,Lee,Milam,Williamson"
144903,"Dime Box ISD","Burleson,Lee"
145901,"Buffalo ISD","Freestone,Leon"
