"County","TPR_CPR","Tests","Date"
"Anderson",0.126,802,2021-04-17
"Andrews",0,32,2021-04-17
"Angelina",0.105,800,2021-04-17
"Aransas",0.118,164,2021-04-17
"Archer",0,19,2021-04-17
"Armstrong",0,11,2021-04-17
"Atascosa",0.006,1724,2021-04-17
"Austin",0.087,321,2021-04-17
"Bailey",0,19,2021-04-17
"Bandera",0.04,136,2021-04-17
"Bastrop",0.072,1036,2021-04-17
"Baylor",0,12,2021-04-17
"Bee",0.062,487,2021-04-17
"Bell",0.041,5107,2021-04-17
"Bexar",0.032,60332,2021-04-17
"Blanco",0,97,2021-04-17
"Borden",0,1,2021-04-17
"Bosque",0.065,123,2021-04-17
"Bowie",0.059,445,2021-04-17
"Brazoria",0.084,5639,2021-04-17
"Brazos",0.067,4260,2021-04-17
"Brewster",0,21,2021-04-17
"Briscoe",0,8,2021-04-17
"Brooks",0,492,2021-04-17
"Brown",0.077,87,2021-04-17
"Burleson",0.031,304,2021-04-17
"Burnet",0.072,748,2021-04-17
"Caldwell",0.058,658,2021-04-17
"Calhoun",0.094,127,2021-04-17
"Callahan",0.053,30,2021-04-17
"Cameron",0.12,4522,2021-04-17
"Camp",0,28,2021-04-17
"Carson",0,16,2021-04-17
"Cass",0.04,59,2021-04-17
"Castro",0,57,2021-04-17
"Chambers",0.054,528,2021-04-17
"Cherokee",0.047,547,2021-04-17
"Childress",0.01,22,2021-04-17
"Clay",0,32,2021-04-17
"Cochran",0,7,2021-04-17
"Coke",0,6,2021-04-17
"Coleman",0,19,2021-04-17
"Collin",0.05,11371,2021-04-17
"Collingsworth",0,10,2021-04-17
"Colorado",0.109,142,2021-04-17
"Comal",0.083,1895,2021-04-17
"Comanche",0.077,43,2021-04-17
"Concho",0,9,2021-04-17
"Cooke",0.048,186,2021-04-17
"Coryell",0.021,1178,2021-04-17
"Cottle",0,5,2021-04-17
"Crane",0,48,2021-04-17
"Crockett",0,1,2021-04-17
"Crosby",0,23,2021-04-17
"Culberson",0,12,2021-04-17
"Dallam",0.333,23,2021-04-17
"Dallas",0.045,32336,2021-04-17
"Dawson",0.091,42,2021-04-17
"Deaf Smith",0.111,46,2021-04-17
"Delta",0,26,2021-04-17
"Denton",0.05,10493,2021-04-17
"DeWitt",0.053,67,2021-04-17
"Dickens",0,5,2021-04-17
"Dimmit",0.131,659,2021-04-17
"Donley",0,9,2021-04-17
"Duval",0.057,85,2021-04-17
"Eastland",0,47,2021-04-17
"Ector",0.12,448,2021-04-17
"Edwards",NA,2,2021-04-17
"El Paso",0.088,11247,2021-04-17
"Ellis",0.039,1960,2021-04-17
"Erath",0.066,304,2021-04-17
"Falls",0.051,134,2021-04-17
"Fannin",0.026,216,2021-04-17
"Fayette",0.056,327,2021-04-17
"Fisher",0,5,2021-04-17
"Floyd",0,43,2021-04-17
"Foard",NA,2,2021-04-17
"Fort Bend",0.075,11869,2021-04-17
"Franklin",0,30,2021-04-17
"Freestone",0,119,2021-04-17
"Frio",0.091,337,2021-04-17
"Gaines",0,33,2021-04-17
"Galveston",0.079,5851,2021-04-17
"Garza",0,51,2021-04-17
"Gillespie",0,87,2021-04-17
"Glasscock",0,2,2021-04-17
"Goliad",0,30,2021-04-17
"Gonzales",0.023,108,2021-04-17
"Gray",0,60,2021-04-17
"Grayson",0.055,1030,2021-04-17
"Gregg",0.038,670,2021-04-17
"Grimes",0.025,881,2021-04-17
"Guadalupe",0.069,2040,2021-04-17
"Hale",0.02,319,2021-04-17
"Hall",0,1,2021-04-17
"Hamilton",0.021,102,2021-04-17
"Hansford",0,11,2021-04-17
"Hardeman",0,15,2021-04-17
"Hardin",0.052,432,2021-04-17
"Harris",0.081,71148,2021-04-17
"Harrison",0.077,217,2021-04-17
"Hartley",0,2,2021-04-17
"Haskell",0,6,2021-04-17
"Hays",0.082,5021,2021-04-17
"Hemphill",NA,3,2021-04-17
"Henderson",0.18,395,2021-04-17
"Hidalgo",0.073,6663,2021-04-17
"Hill",0.074,253,2021-04-17
"Hockley",0.071,133,2021-04-17
"Hood",0.076,384,2021-04-17
"Hopkins",0.038,169,2021-04-17
"Houston",0.065,120,2021-04-17
"Howard",0.133,196,2021-04-17
"Hudspeth",0.071,31,2021-04-17
"Hunt",0.13,639,2021-04-17
"Hutchinson",0,74,2021-04-17
"Irion",NA,0,2021-04-17
"Jack",0,28,2021-04-17
"Jackson",0.1,71,2021-04-17
"Jasper",0.083,397,2021-04-17
"Jeff Davis",0,6,2021-04-17
"Jefferson",0.047,2004,2021-04-17
"Jim Hogg",0.012,175,2021-04-17
"Jim Wells",0.044,435,2021-04-17
"Johnson",0.032,1412,2021-04-17
"Jones",0,30,2021-04-17
"Karnes",0.062,90,2021-04-17
"Kaufman",0.066,1247,2021-04-17
"Kendall",0.025,461,2021-04-17
"Kenedy",0.5,3,2021-04-17
"Kent",0,2,2021-04-17
"Kerr",0.039,275,2021-04-17
"Kimble",0,13,2021-04-17
"King",NA,0,2021-04-17
"Kinney",0.143,15,2021-04-17
"Kleberg",0.038,224,2021-04-17
"Knox",NA,4,2021-04-17
"La Salle",0,118,2021-04-17
"Lamar",0.086,170,2021-04-17
"Lamb",0.038,59,2021-04-17
"Lampasas",0.034,305,2021-04-17
"Lavaca",0.115,134,2021-04-17
"Lee",0.058,126,2021-04-17
"Leon",0.033,148,2021-04-17
"Liberty",0.107,1067,2021-04-17
"Limestone",0.048,182,2021-04-17
"Lipscomb",NA,5,2021-04-17
"Live Oak",0,85,2021-04-17
"Llano",0.065,471,2021-04-17
"Loving",0,2,2021-04-17
"Lubbock",0.013,3043,2021-04-17
"Lynn",0,26,2021-04-17
"Madison",0.053,299,2021-04-17
"Marion",0.1,21,2021-04-17
"Martin",0,9,2021-04-17
"Mason",0,4,2021-04-17
"Matagorda",0.159,489,2021-04-17
"Maverick",0.034,939,2021-04-17
"McCulloch",0,11,2021-04-17
"McLennan",0.052,3865,2021-04-17
"McMullen",0,3,2021-04-17
"Medina",0.022,602,2021-04-17
"Menard",0,8,2021-04-17
"Midland",0.05,648,2021-04-17
"Milam",0.049,264,2021-04-17
"Mills",0,37,2021-04-17
"Mitchell",0.333,207,2021-04-17
"Montague",0,89,2021-04-17
"Montgomery",0.089,8456,2021-04-17
"Moore",0.167,42,2021-04-17
"Morris",0.25,26,2021-04-17
"Motley",0.25,6,2021-04-17
"Nacogdoches",0.01,534,2021-04-17
"Navarro",0.043,342,2021-04-17
"Newton",0,84,2021-04-17
"Nolan",0,31,2021-04-17
"Nueces",0.099,2704,2021-04-17
"Ochiltree",NA,13,2021-04-17
"Oldham",0,7,2021-04-17
"Orange",0.088,655,2021-04-17
"Palo Pinto",0.021,157,2021-04-17
"Panola",0.045,74,2021-04-17
"Parker",0.053,989,2021-04-17
"Parmer",0,24,2021-04-17
"Pecos",0.05,506,2021-04-17
"Polk",0.119,486,2021-04-17
"Potter",0.027,899,2021-04-17
"Presidio",0,8,2021-04-17
"Rains",0.083,34,2021-04-17
"Randall",0.052,700,2021-04-17
"Reagan",0,2,2021-04-17
"Real",NA,6,2021-04-17
"Red River",0.071,34,2021-04-17
"Reeves",0.015,229,2021-04-17
"Refugio",0.167,46,2021-04-17
"Roberts",0,0,2021-04-17
"Robertson",0.059,224,2021-04-17
"Rockwall",0.071,1215,2021-04-17
"Runnels",0,33,2021-04-17
"Rusk",0.034,161,2021-04-17
"Sabine",0.111,37,2021-04-17
"San Augustine",0.133,34,2021-04-17
"San Jacinto",0.068,217,2021-04-17
"San Patricio",0.089,487,2021-04-17
"San Saba",0,95,2021-04-17
"Schleicher",0,3,2021-04-17
"Scurry",0,62,2021-04-17
"Shackelford",0,3,2021-04-17
"Shelby",0.073,132,2021-04-17
"Sherman",0,7,2021-04-17
"Smith",0.054,1438,2021-04-17
"Somervell",0,26,2021-04-17
"Starr",0.071,437,2021-04-17
"Stephens",0,18,2021-04-17
"Sterling",0,4,2021-04-17
"Stonewall",NA,0,2021-04-17
"Sutton",NA,2,2021-04-17
"Swisher",0.007,177,2021-04-17
"Tarrant",0.049,22763,2021-04-17
"Taylor",0.036,463,2021-04-17
"Terrell",0,3,2021-04-17
"Terry",0.045,47,2021-04-17
"Throckmorton",0,7,2021-04-17
"Titus",0,61,2021-04-17
"Tom Green",0.059,436,2021-04-17
"Travis",0.05,18082,2021-04-17
"Trinity",0.055,198,2021-04-17
"Tyler",0.049,189,2021-04-17
"Upshur",0.018,94,2021-04-17
"Upton",0,6,2021-04-17
"Uvalde",0.078,210,2021-04-17
"Val Verde",0.027,410,2021-04-17
"Van Zandt",0.14,197,2021-04-17
"Victoria",0.175,672,2021-04-17
"Walker",0.055,1813,2021-04-17
"Waller",0.087,737,2021-04-17
"Ward",0,37,2021-04-17
"Washington",0.041,695,2021-04-17
"Webb",0.048,4353,2021-04-17
"Wharton",0.107,379,2021-04-17
"Wheeler",0,7,2021-04-17
"Wichita",0.018,461,2021-04-17
"Wilbarger",0.15,96,2021-04-17
"Willacy",0.1,507,2021-04-17
"Williamson",0.051,8406,2021-04-17
"Wilson",0.051,552,2021-04-17
"Winkler",0.333,16,2021-04-17
"Wise",0.03,583,2021-04-17
"Wood",0.04,224,2021-04-17
"Yoakum",0,16,2021-04-17
"Young",0.048,63,2021-04-17
