"County","TPR_CPR","Tests","Date"
"Anderson",0.033,943,2021-03-29
"Andrews",0.032,36,2021-03-29
"Angelina",0.052,792,2021-03-29
"Aransas",0.172,182,2021-03-29
"Archer",0.062,25,2021-03-29
"Armstrong",0,7,2021-03-29
"Atascosa",0.032,509,2021-03-29
"Austin",0.157,318,2021-03-29
"Bailey",0.048,27,2021-03-29
"Bandera",0.054,148,2021-03-29
"Bastrop",0.084,829,2021-03-29
"Baylor",0,7,2021-03-29
"Bee",0.023,295,2021-03-29
"Bell",0.045,4535,2021-03-29
"Bexar",0.023,36498,2021-03-29
"Blanco",0.012,103,2021-03-29
"Borden",0,2,2021-03-29
"Bosque",0.04,170,2021-03-29
"Bowie",0.053,533,2021-03-29
"Brazoria",0.075,5789,2021-03-29
"Brazos",0.077,5202,2021-03-29
"Brewster",0.091,23,2021-03-29
"Briscoe",0,16,2021-03-29
"Brooks",0.001,708,2021-03-29
"Brown",0.043,121,2021-03-29
"Burleson",0.087,442,2021-03-29
"Burnet",0.05,613,2021-03-29
"Caldwell",0.079,633,2021-03-29
"Calhoun",0.114,139,2021-03-29
"Callahan",0.062,58,2021-03-29
"Cameron",0.099,4341,2021-03-29
"Camp",0,60,2021-03-29
"Carson",0,34,2021-03-29
"Cass",0.062,127,2021-03-29
"Castro",0,33,2021-03-29
"Chambers",0.091,400,2021-03-29
"Cherokee",0.015,317,2021-03-29
"Childress",0.035,133,2021-03-29
"Clay",0,31,2021-03-29
"Cochran",0.125,8,2021-03-29
"Coke",0,7,2021-03-29
"Coleman",0,11,2021-03-29
"Collin",0.041,11752,2021-03-29
"Collingsworth",0.118,38,2021-03-29
"Colorado",0.107,167,2021-03-29
"Comal",0.041,1669,2021-03-29
"Comanche",0,76,2021-03-29
"Concho",0,47,2021-03-29
"Cooke",0.061,240,2021-03-29
"Coryell",0.017,1457,2021-03-29
"Cottle",0,18,2021-03-29
"Crane",0,8,2021-03-29
"Crockett",0.333,7,2021-03-29
"Crosby",0,11,2021-03-29
"Culberson",0.143,2,2021-03-29
"Dallam",0,9,2021-03-29
"Dallas",0.039,32342,2021-03-29
"Dawson",0,79,2021-03-29
"Deaf Smith",0.147,46,2021-03-29
"Delta",0.071,20,2021-03-29
"Denton",0.043,10295,2021-03-29
"DeWitt",0.009,75,2021-03-29
"Dickens",0,3,2021-03-29
"Dimmit",0.153,646,2021-03-29
"Donley",0.125,20,2021-03-29
"Duval",0.009,131,2021-03-29
"Eastland",0,55,2021-03-29
"Ector",0.071,574,2021-03-29
"Edwards",0,4,2021-03-29
"El Paso",0.094,12036,2021-03-29
"Ellis",0.041,1915,2021-03-29
"Erath",0.05,437,2021-03-29
"Falls",0.054,150,2021-03-29
"Fannin",0.02,449,2021-03-29
"Fayette",0.137,288,2021-03-29
"Fisher",0.15,22,2021-03-29
"Floyd",0.036,37,2021-03-29
"Foard",0,3,2021-03-29
"Fort Bend",0.072,11117,2021-03-29
"Franklin",0.027,44,2021-03-29
"Freestone",0.007,310,2021-03-29
"Frio",0.03,365,2021-03-29
"Gaines",0,30,2021-03-29
"Galveston",0.081,5360,2021-03-29
"Garza",0,40,2021-03-29
"Gillespie",0.02,136,2021-03-29
"Glasscock",0,1,2021-03-29
"Goliad",0,35,2021-03-29
"Gonzales",0.054,92,2021-03-29
"Gray",0.03,163,2021-03-29
"Grayson",0.034,1167,2021-03-29
"Gregg",0.049,703,2021-03-29
"Grimes",0.034,605,2021-03-29
"Guadalupe",0.035,1810,2021-03-29
"Hale",0.015,298,2021-03-29
"Hall",0.059,18,2021-03-29
"Hamilton",0.011,163,2021-03-29
"Hansford",0,10,2021-03-29
"Hardeman",0,24,2021-03-29
"Hardin",0.066,446,2021-03-29
"Harris",0.074,69881,2021-03-29
"Harrison",0.013,442,2021-03-29
"Hartley",0,3,2021-03-29
"Haskell",0.25,9,2021-03-29
"Hays",0.059,4763,2021-03-29
"Hemphill",0.25,5,2021-03-29
"Henderson",0.041,385,2021-03-29
"Hidalgo",0.062,6012,2021-03-29
"Hill",0.076,260,2021-03-29
"Hockley",0.086,86,2021-03-29
"Hood",0.03,388,2021-03-29
"Hopkins",0.088,198,2021-03-29
"Houston",0,155,2021-03-29
"Howard",0,124,2021-03-29
"Hudspeth",0.1,30,2021-03-29
"Hunt",0.037,599,2021-03-29
"Hutchinson",0.047,52,2021-03-29
"Irion",0.571,7,2021-03-29
"Jack",0.05,32,2021-03-29
"Jackson",0.086,70,2021-03-29
"Jasper",0.038,234,2021-03-29
"Jeff Davis",0,20,2021-03-29
"Jefferson",0.068,1779,2021-03-29
"Jim Hogg",0.014,140,2021-03-29
"Jim Wells",0.039,447,2021-03-29
"Johnson",0.051,1469,2021-03-29
"Jones",0,63,2021-03-29
"Karnes",0.052,101,2021-03-29
"Kaufman",0.045,1198,2021-03-29
"Kendall",0.032,383,2021-03-29
"Kenedy",0,2,2021-03-29
"Kent",0,0,2021-03-29
"Kerr",0.032,445,2021-03-29
"Kimble",0,11,2021-03-29
"King",0,0,2021-03-29
"Kinney",0,36,2021-03-29
"Kleberg",0.103,379,2021-03-29
"Knox",0,4,2021-03-29
"La Salle",0,100,2021-03-29
"Lamar",0.05,224,2021-03-29
"Lamb",0.04,46,2021-03-29
"Lampasas",0.032,273,2021-03-29
"Lavaca",0.079,183,2021-03-29
"Lee",0.084,117,2021-03-29
"Leon",0.078,163,2021-03-29
"Liberty",0.099,874,2021-03-29
"Limestone",0.027,364,2021-03-29
"Lipscomb",0,3,2021-03-29
"Live Oak",0.043,99,2021-03-29
"Llano",0.014,376,2021-03-29
"Loving",NA,4,2021-03-29
"Lubbock",0.02,1979,2021-03-29
"Lynn",0.222,26,2021-03-29
"Madison",0.091,166,2021-03-29
"Marion",0,36,2021-03-29
"Martin",0,10,2021-03-29
"Mason",0,15,2021-03-29
"Matagorda",0.196,480,2021-03-29
"Maverick",0.096,520,2021-03-29
"McCulloch",0,15,2021-03-29
"McLennan",0.019,4435,2021-03-29
"McMullen",0,3,2021-03-29
"Medina",0.046,480,2021-03-29
"Menard",NA,6,2021-03-29
"Midland",0.043,678,2021-03-29
"Milam",0.023,388,2021-03-29
"Mills",0.009,222,2021-03-29
"Mitchell",0.024,228,2021-03-29
"Montague",0.059,125,2021-03-29
"Montgomery",0.092,7404,2021-03-29
"Moore",0,37,2021-03-29
"Morris",0.062,33,2021-03-29
"Motley",0.2,5,2021-03-29
"Nacogdoches",0.068,579,2021-03-29
"Navarro",0.026,271,2021-03-29
"Newton",0.037,67,2021-03-29
"Nolan",0,56,2021-03-29
"Nueces",0.09,2537,2021-03-29
"Ochiltree",0,9,2021-03-29
"Oldham",0,1,2021-03-29
"Orange",0.077,712,2021-03-29
"Palo Pinto",0.071,128,2021-03-29
"Panola",0.022,154,2021-03-29
"Parker",0.042,1125,2021-03-29
"Parmer",0.118,40,2021-03-29
"Pecos",0.012,94,2021-03-29
"Polk",0.044,588,2021-03-29
"Potter",0.023,777,2021-03-29
"Presidio",0,7,2021-03-29
"Rains",0.08,40,2021-03-29
"Randall",0.022,713,2021-03-29
"Reagan",0,1,2021-03-29
"Real",0,18,2021-03-29
"Red River",0.02,75,2021-03-29
"Reeves",0.027,102,2021-03-29
"Refugio",0,37,2021-03-29
"Roberts",0,2,2021-03-29
"Robertson",0.07,198,2021-03-29
"Rockwall",0.044,1497,2021-03-29
"Runnels",0.026,47,2021-03-29
"Rusk",0.02,478,2021-03-29
"Sabine",0,61,2021-03-29
"San Augustine",0.052,56,2021-03-29
"San Jacinto",0.09,177,2021-03-29
"San Patricio",0.112,456,2021-03-29
"San Saba",0.029,109,2021-03-29
"Schleicher",0,6,2021-03-29
"Scurry",0.048,205,2021-03-29
"Shackelford",0,10,2021-03-29
"Shelby",0.053,148,2021-03-29
"Sherman",0,1,2021-03-29
"Smith",0.046,1843,2021-03-29
"Somervell",0,43,2021-03-29
"Starr",0.077,610,2021-03-29
"Stephens",0.019,26,2021-03-29
"Sterling",0.333,4,2021-03-29
"Stonewall",0,3,2021-03-29
"Sutton",0,12,2021-03-29
"Swisher",0.011,179,2021-03-29
"Tarrant",0.05,23085,2021-03-29
"Taylor",0.019,734,2021-03-29
"Terrell",0,1,2021-03-29
"Terry",0,18,2021-03-29
"Throckmorton",0,2,2021-03-29
"Titus",0.01,220,2021-03-29
"Tom Green",0.009,616,2021-03-29
"Travis",0.038,21387,2021-03-29
"Trinity",0,158,2021-03-29
"Tyler",0.069,114,2021-03-29
"Upshur",0.057,142,2021-03-29
"Upton",0,6,2021-03-29
"Uvalde",0.117,268,2021-03-29
"Val Verde",0.028,470,2021-03-29
"Van Zandt",0.054,254,2021-03-29
"Victoria",0.092,556,2021-03-29
"Walker",0.071,1748,2021-03-29
"Waller",0.054,751,2021-03-29
"Ward",0,30,2021-03-29
"Washington",0.064,792,2021-03-29
"Webb",0.039,4641,2021-03-29
"Wharton",0.074,335,2021-03-29
"Wheeler",0,6,2021-03-29
"Wichita",0.019,886,2021-03-29
"Wilbarger",0.067,137,2021-03-29
"Willacy",0.104,453,2021-03-29
"Williamson",0.043,8086,2021-03-29
"Wilson",0.04,433,2021-03-29
"Winkler",0.062,16,2021-03-29
"Wise",0.033,581,2021-03-29
"Wood",0.024,130,2021-03-29
"Yoakum",0,23,2021-03-29
"Young",0,66,2021-03-29
"Zapata",0.037,135,2021-03-29
"Zavala",0.062,91,2021-03-29
