Date,file_path,County,TPR,Tests,Transmission_Level,Community_Level
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Anderson,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Andrews,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Angelina,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Aransas,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Archer,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Armstrong,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Atascosa,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Austin,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Bailey,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Bandera,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Bastrop,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Baylor,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Bee,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Bell,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Bexar,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Blanco,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Borden,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Bosque,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Bowie,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Brazoria,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Brazos,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Brewster,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Briscoe,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Brooks,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Brown,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Burleson,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Burnet,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Caldwell,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Calhoun,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Callahan,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Cameron,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Camp,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Carson,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Cass,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Castro,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Chambers,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Cherokee,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Childress,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Clay,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Cochran,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Coke,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Coleman,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Collin,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Collingsworth,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Colorado,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Comal,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Comanche,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Concho,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Cooke,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Coryell,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Cottle,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Crane,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Crockett,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Crosby,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Culberson,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Dallam,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Dallas,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Dawson,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,DeWitt,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Deaf Smith,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Delta,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Denton,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Dickens,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Dimmit,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Donley,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Duval,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Eastland,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Ector,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Edwards,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,El Paso,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Ellis,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Erath,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Falls,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Fannin,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Fayette,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Fisher,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Floyd,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Foard,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Fort Bend,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Franklin,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Freestone,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Frio,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Gaines,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Galveston,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Garza,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Gillespie,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Glasscock,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Goliad,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Gonzales,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Gray,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Grayson,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Gregg,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Grimes,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Guadalupe,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hale,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hall,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hamilton,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hansford,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hardeman,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hardin,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Harris,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Harrison,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hartley,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Haskell,0,,High,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hays,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hemphill,0,,Low,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Henderson,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hidalgo,0,,Substantial,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hill,0,,Moderate,
2021-06-02,original-sources/historical/cpr_orig//cpr_2021-06-09.xlsx,Hockley,0,,High,
