"County","TPR_CPR","Tests","Date"
"Anderson",0.031,963,2021-05-17
"Andrews",0.034,29,2021-05-17
"Angelina",0.036,532,2021-05-17
"Aransas",0.02,118,2021-05-17
"Archer",0.091,16,2021-05-17
"Armstrong",0.25,11,2021-05-17
"Atascosa",0.011,1469,2021-05-17
"Austin",0.061,251,2021-05-17
"Bailey",0.043,26,2021-05-17
"Bandera",0.069,132,2021-05-17
"Bastrop",0.034,1423,2021-05-17
"Baylor",0,3,2021-05-17
"Bee",0.018,236,2021-05-17
"Bell",0.024,5043,2021-05-17
"Bexar",0.021,48986,2021-05-17
"Blanco",0.026,122,2021-05-17
"Borden",0,1,2021-05-17
"Bosque",0.012,137,2021-05-17
"Bowie",0.08,467,2021-05-17
"Brazoria",0.042,4425,2021-05-17
"Brazos",0.04,3062,2021-05-17
"Brewster",0.2,23,2021-05-17
"Briscoe",0,14,2021-05-17
"Brooks",0.009,661,2021-05-17
"Brown",0.062,87,2021-05-17
"Burleson",0.024,314,2021-05-17
"Burnet",0.022,731,2021-05-17
"Caldwell",0.054,1148,2021-05-17
"Calhoun",0.147,157,2021-05-17
"Callahan",0.027,37,2021-05-17
"Cameron",0.068,3858,2021-05-17
"Camp",0.071,26,2021-05-17
"Carson",0,24,2021-05-17
"Cass",0.03,158,2021-05-17
"Castro",0.119,54,2021-05-17
"Chambers",0.072,329,2021-05-17
"Cherokee",0.054,185,2021-05-17
"Childress",0.019,121,2021-05-17
"Clay",0.043,42,2021-05-17
"Cochran",0,15,2021-05-17
"Coke",0,6,2021-05-17
"Coleman",0,14,2021-05-17
"Collin",0.032,10564,2021-05-17
"Collingsworth",0,7,2021-05-17
"Colorado",0.029,125,2021-05-17
"Comal",0.079,1745,2021-05-17
"Comanche",0,39,2021-05-17
"Concho",0.143,5,2021-05-17
"Cooke",0.039,190,2021-05-17
"Coryell",0.016,971,2021-05-17
"Cottle",0,9,2021-05-17
"Crane",0,32,2021-05-17
"Crockett",0,1,2021-05-17
"Crosby",0,12,2021-05-17
"Culberson",0,7,2021-05-17
"Dallam",0,15,2021-05-17
"Dallas",0.036,27022,2021-05-17
"Dawson",0.057,30,2021-05-17
"Deaf Smith",0.185,76,2021-05-17
"Delta",0.05,19,2021-05-17
"Denton",0.03,8529,2021-05-17
"DeWitt",0.004,71,2021-05-17
"Dickens",0,3,2021-05-17
"Dimmit",0.051,358,2021-05-17
"Donley",0,8,2021-05-17
"Duval",0.01,80,2021-05-17
"Eastland",0.05,42,2021-05-17
"Ector",0.104,414,2021-05-17
"Edwards",0,5,2021-05-17
"El Paso",0.054,9312,2021-05-17
"Ellis",0.046,1621,2021-05-17
"Erath",0.059,244,2021-05-17
"Falls",0.006,119,2021-05-17
"Fannin",0.01,424,2021-05-17
"Fayette",0.01,314,2021-05-17
"Fisher",0,6,2021-05-17
"Floyd",0.019,48,2021-05-17
"Foard",0,7,2021-05-17
"Fort Bend",0.047,9290,2021-05-17
"Franklin",0.033,29,2021-05-17
"Freestone",0.018,312,2021-05-17
"Frio",0.06,708,2021-05-17
"Gaines",0.061,32,2021-05-17
"Galveston",0.061,5220,2021-05-17
"Garza",0.03,53,2021-05-17
"Gillespie",0.062,98,2021-05-17
"Glasscock",NA,0,2021-05-17
"Goliad",0.182,24,2021-05-17
"Gonzales",0.024,114,2021-05-17
"Gray",0.014,97,2021-05-17
"Grayson",0.032,1019,2021-05-17
"Gregg",0.077,514,2021-05-17
"Grimes",0.016,836,2021-05-17
"Guadalupe",0.042,1341,2021-05-17
"Hale",0.016,349,2021-05-17
"Hall",0,17,2021-05-17
"Hamilton",0.098,101,2021-05-17
"Hansford",0,5,2021-05-17
"Hardeman",0,21,2021-05-17
"Hardin",0.111,327,2021-05-17
"Harris",0.046,52893,2021-05-17
"Harrison",0.041,230,2021-05-17
"Hartley",NA,1,2021-05-17
"Haskell",0,12,2021-05-17
"Hays",0.047,4947,2021-05-17
"Hemphill",0.5,2,2021-05-17
"Henderson",0.097,328,2021-05-17
