Date,file_path,County,TPR,Tests,Transmission_Level,Community_Level
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Dickens,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Dimmit,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Donley,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Duval,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Eastland,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Ector,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Edwards,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,El Paso,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Ellis,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Erath,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Falls,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Fannin,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Fayette,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Fisher,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Floyd,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Foard,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Fort Bend,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Franklin,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Freestone,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Frio,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Gaines,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Galveston,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Garza,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Gillespie,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Glasscock,0,,Low,
