"County","TPR_CPR","Tests","Date"
"Anderson",0.037,596,2021-03-14
"Andrews",0.037,25,2021-03-14
"Angelina",0.086,565,2021-03-14
"Aransas",0.077,136,2021-03-14
"Archer",0,20,2021-03-14
"Armstrong",0,6,2021-03-14
"Atascosa",0.092,453,2021-03-14
"Austin",0.089,337,2021-03-14
"Bailey",0,19,2021-03-14
"Bandera",0.016,125,2021-03-14
"Bastrop",0.072,823,2021-03-14
"Baylor",0,6,2021-03-14
"Bee",0.026,322,2021-03-14
"Bell",0.038,4588,2021-03-14
"Bexar",0.06,21979,2021-03-14
"Blanco",0.022,92,2021-03-14
"Borden",0,3,2021-03-14
"Bosque",0.043,147,2021-03-14
"Bowie",0.052,522,2021-03-14
"Brazoria",0.079,5592,2021-03-14
"Brazos",0.084,5371,2021-03-14
"Brewster",0.067,19,2021-03-14
"Briscoe",0,2,2021-03-14
"Brooks",0.009,479,2021-03-14
"Brown",0.043,122,2021-03-14
"Burleson",0.094,369,2021-03-14
"Burnet",0.062,809,2021-03-14
"Caldwell",0.103,552,2021-03-14
"Calhoun",0.099,169,2021-03-14
"Callahan",0.042,50,2021-03-14
"Cameron",0.064,4151,2021-03-14
"Camp",0.024,65,2021-03-14
"Carson",0,26,2021-03-14
"Cass",0.01,117,2021-03-14
"Castro",0.111,33,2021-03-14
"Chambers",0.113,364,2021-03-14
"Cherokee",0.041,246,2021-03-14
"Childress",0.125,34,2021-03-14
"Clay",0,36,2021-03-14
"Cochran",0.111,9,2021-03-14
"Coke",0,56,2021-03-14
"Coleman",0.088,43,2021-03-14
"Collin",0.051,12117,2021-03-14
"Collingsworth",0.375,9,2021-03-14
"Colorado",0.079,156,2021-03-14
"Comal",0.048,1619,2021-03-14
"Comanche",0.057,61,2021-03-14
"Concho",0,12,2021-03-14
"Cooke",0.088,328,2021-03-14
"Coryell",0.018,973,2021-03-14
"Cottle",0,9,2021-03-14
"Crane",0.022,6,2021-03-14
"Crockett",0,3,2021-03-14
"Crosby",0,9,2021-03-14
"Culberson",0,9,2021-03-14
"Dallam",0.008,7,2021-03-14
"Dallas",0.053,32144,2021-03-14
"Dawson",0,111,2021-03-14
"Deaf Smith",0.023,70,2021-03-14
"Delta",0.105,24,2021-03-14
"Denton",0.05,10703,2021-03-14
"DeWitt",0.078,276,2021-03-14
"Dickens",0,11,2021-03-14
"Dimmit",0.115,169,2021-03-14
"Donley",0,12,2021-03-14
"Duval",0.047,275,2021-03-14
"Eastland",0,57,2021-03-14
"Ector",0.096,491,2021-03-14
"Edwards",0,2,2021-03-14
"El Paso",0.089,13372,2021-03-14
"Ellis",0.063,2338,2021-03-14
"Erath",0.051,319,2021-03-14
"Falls",0.032,273,2021-03-14
"Fannin",0.021,486,2021-03-14
"Fayette",0.182,225,2021-03-14
"Fisher",0,25,2021-03-14
"Floyd",0,31,2021-03-14
"Foard",0.5,2,2021-03-14
"Fort Bend",0.07,12350,2021-03-14
"Franklin",0,60,2021-03-14
"Freestone",0,320,2021-03-14
"Frio",0.062,416,2021-03-14
"Gaines",0,23,2021-03-14
"Galveston",0.089,5716,2021-03-14
"Garza",0,92,2021-03-14
"Gillespie",0.059,97,2021-03-14
"Glasscock",NA,0,2021-03-14
"Goliad",0.026,53,2021-03-14
"Gonzales",0.15,138,2021-03-14
"Gray",0.1,72,2021-03-14
"Grayson",0.056,869,2021-03-14
"Gregg",0.043,784,2021-03-14
"Grimes",0.02,961,2021-03-14
"Guadalupe",0.047,1089,2021-03-14
"Hale",0.006,310,2021-03-14
"Hall",0,9,2021-03-14
"Hamilton",0.054,121,2021-03-14
"Hansford",0,8,2021-03-14
"Hardeman",0,11,2021-03-14
"Hardin",0.079,361,2021-03-14
"Harris",0.072,73382,2021-03-14
"Harrison",0.05,313,2021-03-14
"Hartley",0,0,2021-03-14
"Haskell",0,9,2021-03-14
"Hays",0.047,4925,2021-03-14
"Hemphill",0,3,2021-03-14
"Henderson",0.074,301,2021-03-14
"Hidalgo",0.081,5469,2021-03-14
"Hill",0.039,305,2021-03-14
"Hockley",0.056,66,2021-03-14
"Hood",0.09,382,2021-03-14
"Hopkins",0.019,237,2021-03-14
"Houston",0.028,86,2021-03-14
"Howard",0.006,282,2021-03-14
"Hudspeth",0.053,31,2021-03-14
"Hunt",0.065,613,2021-03-14
"Hutchinson",0.037,39,2021-03-14
"Irion",0,8,2021-03-14
"Jack",0,34,2021-03-14
"Jackson",0.079,65,2021-03-14
"Jasper",0.031,170,2021-03-14
"Jeff Davis",0,2,2021-03-14
"Jefferson",0.034,2031,2021-03-14
"Jim Hogg",0,260,2021-03-14
"Jim Wells",0.053,566,2021-03-14
"Johnson",0.065,1387,2021-03-14
"Jones",0.037,65,2021-03-14
"Karnes",0.024,293,2021-03-14
"Kaufman",0.084,1285,2021-03-14
"Kendall",0.057,346,2021-03-14
"Kenedy",0,2,2021-03-14
"Kent",1,2,2021-03-14
"Kerr",0.06,269,2021-03-14
"Kimble",0,11,2021-03-14
"King",NA,0,2021-03-14
"Kinney",0,22,2021-03-14
"Kleberg",0.091,319,2021-03-14
"Knox",0,3,2021-03-14
"La Salle",0,85,2021-03-14
"Lamar",0.05,309,2021-03-14
"Lamb",0,20,2021-03-14
"Lampasas",0.034,239,2021-03-14
"Lavaca",0.206,168,2021-03-14
"Lee",0.077,160,2021-03-14
"Leon",0.049,158,2021-03-14
"Liberty",0.071,802,2021-03-14
"Limestone",0.008,352,2021-03-14
"Lipscomb",0,2,2021-03-14
"Live Oak",0.043,88,2021-03-14
"Llano",0.043,360,2021-03-14
"Loving",0,0,2021-03-14
"Lubbock",0.014,2002,2021-03-14
"Lynn",0,20,2021-03-14
"Madison",0.075,129,2021-03-14
"Marion",0,38,2021-03-14
"Martin",0,15,2021-03-14
"Mason",0,13,2021-03-14
"Matagorda",0.111,589,2021-03-14
"Maverick",0.041,760,2021-03-14
"McCulloch",0,18,2021-03-14
"McLennan",0.044,2680,2021-03-14
"McMullen",NA,1,2021-03-14
"Medina",0.048,254,2021-03-14
"Menard",0,9,2021-03-14
"Midland",0.077,706,2021-03-14
"Milam",0.027,349,2021-03-14
"Mills",0.067,52,2021-03-14
"Mitchell",0.167,50,2021-03-14
"Montague",0.039,121,2021-03-14
"Montgomery",0.092,7396,2021-03-14
"Moore",0,56,2021-03-14
"Morris",0.027,56,2021-03-14
"Motley",0,7,2021-03-14
"Nacogdoches",0.054,619,2021-03-14
"Navarro",0.022,333,2021-03-14
"Newton",0.075,48,2021-03-14
"Nolan",0.065,49,2021-03-14
"Nueces",0.055,2268,2021-03-14
"Ochiltree",0,7,2021-03-14
"Oldham",0,4,2021-03-14
"Orange",0.055,643,2021-03-14
"Palo Pinto",0.075,137,2021-03-14
"Panola",0.019,161,2021-03-14
"Parker",0.04,1094,2021-03-14
"Parmer",0.033,35,2021-03-14
"Pecos",0.007,84,2021-03-14
"Polk",0.014,563,2021-03-14
"Potter",0.011,736,2021-03-14
"Presidio",0.2,11,2021-03-14
"Rains",0.111,40,2021-03-14
"Randall",0.024,526,2021-03-14
"Reagan",0,4,2021-03-14
"Real",0,14,2021-03-14
"Red River",0.012,102,2021-03-14
"Reeves",0,211,2021-03-14
"Refugio",0.067,28,2021-03-14
"Roberts",0,1,2021-03-14
"Robertson",0.057,220,2021-03-14
"Rockwall",0.053,1646,2021-03-14
"Runnels",0.029,51,2021-03-14
"Rusk",0.102,400,2021-03-14
"Sabine",0,75,2021-03-14
"San Augustine",0.07,54,2021-03-14
"San Jacinto",0.073,298,2021-03-14
"San Patricio",0.095,360,2021-03-14
"San Saba",0.028,38,2021-03-14
"Schleicher",0,13,2021-03-14
"Scurry",0.036,182,2021-03-14
"Shackelford",0,12,2021-03-14
"Shelby",0.011,139,2021-03-14
"Sherman",0,2,2021-03-14
"Smith",0.064,1703,2021-03-14
"Somervell",0.033,51,2021-03-14
"Starr",0.177,632,2021-03-14
"Stephens",0.067,109,2021-03-14
"Sterling",0,4,2021-03-14
"Stonewall",NA,0,2021-03-14
"Sutton",0.5,8,2021-03-14
"Swisher",0.039,64,2021-03-14
"Tarrant",0.065,23550,2021-03-14
"Taylor",0.048,1204,2021-03-14
"Terrell",NA,0,2021-03-14
"Terry",0,20,2021-03-14
"Throckmorton",0,10,2021-03-14
"Titus",0.022,273,2021-03-14
"Tom Green",0.02,754,2021-03-14
"Travis",0.041,18604,2021-03-14
"Trinity",0.025,122,2021-03-14
"Tyler",0.066,94,2021-03-14
"Upshur",0.046,187,2021-03-14
"Upton",0.2,9,2021-03-14
"Uvalde",0.052,295,2021-03-14
"Val Verde",0.025,579,2021-03-14
"Van Zandt",0.04,247,2021-03-14
"Victoria",0.064,569,2021-03-14
"Walker",0.04,1423,2021-03-14
"Waller",0.082,777,2021-03-14
"Ward",0.143,24,2021-03-14
"Washington",0.06,740,2021-03-14
"Webb",0.038,4075,2021-03-14
"Wharton",0.118,332,2021-03-14
"Wheeler",0,4,2021-03-14
"Wichita",0.017,724,2021-03-14
"Wilbarger",0.066,164,2021-03-14
"Willacy",0.083,586,2021-03-14
"Williamson",0.045,8533,2021-03-14
"Wilson",0.026,389,2021-03-14
"Winkler",0,7,2021-03-14
"Wise",0.042,647,2021-03-14
"Wood",0.101,202,2021-03-14
"Yoakum",0,9,2021-03-14
"Young",0.017,86,2021-03-14
"Zapata",0.044,141,2021-03-14
"Zavala",0.127,85,2021-03-14
