"County","TPR_CPR","Tests","Date"
"Anderson",0.029,804,2021-04-11
"Andrews",0.04,34,2021-04-11
"Angelina",0.064,702,2021-04-11
"Aransas",0.091,145,2021-04-11
"Archer",0,29,2021-04-11
"Armstrong",0,11,2021-04-11
"Atascosa",0.006,1508,2021-04-11
"Austin",0.125,305,2021-04-11
"Bailey",0,21,2021-04-11
"Bandera",0.09,127,2021-04-11
"Bastrop",0.077,980,2021-04-11
"Baylor",0,19,2021-04-11
"Bee",0.023,622,2021-04-11
"Bell",0.044,5188,2021-04-11
"Bexar",0.022,56162,2021-04-11
"Blanco",0.052,121,2021-04-11
"Borden",NA,3,2021-04-11
"Bosque",0.06,140,2021-04-11
"Bowie",0.032,714,2021-04-11
"Brazoria",0.074,5609,2021-04-11
"Brazos",0.073,4995,2021-04-11
"Brewster",0,8,2021-04-11
"Briscoe",0,7,2021-04-11
"Brooks",0.015,423,2021-04-11
"Brown",0.029,222,2021-04-11
"Burleson",0.032,295,2021-04-11
"Burnet",0.055,742,2021-04-11
"Caldwell",0.045,587,2021-04-11
"Calhoun",0.107,128,2021-04-11
"Callahan",0.04,39,2021-04-11
"Cameron",0.094,3852,2021-04-11
"Camp",0.167,44,2021-04-11
"Carson",0,27,2021-04-11
"Cass",0.06,104,2021-04-11
"Castro",0,63,2021-04-11
"Chambers",0.053,403,2021-04-11
"Cherokee",0.005,426,2021-04-11
"Childress",0,30,2021-04-11
"Clay",0,44,2021-04-11
"Cochran",0.083,16,2021-04-11
"Coke",0.111,6,2021-04-11
"Coleman",0,10,2021-04-11
"Collin",0.05,10445,2021-04-11
"Collingsworth",0.059,13,2021-04-11
"Colorado",0.183,136,2021-04-11
"Comal",0.062,1846,2021-04-11
"Comanche",0.027,50,2021-04-11
"Concho",0,6,2021-04-11
"Cooke",0.026,217,2021-04-11
"Coryell",0.027,1096,2021-04-11
"Cottle",0,9,2021-04-11
"Crane",0,12,2021-04-11
"Crockett",0,1,2021-04-11
"Crosby",0,31,2021-04-11
"Culberson",0.083,11,2021-04-11
"Dallam",0.062,135,2021-04-11
"Dallas",0.048,28483,2021-04-11
"Dawson",0.024,168,2021-04-11
"Deaf Smith",0.06,69,2021-04-11
"Delta",0,22,2021-04-11
"Denton",0.045,9491,2021-04-11
"DeWitt",0.096,67,2021-04-11
"Dickens",0.2,6,2021-04-11
"Dimmit",0.109,385,2021-04-11
"Donley",0,6,2021-04-11
"Duval",0.049,72,2021-04-11
"Eastland",0,44,2021-04-11
"Ector",0.098,442,2021-04-11
"Edwards",0,3,2021-04-11
"El Paso",0.111,10320,2021-04-11
"Ellis",0.059,1665,2021-04-11
"Erath",0.059,257,2021-04-11
"Falls",0.017,119,2021-04-11
"Fannin",0.033,248,2021-04-11
"Fayette",0.102,250,2021-04-11
"Fisher",0.2,19,2021-04-11
"Floyd",0,42,2021-04-11
"Foard",0,5,2021-04-11
"Fort Bend",0.07,10752,2021-04-11
"Franklin",0.04,25,2021-04-11
"Freestone",0.009,102,2021-04-11
"Frio",0.054,274,2021-04-11
"Gaines",0.1,32,2021-04-11
"Galveston",0.077,6175,2021-04-11
"Garza",0.029,41,2021-04-11
"Gillespie",0.028,107,2021-04-11
"Glasscock",1,2,2021-04-11
"Goliad",0.04,30,2021-04-11
"Gonzales",0.113,87,2021-04-11
"Gray",0.031,59,2021-04-11
"Grayson",0.052,1252,2021-04-11
"Gregg",0.03,654,2021-04-11
"Grimes",0.017,789,2021-04-11
"Guadalupe",0.042,1919,2021-04-11
"Hale",0.052,250,2021-04-11
"Hall",0,4,2021-04-11
"Hamilton",0.025,83,2021-04-11
"Hansford",0,10,2021-04-11
"Hardeman",0.091,14,2021-04-11
"Hardin",0.051,380,2021-04-11
"Harris",0.074,68908,2021-04-11
"Harrison",0.034,336,2021-04-11
"Hartley",NA,2,2021-04-11
"Haskell",0,6,2021-04-11
"Hays",0.081,4918,2021-04-11
"Hemphill",0,5,2021-04-11
"Henderson",0.04,309,2021-04-11
"Hidalgo",0.082,6219,2021-04-11
"Hill",0.064,242,2021-04-11
"Hockley",0.069,165,2021-04-11
"Hood",0.053,303,2021-04-11
"Hopkins",0.009,130,2021-04-11
"Houston",0.027,191,2021-04-11
"Howard",0.019,106,2021-04-11
"Hudspeth",0.176,9,2021-04-11
"Hunt",0.139,446,2021-04-11
"Hutchinson",0.07,72,2021-04-11
"Irion",NA,5,2021-04-11
"Jack",0.043,90,2021-04-11
"Jackson",0.104,66,2021-04-11
"Jasper",0.029,292,2021-04-11
"Jeff Davis",0,2,2021-04-11
"Jefferson",0.05,2254,2021-04-11
"Jim Hogg",0,92,2021-04-11
"Jim Wells",0.071,381,2021-04-11
"Johnson",0.043,1163,2021-04-11
"Jones",0,44,2021-04-11
"Karnes",0.064,293,2021-04-11
"Kaufman",0.054,1128,2021-04-11
"Kendall",0.02,410,2021-04-11
"Kenedy",0,2,2021-04-11
"Kent",0,5,2021-04-11
"Kerr",0.014,321,2021-04-11
"Kimble",0,14,2021-04-11
"King",NA,0,2021-04-11
"Kinney",0,47,2021-04-11
"Kleberg",0.086,181,2021-04-11
"Knox",0,7,2021-04-11
"La Salle",0,142,2021-04-11
"Lamar",0.077,174,2021-04-11
"Lamb",0.071,65,2021-04-11
"Lampasas",0.044,284,2021-04-11
"Lavaca",0.105,138,2021-04-11
"Lee",0.071,115,2021-04-11
"Leon",0.059,161,2021-04-11
"Liberty",0.072,918,2021-04-11
"Limestone",0.038,210,2021-04-11
"Lipscomb",0,5,2021-04-11
"Live Oak",0.035,106,2021-04-11
