"County","TPR_CPR","Tests","Date"
"Anderson",0.012,197,2022-03-20
"Andrews",0,22,2022-03-20
"Angelina",0.01,249,2022-03-20
"Aransas",0.039,192,2022-03-20
"Archer",0,47,2022-03-20
"Armstrong",0,16,2022-03-20
"Atascosa",0.021,380,2022-03-20
"Austin",0.009,253,2022-03-20
"Bailey",0.062,16,2022-03-20
"Bandera",0.029,143,2022-03-20
"Bastrop",0.015,677,2022-03-20
"Baylor",0,4,2022-03-20
"Bee",0.063,134,2022-03-20
"Bell",0.021,2822,2022-03-20
"Bexar",0.014,31338,2022-03-20
"Blanco",0.079,126,2022-03-20
"Borden",,1,2022-03-20
"Bosque",0,50,2022-03-20
"Bowie",0.014,511,2022-03-20
"Brazoria",0.023,4146,2022-03-20
"Brazos",0.016,2550,2022-03-20
"Brewster",0.12,32,2022-03-20
"Briscoe",0.25,8,2022-03-20
"Brooks",0,51,2022-03-20
"Brown",0.028,77,2022-03-20
"Burleson",0.029,211,2022-03-20
"Burnet",0.022,286,2022-03-20
"Caldwell",0.023,514,2022-03-20
"Calhoun",0,99,2022-03-20
"Callahan",0.083,45,2022-03-20
"Cameron",0.038,3404,2022-03-20
"Camp",0,61,2022-03-20
"Carson",0,20,2022-03-20
"Cass",0.028,119,2022-03-20
"Castro",0,19,2022-03-20
"Chambers",0.042,413,2022-03-20
"Cherokee",0.019,154,2022-03-20
"Childress",0.021,49,2022-03-20
"Clay",0.074,43,2022-03-20
"Cochran",0.125,18,2022-03-20
"Coke",0,8,2022-03-20
"Coleman",0,13,2022-03-20
"Collin",0.026,7179,2022-03-20
"Collingsworth",0,17,2022-03-20
"Colorado",0.009,95,2022-03-20
"Comal",0.056,1338,2022-03-20
"Comanche",0,44,2022-03-20
"Concho",0,7,2022-03-20
"Cooke",0.052,138,2022-03-20
"Coryell",0.015,330,2022-03-20
"Cottle",0,3,2022-03-20
"Crane",1,10,2022-03-20
"Crockett",0,2,2022-03-20
"Crosby",0.182,11,2022-03-20
"Culberson",0,7,2022-03-20
"Dallam",0.222,13,2022-03-20
"Dallas",0.022,21880,2022-03-20
"Dawson",0,19,2022-03-20
"Deaf Smith",0.091,54,2022-03-20
"Delta",0,32,2022-03-20
"Denton",0.018,5783,2022-03-20
"DeWitt",0.078,65,2022-03-20
"Dickens",0,2,2022-03-20
"Dimmit",0.016,151,2022-03-20
"Donley",0.222,17,2022-03-20
"Duval",0.029,121,2022-03-20
"Eastland",0,30,2022-03-20
"Ector",0.018,444,2022-03-20
"Edwards",0,15,2022-03-20
"El Paso",0.042,10884,2022-03-20
"Ellis",0.026,1338,2022-03-20
"Erath",0.014,199,2022-03-20
"Falls",0.021,64,2022-03-20
"Fannin",0,208,2022-03-20
"Fayette",0.04,122,2022-03-20
"Fisher",0.222,13,2022-03-20
"Floyd",0,20,2022-03-20
"Foard",0,5,2022-03-20
"Fort Bend",0.023,13038,2022-03-20
"Franklin",0,43,2022-03-20
"Freestone",0.014,67,2022-03-20
"Frio",0.059,511,2022-03-20
"Gaines",0,17,2022-03-20
"Galveston",0.028,3916,2022-03-20
"Garza",0,55,2022-03-20
"Gillespie",0.053,144,2022-03-20
"Glasscock",,2,2022-03-20
"Goliad",0,40,2022-03-20
"Gonzales",0,61,2022-03-20
"Gray",0.083,65,2022-03-20
"Grayson",0.019,802,2022-03-20
"Gregg",0.007,389,2022-03-20
"Grimes",0.037,300,2022-03-20
"Guadalupe",0.023,926,2022-03-20
