"County","TPR_CPR","Tests","Date"
"Anderson",0.03,703,2021-03-02
"Andrews",0.03,33,2021-03-02
"Angelina",0.08,1005,2021-03-02
"Aransas",0.2,75,2021-03-02
"Archer",0,7,2021-03-02
"Armstrong",0,4,2021-03-02
"Atascosa",0.122,181,2021-03-02
"Austin",0.107,225,2021-03-02
"Bailey",0,7,2021-03-02
"Bandera",0.08,50,2021-03-02
"Bastrop",0.069,524,2021-03-02
"Baylor",NA,0,2021-03-02
"Bee",0.031,488,2021-03-02
"Bell",0.079,2825,2021-03-02
"Bexar",0.1,15971,2021-03-02
"Blanco",0.094,53,2021-03-02
"Borden",NA,0,2021-03-02
"Bosque",0.051,78,2021-03-02
"Bowie",0.088,635,2021-03-02
"Brazoria",0.131,3105,2021-03-02
"Brazos",0.095,4326,2021-03-02
"Brewster",0.167,12,2021-03-02
"Briscoe",0.5,2,2021-03-02
"Brooks",0.029,204,2021-03-02
"Brown",0.07,142,2021-03-02
"Burleson",0.066,196,2021-03-02
"Burnet",0.136,558,2021-03-02
"Caldwell",0.11,518,2021-03-02
"Calhoun",0.222,81,2021-03-02
"Callahan",0.091,22,2021-03-02
"Cameron",0.087,2763,2021-03-02
"Camp",0.153,59,2021-03-02
"Carson",0.2,10,2021-03-02
"Cass",0.147,68,2021-03-02
"Castro",0,17,2021-03-02
"Chambers",0.071,224,2021-03-02
"Cherokee",0.132,121,2021-03-02
"Childress",0.111,9,2021-03-02
"Clay",0.118,17,2021-03-02
"Cochran",0,2,2021-03-02
"Coke",0,94,2021-03-02
"Coleman",0.042,24,2021-03-02
"Collin",0.086,5872,2021-03-02
"Collingsworth",0,6,2021-03-02
"Colorado",0.088,102,2021-03-02
"Comal",0.086,1102,2021-03-02
"Comanche",0.114,35,2021-03-02
"Concho",0,9,2021-03-02
"Cooke",0.097,144,2021-03-02
"Coryell",0.045,643,2021-03-02
"Cottle",0.5,6,2021-03-02
"Crane",0.167,6,2021-03-02
"Crockett",0,1,2021-03-02
"Crosby",0.111,9,2021-03-02
"Culberson",0.1,10,2021-03-02
"Dallam",0,6,2021-03-02
"Dallas",0.085,16447,2021-03-02
"Dawson",0,77,2021-03-02
"Deaf Smith",0.088,34,2021-03-02
"Delta",0.056,18,2021-03-02
"Denton",0.092,5125,2021-03-02
"DeWitt",0.123,65,2021-03-02
"Dickens",0,5,2021-03-02
"Dimmit",0.132,288,2021-03-02
"Donley",0,4,2021-03-02
"Duval",0.023,88,2021-03-02
"Eastland",0.146,41,2021-03-02
"Ector",0.099,294,2021-03-02
"Edwards",0,6,2021-03-02
"El Paso",0.073,5961,2021-03-02
"Ellis",0.074,1439,2021-03-02
"Erath",0.039,255,2021-03-02
"Falls",0.115,78,2021-03-02
"Fannin",0.088,91,2021-03-02
"Fayette",0.11,146,2021-03-02
"Fisher",0,5,2021-03-02
"Floyd",0,18,2021-03-02
"Foard",0,1,2021-03-02
"Fort Bend",0.102,7117,2021-03-02
"Franklin",0.167,48,2021-03-02
"Freestone",0.167,48,2021-03-02
"Frio",0.074,285,2021-03-02
"Gaines",0,25,2021-03-02
"Galveston",0.106,3672,2021-03-02
"Garza",0.116,43,2021-03-02
"Gillespie",0.333,60,2021-03-02
"Glasscock",0,1,2021-03-02
"Goliad",0.083,24,2021-03-02
"Gonzales",0.136,88,2021-03-02
"Gray",0.087,23,2021-03-02
"Grayson",0.078,488,2021-03-02
"Gregg",0.052,764,2021-03-02
"Grimes",0.046,733,2021-03-02
"Guadalupe",0.084,760,2021-03-02
"Hale",0.038,160,2021-03-02
"Hall",0.143,7,2021-03-02
"Hamilton",0.058,52,2021-03-02
"Hansford",NA,0,2021-03-02
"Hardeman",0,2,2021-03-02
"Hardin",0.057,245,2021-03-02
"Harris",0.099,39543,2021-03-02
"Harrison",0.062,241,2021-03-02
"Hartley",0,1,2021-03-02
"Haskell",0,3,2021-03-02
"Hays",0.077,3393,2021-03-02
"Hemphill",0,1,2021-03-02
"Henderson",0.131,229,2021-03-02
"Hidalgo",0.136,3679,2021-03-02
"Hill",0.025,122,2021-03-02
"Hockley",0.025,40,2021-03-02
"Hood",0.14,157,2021-03-02
"Hopkins",0.104,134,2021-03-02
"Houston",0.031,97,2021-03-02
"Howard",0.012,81,2021-03-02
