"County","TPR_CPR","Tests","Date"
"Anderson",0.363,375,2022-08-01
"Andrews",0.4,17,2022-08-01
"Angelina",0.31,226,2022-08-01
"Aransas",0.331,246,2022-08-01
"Archer",0.429,61,2022-08-01
"Armstrong",0.2,14,2022-08-01
"Atascosa",0.301,345,2022-08-01
"Austin",0.358,177,2022-08-01
"Bailey",0.167,11,2022-08-01
"Bandera",0.26,151,2022-08-01
"Bastrop",0.353,627,2022-08-01
"Baylor",0.333,9,2022-08-01
"Bee",0.429,151,2022-08-01
"Bell",0.302,2748,2022-08-01
"Bexar",0.284,18609,2022-08-01
"Blanco",0.231,126,2022-08-01
"Borden",0.5,3,2022-08-01
"Bosque",0.25,67,2022-08-01
"Bowie",0.286,367,2022-08-01
"Brazoria",0.208,5866,2022-08-01
"Brazos",0.264,2020,2022-08-01
"Brewster",0.325,42,2022-08-01
"Briscoe",0.429,5,2022-08-01
"Brooks",0.294,59,2022-08-01
"Brown",0.438,50,2022-08-01
"Burleson",0.115,231,2022-08-01
"Burnet",0.365,324,2022-08-01
"Caldwell",0.423,559,2022-08-01
"Calhoun",0.367,129,2022-08-01
"Callahan",0.387,53,2022-08-01
"Cameron",0.295,3247,2022-08-01
"Camp",0.278,73,2022-08-01
"Carson",0.417,18,2022-08-01
"Cass",0.465,125,2022-08-01
"Castro",0,38,2022-08-01
"Chambers",0.381,433,2022-08-01
"Cherokee",0.339,188,2022-08-01
"Childress",0.325,82,2022-08-01
"Clay",0.235,26,2022-08-01
"Cochran",0.308,11,2022-08-01
"Coke",0.429,7,2022-08-01
"Coleman",0,16,2022-08-01
"Collin",0.301,6911,2022-08-01
"Collingsworth",0,7,2022-08-01
"Colorado",0.396,82,2022-08-01
"Comal",0.323,955,2022-08-01
"Comanche",0.19,34,2022-08-01
"Concho",0.4,11,2022-08-01
"Cooke",0.298,188,2022-08-01
"Coryell",0.284,470,2022-08-01
"Cottle",0.167,16,2022-08-01
"Crane",0.444,12,2022-08-01
"Crockett",0,5,2022-08-01
"Crosby",0.294,21,2022-08-01
"Culberson",0.25,4,2022-08-01
"Dallam",0.5,4,2022-08-01
"Dallas",0.306,19734,2022-08-01
"Dawson",0.636,11,2022-08-01
"Deaf Smith",0.463,94,2022-08-01
"Delta",0.3,16,2022-08-01
"Denton",0.296,5498,2022-08-01
"DeWitt",0.359,122,2022-08-01
"Dickens",0.25,5,2022-08-01
"Dimmit",0.212,53,2022-08-01
"Donley",0.154,14,2022-08-01
"Duval",0.278,166,2022-08-01
"Eastland",0.431,82,2022-08-01
"Ector",0.331,583,2022-08-01
"Edwards",0.333,21,2022-08-01
"El Paso",0.337,6510,2022-08-01
"Ellis",0.259,1234,2022-08-01
"Erath",0.195,122,2022-08-01
"Falls",0.226,100,2022-08-01
"Fannin",0.114,285,2022-08-01
"Fayette",0.414,76,2022-08-01
"Fisher",0,8,2022-08-01
"Floyd",0.276,36,2022-08-01
"Foard",0,6,2022-08-01
"Fort Bend",0.281,7689,2022-08-01
"Franklin",0.258,53,2022-08-01
"Freestone",0.25,80,2022-08-01
"Frio",0.106,384,2022-08-01
"Gaines",0.294,30,2022-08-01
"Galveston",0.294,4768,2022-08-01
"Garza",0.714,8,2022-08-01
"Gillespie",0.237,104,2022-08-01
"Glasscock",,1,2022-08-01
"Goliad",0.235,33,2022-08-01
"Gonzales",0.256,71,2022-08-01
"Gray",0.256,43,2022-08-01
"Grayson",0.251,503,2022-08-01
"Gregg",0.321,316,2022-08-01
"Grimes",0.275,255,2022-08-01
"Guadalupe",0.251,695,2022-08-01
"Hale",0.315,161,2022-08-01
"Hall",0.4,28,2022-08-01
"Hamilton",0.258,67,2022-08-01
"Hansford",0.385,20,2022-08-01
"Hardeman",0.214,15,2022-08-01
"Hardin",0.351,288,2022-08-01
"Harris",0.283,41744,2022-08-01
"Harrison",0.299,108,2022-08-01
"Hartley",,1,2022-08-01
"Haskell",0.333,16,2022-08-01
"Hays",0.349,2235,2022-08-01
"Hemphill",0,4,2022-08-01
"Henderson",0.304,362,2022-08-01
"Hidalgo",0.364,5479,2022-08-01
"Hill",0.324,140,2022-08-01
"Hockley",0.41,271,2022-08-01
"Hood",0.233,243,2022-08-01
"Hopkins",0.333,169,2022-08-01
"Houston",0.302,58,2022-08-01
"Howard",0.175,74,2022-08-01
"Hudspeth",0.182,15,2022-08-01
"Hunt",0.281,428,2022-08-01
"Hutchinson",0.559,56,2022-08-01
"Irion",0.222,11,2022-08-01
"Jack",0.294,21,2022-08-01
"Jackson",0.354,116,2022-08-01
"Jasper",0.349,174,2022-08-01
"Jeff Davis",0.364,11,2022-08-01
"Jefferson",0.29,1447,2022-08-01
"Jim Hogg",0.2,7,2022-08-01
