"County","TPR_CPR","Tests","Date"
"Anderson",0.504,701,2022-01-09
"Andrews",0.469,40,2022-01-09
"Angelina",0.318,579,2022-01-09
"Aransas",0.436,325,2022-01-09
"Archer",0.5,151,2022-01-09
"Armstrong",0.167,14,2022-01-09
"Atascosa",0.288,1054,2022-01-09
"Austin",0.35,482,2022-01-09
"Bailey",0.412,19,2022-01-09
"Bandera",0.363,261,2022-01-09
"Bastrop",0.362,2004,2022-01-09
"Baylor",0.417,38,2022-01-09
"Bee",0.399,442,2022-01-09
"Bell",0.335,5094,2022-01-09
"Bexar",0.365,64261,2022-01-09
"Blanco",0.231,136,2022-01-09
"Borden",0.571,11,2022-01-09
"Bosque",0.394,196,2022-01-09
"Bowie",0.407,991,2022-01-09
"Brazoria",0.396,13555,2022-01-09
"Brazos",0.339,10799,2022-01-09
"Brewster",0.267,16,2022-01-09
"Briscoe",0.306,45,2022-01-09
"Brooks",0.276,51,2022-01-09
"Brown",0.415,383,2022-01-09
"Burleson",0.339,468,2022-01-09
"Burnet",0.227,568,2022-01-09
"Caldwell",0.425,2234,2022-01-09
"Calhoun",0.333,400,2022-01-09
"Callahan",0.414,132,2022-01-09
"Cameron",0.367,7311,2022-01-09
"Camp",0.293,147,2022-01-09
"Carson",0.195,53,2022-01-09
"Cass",0.518,295,2022-01-09
"Castro",0.378,193,2022-01-09
"Chambers",0.475,993,2022-01-09
"Cherokee",0.376,298,2022-01-09
"Childress",0.408,195,2022-01-09
"Clay",0.362,131,2022-01-09
"Cochran",0.489,44,2022-01-09
"Coke",0.529,26,2022-01-09
"Coleman",0.24,47,2022-01-09
"Collin",0.373,27750,2022-01-09
"Collingsworth",0.265,35,2022-01-09
"Colorado",0.416,287,2022-01-09
"Comal",0.359,3522,2022-01-09
"Comanche",0.259,167,2022-01-09
"Concho",0.556,51,2022-01-09
"Cooke",0.41,331,2022-01-09
"Coryell",0.31,1683,2022-01-09
"Cottle",0.375,16,2022-01-09
"Crane",0.385,21,2022-01-09
"Crockett",0.417,7,2022-01-09
"Crosby",0.455,53,2022-01-09
"Culberson",0.364,30,2022-01-09
"Dallam",0.5,40,2022-01-09
"Dallas",0.384,69137,2022-01-09
"Dawson",0.438,24,2022-01-09
"Deaf Smith",0.5,109,2022-01-09
"Delta",0.342,60,2022-01-09
"Denton",0.364,22367,2022-01-09
"DeWitt",0.397,235,2022-01-09
"Dickens",0.333,8,2022-01-09
"Dimmit",0.361,764,2022-01-09
"Donley",0.205,45,2022-01-09
"Duval",0.211,242,2022-01-09
"Eastland",0.31,69,2022-01-09
"Ector",0.475,1874,2022-01-09
"Edwards",0.167,13,2022-01-09
"El Paso",0.326,20219,2022-01-09
"Ellis",0.449,3933,2022-01-09
"Erath",0.382,425,2022-01-09
"Falls",0.463,213,2022-01-09
"Fannin",0.19,450,2022-01-09
"Fayette",0.287,357,2022-01-09
"Fisher",0.5,13,2022-01-09
"Floyd",0.533,107,2022-01-09
"Foard",0.75,3,2022-01-09
"Fort Bend",0.346,33353,2022-01-09
"Franklin",0.316,121,2022-01-09
"Freestone",0.393,256,2022-01-09
"Frio",0.23,487,2022-01-09
"Gaines",0.231,68,2022-01-09
"Galveston",0.398,14171,2022-01-09
"Garza",0.181,70,2022-01-09
"Gillespie",0.324,312,2022-01-09
"Glasscock",NA,5,2022-01-09
"Goliad",0.397,73,2022-01-09
"Gonzales",0.366,182,2022-01-09
"Gray",0.296,179,2022-01-09
"Grayson",0.385,2845,2022-01-09
"Gregg",0.281,1724,2022-01-09
"Grimes",0.407,786,2022-01-09
"Guadalupe",0.379,2417,2022-01-09
"Hale",0.397,556,2022-01-09
"Hall",0.234,82,2022-01-09
"Hamilton",0.278,239,2022-01-09
"Hansford",0.412,19,2022-01-09
"Hardeman",0.267,36,2022-01-09
"Hardin",0.366,870,2022-01-09
"Harris",0.357,171113,2022-01-09
"Harrison",0.38,434,2022-01-09
"Hartley",0.462,10,2022-01-09
"Haskell",0,25,2022-01-09
"Hays",0.389,11528,2022-01-09
"Hemphill",0.5,17,2022-01-09
"Henderson",0.379,1011,2022-01-09
"Hidalgo",0.365,18077,2022-01-09
"Hill",0.334,373,2022-01-09
"Hockley",0.433,552,2022-01-09
"Hood",0.385,938,2022-01-09
"Hopkins",0.449,324,2022-01-09
"Houston",0.41,174,2022-01-09
"Howard",0.265,149,2022-01-09
"Hudspeth",0.28,25,2022-01-09
"Hunt",0.402,1018,2022-01-09
"Hutchinson",0.589,159,2022-01-09
"Irion",0.4,64,2022-01-09
"Jack",0.49,100,2022-01-09
"Jackson",0.308,318,2022-01-09
"Jasper",0.373,479,2022-01-09
"Jeff Davis",0.5,15,2022-01-09
"Jefferson",0.364,3099,2022-01-09
"Jim Hogg",0.25,35,2022-01-09
"Jim Wells",0.319,712,2022-01-09
"Johnson",0.387,3221,2022-01-09
"Jones",0.181,184,2022-01-09
"Karnes",0.526,161,2022-01-09
"Kaufman",0.435,3171,2022-01-09
"Kendall",0.323,646,2022-01-09
"Kenedy",0.286,6,2022-01-09
"Kent",0,3,2022-01-09
"Kerr",0.214,426,2022-01-09
"Kimble",0.091,12,2022-01-09
"King",0.5,5,2022-01-09
"Kinney",0.2,62,2022-01-09
"Kleberg",0.27,567,2022-01-09
"Knox",0.75,6,2022-01-09
"La Salle",0.341,132,2022-01-09
"Lamar",0.322,389,2022-01-09
"Lamb",0.333,130,2022-01-09
"Lampasas",0.367,414,2022-01-09
"Lavaca",0.308,211,2022-01-09
"Lee",0.331,248,2022-01-09
"Leon",0.344,268,2022-01-09
"Liberty",0.369,1290,2022-01-09
"Limestone",0.345,379,2022-01-09
"Lipscomb",0.385,8,2022-01-09
"Live Oak",0.361,121,2022-01-09
"Llano",0.212,300,2022-01-09
"Loving",0.636,29,2022-01-09
"Lubbock",0.455,5902,2022-01-09
"Lynn",0.3,39,2022-01-09
"Madison",0.471,194,2022-01-09
"Marion",0.348,57,2022-01-09
"Martin",0.692,59,2022-01-09
"Mason",0.667,14,2022-01-09
"Matagorda",0.355,696,2022-01-09
"Maverick",0.417,3105,2022-01-09
"McCulloch",0.355,62,2022-01-09
"McLennan",0.33,4128,2022-01-09
"McMullen",0.6,10,2022-01-09
"Medina",0.379,762,2022-01-09
"Menard",0.5,12,2022-01-09
"Midland",0.479,1182,2022-01-09
"Milam",0.237,411,2022-01-09
"Mills",0.152,224,2022-01-09
"Mitchell",0.227,47,2022-01-09
"Montague",0.479,278,2022-01-09
"Montgomery",0.382,19421,2022-01-09
"Moore",0.375,171,2022-01-09
"Morris",0.347,206,2022-01-09
"Motley",0.5,8,2022-01-09
"Nacogdoches",0.364,1031,2022-01-09
"Navarro",0.455,305,2022-01-09
"Newton",0.353,93,2022-01-09
"Nolan",0.423,36,2022-01-09
"Nueces",0.389,7107,2022-01-09
"Ochiltree",0.6,34,2022-01-09
"Oldham",0.364,10,2022-01-09
"Orange",0.3,921,2022-01-09
"Palo Pinto",0.512,553,2022-01-09
"Panola",0.312,144,2022-01-09
"Parker",0.37,2506,2022-01-09
"Parmer",0.264,44,2022-01-09
"Pecos",0.348,42,2022-01-09
"Polk",0.287,607,2022-01-09
"Potter",0.241,1600,2022-01-09
"Presidio",0.154,42,2022-01-09
"Rains",0.386,86,2022-01-09
"Randall",0.236,1188,2022-01-09
"Reagan",0.333,17,2022-01-09
"Real",0.214,38,2022-01-09
"Red River",0.288,92,2022-01-09
"Reeves",0.509,287,2022-01-09
"Refugio",0.487,232,2022-01-09
"Roberts",0.273,13,2022-01-09
"Robertson",0.422,387,2022-01-09
