"County","TPR_CPR","Tests","Date"
"Anderson",0.004,656,2021-11-14
"Andrews",0,23,2021-11-14
"Angelina",0.008,311,2021-11-14
"Aransas",0.036,131,2021-11-14
"Archer",0.188,78,2021-11-14
"Armstrong",0,22,2021-11-14
"Atascosa",0.011,1493,2021-11-14
"Austin",0.054,346,2021-11-14
"Bailey",0.318,23,2021-11-14
"Bandera",0.073,171,2021-11-14
"Bastrop",0.048,954,2021-11-14
"Baylor",0.105,23,2021-11-14
"Bee",0.042,322,2021-11-14
"Bell",0.041,4253,2021-11-14
"Bexar",0.023,71923,2021-11-14
"Blanco",0.114,169,2021-11-14
"Borden",NA,2,2021-11-14
"Bosque",0.011,105,2021-11-14
"Bowie",0.042,794,2021-11-14
"Brazoria",0.05,6125,2021-11-14
"Brazos",0.022,3893,2021-11-14
"Brewster",0,12,2021-11-14
"Briscoe",0.143,14,2021-11-14
"Brooks",0,202,2021-11-14
"Brown",0.084,145,2021-11-14
"Burleson",0.018,207,2021-11-14
"Burnet",0.067,521,2021-11-14
"Caldwell",0.094,789,2021-11-14
"Calhoun",0.051,95,2021-11-14
"Callahan",0.06,72,2021-11-14
"Cameron",0.041,3794,2021-11-14
"Camp",0.027,91,2021-11-14
"Carson",0.105,40,2021-11-14
"Cass",0.051,162,2021-11-14
"Castro",0.062,100,2021-11-14
"Chambers",0.054,592,2021-11-14
"Cherokee",0.043,224,2021-11-14
"Childress",0.019,110,2021-11-14
"Clay",0.155,99,2021-11-14
"Cochran",0.268,46,2021-11-14
"Coke",0,26,2021-11-14
"Coleman",0,11,2021-11-14
"Collin",0.063,15276,2021-11-14
"Collingsworth",0.036,29,2021-11-14
"Colorado",0.022,183,2021-11-14
"Comal",0.089,1963,2021-11-14
"Comanche",0.053,86,2021-11-14
"Concho",0,3,2021-11-14
"Cooke",0.077,241,2021-11-14
"Coryell",0.01,1196,2021-11-14
"Cottle",0.167,11,2021-11-14
"Crane",0.167,32,2021-11-14
"Crockett",0.429,7,2021-11-14
"Crosby",0.222,27,2021-11-14
"Culberson",0.217,32,2021-11-14
"Dallam",0.085,378,2021-11-14
"Dallas",0.045,41158,2021-11-14
"Dawson",0,49,2021-11-14
"Deaf Smith",0.139,109,2021-11-14
"Delta",0.146,79,2021-11-14
"Denton",0.059,10885,2021-11-14
"DeWitt",0.067,91,2021-11-14
"Dickens",0,16,2021-11-14
"Dimmit",0.08,239,2021-11-14
"Donley",0.118,31,2021-11-14
"Duval",0.057,291,2021-11-14
"Eastland",0.093,56,2021-11-14
"Ector",0.137,898,2021-11-14
"Edwards",0,9,2021-11-14
"El Paso",0.131,13353,2021-11-14
"Ellis",0.066,2116,2021-11-14
"Erath",0.102,400,2021-11-14
"Falls",0.03,141,2021-11-14
"Fannin",0.024,639,2021-11-14
"Fayette",0.079,173,2021-11-14
"Fisher",0.333,16,2021-11-14
"Floyd",0.106,68,2021-11-14
"Foard",0,11,2021-11-14
"Fort Bend",0.062,14901,2021-11-14
"Franklin",0.05,74,2021-11-14
"Freestone",0.019,353,2021-11-14
"Frio",0.036,565,2021-11-14
"Gaines",0.075,45,2021-11-14
