"County","TPR_CPR","Tests","Date"
"Anderson",0.092,588,2021-02-13
"Andrews",0,60,2021-02-13
"Angelina",0.127,1000,2021-02-13
"Aransas",0.151,179,2021-02-13
"Archer",0,21,2021-02-13
"Armstrong",0,7,2021-02-13
"Atascosa",0.056,1881,2021-02-13
"Austin",0.142,374,2021-02-13
"Bailey",0,8,2021-02-13
"Bandera",0.149,168,2021-02-13
"Bastrop",0.109,1058,2021-02-13
"Baylor",0,6,2021-02-13
"Bee",0.103,825,2021-02-13
"Bell",0.088,6125,2021-02-13
"Bexar",0.073,69364,2021-02-13
"Blanco",0.091,154,2021-02-13
"Borden",0,2,2021-02-13
"Bosque",0.106,161,2021-02-13
"Bowie",0.122,952,2021-02-13
"Brazoria",0.111,5353,2021-02-13
"Brazos",0.129,6930,2021-02-13
"Brewster",0.14,50,2021-02-13
"Briscoe",0.143,7,2021-02-13
"Brooks",0.031,360,2021-02-13
"Brown",0.126,421,2021-02-13
"Burleson",0.074,431,2021-02-13
"Burnet",0.119,806,2021-02-13
"Caldwell",0.129,838,2021-02-13
"Calhoun",0.219,210,2021-02-13
"Callahan",0.14,50,2021-02-13
"Cameron",0.124,5036,2021-02-13
"Camp",0.13,146,2021-02-13
"Carson",0.136,22,2021-02-13
"Cass",0.124,201,2021-02-13
"Castro",0.015,65,2021-02-13
"Chambers",0.102,492,2021-02-13
"Cherokee",0.095,296,2021-02-13
"Childress",0,31,2021-02-13
"Clay",0.02,50,2021-02-13
"Cochran",0.176,17,2021-02-13
"Coke",0,15,2021-02-13
"Coleman",0.119,59,2021-02-13
"Collin",0.121,15006,2021-02-13
"Collingsworth",0.059,17,2021-02-13
"Colorado",0.11,154,2021-02-13
"Comal",0.113,2407,2021-02-13
"Comanche",0.141,78,2021-02-13
"Concho",0.167,6,2021-02-13
"Cooke",0.184,380,2021-02-13
"Coryell",0.06,1321,2021-02-13
"Cottle",0,6,2021-02-13
"Crane",0.016,185,2021-02-13
"Crockett",0,3,2021-02-13
"Crosby",0.048,21,2021-02-13
"Culberson",0.138,29,2021-02-13
"Dallam",0.143,7,2021-02-13
"Dallas",0.126,41718,2021-02-13
"Dawson",0,137,2021-02-13
"Deaf Smith",0.167,72,2021-02-13
"Delta",0.071,28,2021-02-13
"Denton",0.135,13813,2021-02-13
"DeWitt",0.16,163,2021-02-13
"Dickens",0.286,7,2021-02-13
"Dimmit",0.229,468,2021-02-13
"Donley",0.091,11,2021-02-13
"Duval",0.052,439,2021-02-13
"Eastland",0.127,102,2021-02-13
"Ector",0.169,712,2021-02-13
"Edwards",0,6,2021-02-13
"El Paso",0.145,12371,2021-02-13
"Ellis",0.113,3457,2021-02-13
"Erath",0.089,383,2021-02-13
"Falls",0.098,193,2021-02-13
"Fannin",0.048,455,2021-02-13
"Fayette",0.129,255,2021-02-13
"Fisher",0,6,2021-02-13
"Floyd",0.118,34,2021-02-13
"Foard",NA,0,2021-02-13
"Fort Bend",0.116,14875,2021-02-13
"Franklin",0.089,56,2021-02-13
"Freestone",0.074,163,2021-02-13
"Frio",0.077,453,2021-02-13
"Gaines",0,32,2021-02-13
"Galveston",0.126,4166,2021-02-13
"Garza",0.085,47,2021-02-13
"Gillespie",0.179,106,2021-02-13
"Glasscock",NA,0,2021-02-13
"Goliad",0.17,53,2021-02-13
"Gonzales",0.207,198,2021-02-13
"Gray",0.071,56,2021-02-13
"Grayson",0.135,1332,2021-02-13
"Gregg",0.073,1320,2021-02-13
"Grimes",0.075,1023,2021-02-13
"Guadalupe",0.078,2317,2021-02-13
"Hale",0.029,306,2021-02-13
"Hall",0.333,6,2021-02-13
"Hamilton",0.09,144,2021-02-13
"Hansford",0.385,13,2021-02-13
"Hardeman",0.222,9,2021-02-13
"Hardin",0.095,410,2021-02-13
"Harris",0.112,81673,2021-02-13
"Harrison",0.06,536,2021-02-13
"Hartley",0,2,2021-02-13
"Haskell",0.071,14,2021-02-13
"Hays",0.095,6676,2021-02-13
"Hemphill",0,2,2021-02-13
"Henderson",0.149,585,2021-02-13
"Hidalgo",0.133,7994,2021-02-13
"Hill",0.113,381,2021-02-13
"Hockley",0.117,111,2021-02-13
"Hood",0.151,411,2021-02-13
"Hopkins",0.15,260,2021-02-13
"Houston",0.044,226,2021-02-13
"Howard",0.054,463,2021-02-13
"Hudspeth",0.105,38,2021-02-13
"Hunt",0.108,861,2021-02-13
"Hutchinson",0.057,123,2021-02-13
"Irion",0.3,10,2021-02-13
"Jack",0.167,36,2021-02-13
"Jackson",0.14,100,2021-02-13
"Jasper",0.093,246,2021-02-13
"Jeff Davis",0.136,81,2021-02-13
"Jefferson",0.074,2795,2021-02-13
"Jim Hogg",0.064,299,2021-02-13
"Jim Wells",0.078,902,2021-02-13
"Johnson",0.167,1801,2021-02-13
"Jones",0.075,53,2021-02-13
"Karnes",0.075,375,2021-02-13
"Kaufman",0.158,1975,2021-02-13
"Kendall",0.091,472,2021-02-13
"Kenedy",0.125,8,2021-02-13
"Kent",0,2,2021-02-13
"Kerr",0.086,420,2021-02-13
"Kimble",0.05,20,2021-02-13
"King",0,1,2021-02-13
"Kinney",0.045,22,2021-02-13
"Kleberg",0.108,538,2021-02-13
"Knox",NA,0,2021-02-13
"La Salle",0.135,96,2021-02-13
"Lamar",0.104,384,2021-02-13
"Lamb",0.056,72,2021-02-13
"Lampasas",0.137,372,2021-02-13
"Lavaca",0.177,226,2021-02-13
"Lee",0.199,171,2021-02-13
"Leon",0.109,183,2021-02-13
"Liberty",0.185,951,2021-02-13
"Limestone",0.139,481,2021-02-13
"Lipscomb",1,1,2021-02-13
"Live Oak",0.131,145,2021-02-13
"Llano",0.115,408,2021-02-13
"Loving",NA,0,2021-02-13
"Lubbock",0.06,2096,2021-02-13
"Lynn",0.176,17,2021-02-13
"Madison",0.065,169,2021-02-13
"Marion",0.068,117,2021-02-13
"Martin",0.062,16,2021-02-13
"Mason",0.179,28,2021-02-13
"Matagorda",0.146,749,2021-02-13
"Maverick",0.126,1935,2021-02-13
"McCulloch",0.286,35,2021-02-13
"McLennan",0.084,3057,2021-02-13
"McMullen",0,8,2021-02-13
"Medina",0.145,690,2021-02-13
"Menard",0,11,2021-02-13
"Midland",0.097,755,2021-02-13
"Milam",0.102,401,2021-02-13
"Mills",0.083,60,2021-02-13
"Mitchell",0.042,24,2021-02-13
"Montague",0.19,174,2021-02-13
