County,Date,cases_cumulative,deaths_cumulative,cases_daily,deaths_daily
Bexar,2021-03-23,202777,3071,1839,82
Bexar,2021-03-30,205334,3146,2557,75
Bexar,2021-04-06,208100,3210,2766,64
Bexar,2021-04-13,210997,3279,2897,69
Bexar,2021-04-20,213999,3322,3002,43
Bexar,2021-04-27,216404,3349,2405,27
Bexar,2021-05-04,218640,3371,2236,22
Bexar,2021-05-11,219982,3398,1342,27
Bexar,2021-05-18,221265,3431,1283,33
Bexar,2021-05-25,222499,3452,1234,21
Bexar,2021-06-01,223211,3480,712,28
Bexar,2021-06-08,224595,3518,1384,38
Bexar,2021-06-15,225475,3531,880,13
Bexar,2021-06-22,226332,3545,857,14
Bexar,2021-06-29,227402,3548,1070,3
Bexar,2021-07-06,228566,3554,1164,6
Bexar,2021-07-13,230551,3557,1985,3
Bexar,2021-07-20,233095,3563,2544,6
Bexar,2021-07-27,237217,3568,4122,5
Bexar,2021-08-02,245237,3580,8020,12
Bexar,2021-08-09,254148,3590,8911,10
Bexar,2021-08-16,265542,3635,11394,45
Bexar,2021-08-23,273761,3672,8219,37
Bexar,2021-08-30,281676,3742,7915,70
Bexar,2021-09-06,290232,3788,8556,46
Bexar,2021-09-13,295960,3835,5728,47
Bexar,2021-09-20,300523,3862,4563,27
Bexar,2021-09-27,304833,3905,4310,43
Bexar,2021-10-04,307885,3931,3052,26
Bexar,2021-10-11,310431,3956,2546,25
Bexar,2021-10-18,312560,3968,2129,12
Bexar,2021-10-25,314121,3978,1561,10
Bexar,2021-11-01,315416,4002,1295,24
Bexar,2021-11-08,316477,4016,1061,14
Bexar,2021-11-15,318034,4023,1557,7
Bexar,2021-11-23,319296,4024,1262,1
Bexar,2021-11-29,320452,4028,1156,4
Bexar,2021-12-06,322223,4031,1771,3
Bexar,2021-12-13,323885,4040,1662,9
Bexar,2021-12-20,326064,4049,2179,9
Bexar,2021-12-27,455370,4140,4206,4
Bexar,2022-01-03,343881,4051,17817,2
Bexar,2022-01-10,369398,4068,25517,17
Bexar,2022-01-17,412381,4087,42983,19
Bexar,2022-01-24,451164,4136,38783,49
Bexar,2022-01-31,484663,4176,29293,36
Bexar,2022-02-07,496993,4226,12330,50
Bexar,2022-02-14,502361,4254,5368,28
Bexar,2022-02-21,505058,4288,2697,34
Bexar,2022-02-28,506522,4322,1464,34
Bexar,2022-03-07,507454,4341,932,19
Bexar,2022-03-14,508015,4352,561,11
Bexar,2022-03-21,508412,4359,397,7
Bexar,2022-03-28,508932,4365,520,6
Bexar,2022-04-04,509421,4369,489,4
Bexar,2022-04-11,509902,4373,481,4
Bexar,2022-04-18,510634,4373,732,0
Bexar,2022-04-25,511437,4374,803,1
Bexar,2022-05-02,512329,4374,892,0
Bexar,2022-05-09,513541,4374,1212,0
Bexar,2022-05-16,515065,4376,1524,2
Bexar,2022-05-23,517526,4382,2461,6
Bexar,2022-05-30,520471,4382,2945,0
Bexar,2022-06-06,524069,4384,3598,2
Bexar,2022-06-13,528085,4387,4016,3
Bexar,2022-06-20,532756,4390,4671,3
Bexar,2022-06-27,538626,4393,5870,3
Bexar,2022-07-04,545271,4394,6645,1
Bexar,2022-07-11,552153,4396,6882,2
Bexar,2022-07-18,559137,4398,6984,2
Bexar,2022-07-25,565768,4400,6631,2
Bexar,2022-08-01,572026,4402,6258,2
Bexar,2022-08-08,577034,4404,5008,2
Bexar,2022-08-15,582798,4405,5764,1
Bexar,2022-08-22,587431,4407,4633,2
Bexar,2022-08-29,592453,4409,5022,2
Bexar,2022-09-05,597193,4411,4740,2
Bexar,2022-09-12,600714,4415,3521,4
Bexar,2022-09-19,603200,4417,2486,2
Bexar,2022-09-26,604891,4418,1691,1
Bexar,2022-10-03,606118,4418,1227,0
Bexar,2022-10-10,607006,4422,888,4
Bexar,2022-10-17,607923,4422,917,0
Bexar,2022-10-24,608658,4422,735,0
Bexar,2022-10-31,609341,4423,683,1
Bexar,2022-11-07,610051,4423,710,0
Bexar,2022-11-14,611069,4425,1018,2
Bexar,2022-11-21,612365,4425,1296,0
Bexar,2022-11-28,613762,4427,1397,2
Bexar,2022-12-05,616200,4427,2438,0
Bexar,2022-12-12,619009,4427,2809,0
Bexar,2022-12-19,621284,4430,2275,3
Bexar,2022-12-26,623826,4434,2542,4
Bexar,2023-01-02,626951,4435,3125,1
Bexar,2023-01-09,629448,4436,2497,1
Bexar,2023-01-16,632289,4443,2841,7
Bexar,2023-01-23,633667,4444,1378,1
Bexar,2023-01-30,635006,4448,1339,4
Bexar,2023-02-06,636539,4449,1533,1
Bexar,2023-02-13,638264,4449,1725,0
Bexar,2023-02-20,639183,4450,919,1
Bexar,2023-02-27,640423,4450,1240,0
Bexar,2023-03-06,641488,4452,1065,2
Bexar,2023-03-13,642490,4453,1002,1
Bexar,2023-03-20,643086,4453,596,0
Bexar,2023-03-27,643877,4454,791,1
Bexar,2023-04-03,644730,4455,853,1
Bexar,2023-04-10,645400,4455,670,0
Bexar,2023-04-17,646324,4455,924,0
Bexar,2023-04-24,646993,4457,669,2
Bexar,2023-05-01,647549,4458,556,1
Bexar,2023-05-08,648136,4458,587,0
Bexar,2023-05-15,648498,4458,362,0
Bexar,2023-05-23,648972,4458,474,0
Potter,2020-04-02,9,11,9,11
Potter,2020-05-02,77,42,68,31
Potter,2020-06-02,85,50,8,8
Potter,2020-07-02,115,56,30,6
Potter,2020-08-02,123,67,8,11
Potter,2020-09-02,152,90,29,23
Potter,2020-10-02,223,146,71,56
Potter,2020-11-02,285,277,62,131
Potter,2020-12-02,427,351,142,74
Potter,2021-01-02,456,421,29,70
Potter,2021-02-02,490,445,34,24
