Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-11-08,73301,265,146,125
2021-11-08,73344,NA,NA,NA
2021-11-08,73960,23,12,11
2021-11-08,75001,21220,11918,10256
2021-11-08,75002,86954,46815,42066
2021-11-08,75006,58516,32187,27964
2021-11-08,75007,70470,37900,34298
2021-11-08,75009,19960,10956,9751
2021-11-08,75010,44166,23757,21587
2021-11-08,75011,560,311,268
2021-11-08,75013,67118,36055,32361
2021-11-08,75014,328,184,152
2021-11-08,75015,198,105,97
2021-11-08,75016,332,179,159
2021-11-08,75017,167,93,76
2021-11-08,75019,63932,34810,31205
2021-11-08,75020,19793,11408,9793
2021-11-08,75021,6364,3716,3154
2021-11-08,75022,34475,18362,16895
2021-11-08,75023,59956,32239,28982
2021-11-08,75024,64385,34564,31268
2021-11-08,75025,77019,41140,37299
2021-11-08,75026,416,228,198
2021-11-08,75027,243,134,117
2021-11-08,75028,62449,33313,30575
2021-11-08,75029,296,164,143
2021-11-08,75030,286,156,136
2021-11-08,75032,37981,21100,18126
2021-11-08,75033,56558,30519,27549
2021-11-08,75034,63883,34824,30962
2021-11-08,75035,110105,58848,53539
2021-11-08,75036,44319,23693,21605
2021-11-08,75038,38308,21107,18376
2021-11-08,75039,34460,18932,16763
2021-11-08,75040,74706,40808,35670
2021-11-08,75041,32837,18147,15483
2021-11-08,75042,43567,24021,20585
2021-11-08,75043,67308,36856,32031
2021-11-08,75044,57499,31205,27642
2021-11-08,75045,287,153,137
2021-11-08,75046,167,96,76
2021-11-08,75047,120,66,58
2021-11-08,75048,33456,18065,16182
2021-11-08,75049,296,159,146
2021-11-08,75050,39906,22130,18988
2021-11-08,75051,37547,20843,17727
2021-11-08,75052,106413,58085,50967
2021-11-08,75053,365,209,166
2021-11-08,75054,19401,10466,9327
2021-11-08,75056,82405,44321,40199
2021-11-08,75057,15203,8356,7225
2021-11-08,75058,3200,1794,1592
2021-11-08,75059,16,9,8
2021-11-08,75060,53320,29249,25312
2021-11-08,75061,57156,31619,26954
2021-11-08,75062,55111,30609,26177
2021-11-08,75063,66916,36559,32548
2021-11-08,75065,13333,7199,6498
2021-11-08,75067,74852,40880,35979
2021-11-08,75068,71586,38517,34872
2021-11-08,75069,41634,22763,20059
2021-11-08,75070,70217,37993,33919
2021-11-08,75071,73910,40098,35790
2021-11-08,75072,64375,34676,31312
2021-11-08,75074,62549,34142,29898
2021-11-08,75075,47186,25584,22674
2021-11-08,75076,7817,4357,3863
2021-11-08,75077,45972,24546,22557
2021-11-08,75078,40614,21966,19835
2021-11-08,75080,58260,31800,28009
2021-11-08,75081,47547,26014,22779
2021-11-08,75082,37601,20300,18196
2021-11-08,75083,569,316,268
2021-11-08,75085,211,117,101
2021-11-08,75086,487,264,228
2021-11-08,75087,42743,23713,20542
2021-11-08,75088,31183,17017,15069
2021-11-08,75089,40801,22352,19653
2021-11-08,75090,18943,10969,9403
2021-11-08,75091,684,384,340
2021-11-08,75092,22813,13036,11446
2021-11-08,75093,69692,37598,33626
2021-11-08,75094,33446,17889,16193
2021-11-08,75097,183,106,84
2021-11-08,75098,73069,39595,35190
2021-11-08,75099,11,7,NA
2021-11-08,75101,474,272,239
2021-11-08,75102,1077,595,524
2021-11-08,75103,10038,5576,4985
2021-11-08,75104,53418,29013,25488
2021-11-08,75105,285,154,139
2021-11-08,75106,689,368,331
2021-11-08,75109,4091,2212,1987
2021-11-08,75110,25963,14202,12337
2021-11-08,75114,6248,3441,2994
2021-11-08,75115,59855,32703,28527
2021-11-08,75116,20153,11048,9510
2021-11-08,75117,2613,1442,1308
2021-11-08,75118,106,59,54
2021-11-08,75119,25882,14462,12356
2021-11-08,75120,577,322,277
2021-11-08,75121,188,106,97
2021-11-08,75123,554,293,271
2021-11-08,75124,3355,1891,1618
2021-11-08,75125,6726,3705,3164
2021-11-08,75126,63785,34986,30622
2021-11-08,75127,1040,580,511
2021-11-08,75132,203,110,95
2021-11-08,75134,19822,10789,9388
2021-11-08,75135,6444,3555,3153
2021-11-08,75137,21237,11546,10111
2021-11-08,75138,446,236,217
2021-11-08,75140,4892,2727,2403
2021-11-08,75141,3963,2181,1872
2021-11-08,75142,18172,10126,8688
2021-11-08,75143,11161,6311,5482
2021-11-08,75144,2948,1622,1422
2021-11-08,75146,22488,12325,10672
2021-11-08,75147,5579,3171,2699
2021-11-08,75148,4322,2422,2107
2021-11-08,75149,56527,31326,26551
2021-11-08,75150,62080,34305,29297
2021-11-08,75151,478,256,231
2021-11-08,75152,4338,2391,2105
2021-11-08,75153,555,304,265
2021-11-08,75154,45331,24740,21655
2021-11-08,75155,2774,1526,1326
2021-11-08,75156,11374,6378,5469
2021-11-08,75157,180,107,81
2021-11-08,75158,3924,2170,1913
2021-11-08,75159,18654,10346,8843
2021-11-08,75160,23274,12811,11124
