Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2022-11-07,75663,868,458,418
2022-11-07,75666,122,66,58
2022-11-07,75667,974,546,496
2022-11-07,75668,1496,821,722
2022-11-07,75669,455,249,229
2022-11-07,75670,14216,7836,6804
2022-11-07,75671,649,347,317
2022-11-07,75672,15033,8197,7366
2022-11-07,75680,12,7,
2022-11-07,75681,2110,1170,1044
2022-11-07,75682,435,232,219
2022-11-07,75683,2993,1627,1432
2022-11-07,75684,5527,2976,2643
2022-11-07,75685,90,50,48
2022-11-07,75686,12274,6714,5784
2022-11-07,75687,87,53,42
2022-11-07,75688,233,124,114
2022-11-07,75689,76,42,36
2022-11-07,75691,3917,2130,1884
2022-11-07,75692,2797,1620,1405
2022-11-07,75693,5437,2932,2679
2022-11-07,75694,193,102,97
2022-11-07,75701,35891,19379,17053
2022-11-07,75702,24793,13496,11672
2022-11-07,75703,50329,26985,24160
2022-11-07,75704,9479,5080,4534
2022-11-07,75705,2427,1301,1150
2022-11-07,75706,9041,4901,4279
2022-11-07,75707,16911,9064,8129
2022-11-07,75708,7127,3841,3404
2022-11-07,75709,6333,3406,3022
2022-11-07,75710,195,103,95
2022-11-07,75711,825,440,398
2022-11-07,75712,462,244,219
2022-11-07,75713,551,290,269
2022-11-07,75750,3232,1766,1564
2022-11-07,75751,16313,8979,7784
2022-11-07,75752,6305,3423,3079
2022-11-07,75754,4832,2619,2369
2022-11-07,75755,3727,2043,1802
2022-11-07,75756,3220,1752,1557
2022-11-07,75757,13091,7040,6356
2022-11-07,75758,9015,4911,4318
2022-11-07,75759,104,58,49
2022-11-07,75760,2070,1168,1030
2022-11-07,75762,13184,7087,6372
2022-11-07,75763,4979,2749,2446
2022-11-07,75764,157,83,78
2022-11-07,75765,7456,4041,3679
2022-11-07,75766,23579,12964,11379
2022-11-07,75770,2498,1350,1196
2022-11-07,75771,18461,10055,8940
2022-11-07,75772,98,55,52
2022-11-07,75773,11498,6242,5608
2022-11-07,75778,2709,1473,1332
2022-11-07,75779,218,119,107
2022-11-07,75780,516,286,238
2022-11-07,75782,133,73,68
2022-11-07,75783,6651,3630,3275
2022-11-07,75784,588,320,283
2022-11-07,75785,9608,5209,4720
2022-11-07,75788,72,42,36
2022-11-07,75789,6548,3561,3173
2022-11-07,75790,3507,1936,1707
2022-11-07,75791,13208,7109,6344
2022-11-07,75792,3088,1662,1485
2022-11-07,75797,,,
2022-11-07,75798,,,
2022-11-07,75799,84,46,38
2022-11-07,75801,14364,7999,6941
2022-11-07,75802,858,480,414
2022-11-07,75803,11380,6298,5499
2022-11-07,75831,3767,2155,1870
2022-11-07,75832,126,68,65
2022-11-07,75833,2691,1512,1303
2022-11-07,75834,,,
2022-11-07,75835,10144,5542,4933
2022-11-07,75838,392,223,196
2022-11-07,75839,3363,1875,1649
2022-11-07,75840,5776,3167,2843
2022-11-07,75844,3775,2104,1854
2022-11-07,75845,2308,1293,1142
2022-11-07,75846,1845,1038,904
2022-11-07,75847,1235,662,615
2022-11-07,75848,76,41,39
2022-11-07,75849,157,88,76
2022-11-07,75850,407,231,206
2022-11-07,75851,4973,2649,2412
2022-11-07,75852,4263,2267,2059
2022-11-07,75853,772,429,386
2022-11-07,75855,2015,1127,987
2022-11-07,75856,202,109,98
2022-11-07,75858,138,75,67
2022-11-07,75859,2060,1108,1013
2022-11-07,75860,6191,3436,3103
2022-11-07,75861,1090,613,539
2022-11-07,75862,9391,5181,4517
2022-11-07,75865,114,62,59
2022-11-07,75880,3682,2007,1756
2022-11-07,75882,2153,1128,1071
2022-11-07,75884,5315,2752,2621
2022-11-07,75886,4033,2079,1954
2022-11-07,75901,28868,15681,13900
2022-11-07,75902,393,211,194
2022-11-07,75903,198,106,94
2022-11-07,75904,33736,18278,16324
2022-11-07,75915,838,445,409
2022-11-07,75925,2880,1599,1447
2022-11-07,75926,888,487,435
2022-11-07,75928,837,450,408
2022-11-07,75929,1287,687,629
2022-11-07,75930,1073,593,523
2022-11-07,75931,2153,1169,1058
2022-11-07,75932,862,462,422
2022-11-07,75933,922,509,452
2022-11-07,75934,130,69,64
2022-11-07,75935,12008,6700,5679
2022-11-07,75936,806,435,393
2022-11-07,75937,951,528,475
2022-11-07,75938,1782,978,863
2022-11-07,75939,3410,1869,1658
2022-11-07,75941,9172,4933,4412
2022-11-07,75942,257,136,126
2022-11-07,75943,1309,730,657
2022-11-07,75944,1173,631,573
2022-11-07,75946,2989,1685,1462
2022-11-07,75948,5058,2763,2450
2022-11-07,75949,5567,3050,2732
2022-11-07,75951,13931,7666,6721
2022-11-07,75954,1876,1048,907
2022-11-07,75956,5012,2744,2462
2022-11-07,75958,126,69,60
2022-11-07,75959,761,411,374
2022-11-07,75960,719,395,343
2022-11-07,75961,14647,8243,7073
2022-11-07,75962,186,108,85
2022-11-07,75963,1051,570,524
2022-11-07,75964,19435,10966,9283
2022-11-07,75965,18629,10349,9120
2022-11-07,75966,3375,1824,1632
2022-11-07,75968,1038,583,497
2022-11-07,75969,3021,1630,1484
2022-11-07,75972,6034,3291,2851
2022-11-07,75973,1966,1084,921
2022-11-07,75974,2485,1395,1195
2022-11-07,75975,2634,1477,1286
2022-11-07,75976,813,445,391
2022-11-07,75977,509,277,241
2022-11-07,75978,120,67,61
2022-11-07,75979,7241,3901,3524
2022-11-07,75980,1986,1083,973
2022-11-07,75990,2700,1408,1312
2022-11-07,76001,43693,23453,20944
2022-11-07,76002,47363,25396,22754
2022-11-07,76003,505,266,243
2022-11-07,76004,304,167,144
2022-11-07,76005,8702,4708,4123
2022-11-07,76006,27837,15342,13133
2022-11-07,76007,149,82,69
2022-11-07,76008,25317,13671,12335
2022-11-07,76009,20688,11512,9768
2022-11-07,76010,61629,33982,28842
2022-11-07,76011,27358,15263,12708
2022-11-07,76012,35454,19102,16990
2022-11-07,76013,42744,23226,20297
2022-11-07,76014,42097,22874,19900
2022-11-07,76015,20498,11149,9808
2022-11-07,76016,43211,23084,20808
2022-11-07,76017,58095,31108,27903
2022-11-07,76018,36392,19627,17393
2022-11-07,76019,214,127,93
2022-11-07,76020,31276,17020,15112
2022-11-07,76021,47318,25495,22748
2022-11-07,76022,16964,9236,8096
2022-11-07,76023,5417,2989,2704
2022-11-07,76028,78929,42496,37941
2022-11-07,76031,14801,8110,7079
2022-11-07,76033,25664,13955,12291
2022-11-07,76034,39747,21435,19417
2022-11-07,76035,2121,1140,1023
2022-11-07,76036,37949,20442,18073
2022-11-07,76039,51360,27818,24598
2022-11-07,76040,38185,20657,18304
2022-11-07,76041,418,228,199
2022-11-07,76043,6687,3621,3309
2022-11-07,76044,5563,3049,2671
2022-11-07,76048,25802,13923,12378
2022-11-07,76049,33391,17901,16246
2022-11-07,76050,5727,3125,2757
2022-11-07,76051,71538,39219,34123
2022-11-07,76052,30896,16731,14794
2022-11-07,76053,36762,19914,17509
2022-11-07,76054,16553,8863,8038
2022-11-07,76055,2477,1388,1195
2022-11-07,76058,17440,9518,8347
2022-11-07,76059,4654,2569,2164
2022-11-07,76060,10163,5498,4875
2022-11-07,76061,374,204,174
2022-11-07,76063,100248,53930,47856
2022-11-07,76064,1809,981,881
2022-11-07,76065,48871,26267,23625
2022-11-07,76066,2897,1585,1408
2022-11-07,76067,16133,8784,7753
2022-11-07,76068,575,307,276
2022-11-07,76070,510,283,244
2022-11-07,76071,3551,1955,1698
2022-11-07,76073,4820,2667,2368
2022-11-07,76077,440,243,213
2022-11-07,76078,8333,4554,4008
2022-11-07,76082,16926,9274,8225
2022-11-07,76084,13693,7429,6495
2022-11-07,76085,11256,6131,5460
2022-11-07,76086,19621,10796,9436
2022-11-07,76087,33868,18335,16537
2022-11-07,76088,10971,5994,5319
2022-11-07,76092,50165,27085,24085
2022-11-07,76093,1725,951,821
2022-11-07,76094,106,58,52
2022-11-07,76095,428,225,209
2022-11-07,76096,566,297,273
2022-11-07,76097,462,244,226
2022-11-07,76098,584,309,281
2022-11-07,76099,421,229,200
2022-11-07,76101,379,219,169
2022-11-07,76102,13108,7308,6228
2022-11-07,76103,17773,9643,8344
2022-11-07,76104,24514,13481,11423
2022-11-07,76105,25757,13991,12020
2022-11-07,76106,41343,22474,19299
2022-11-07,76107,42092,22872,20101
2022-11-07,76108,51252,27603,24507
2022-11-07,76109,33445,18163,16192
2022-11-07,76110,38624,20875,18257
2022-11-07,76111,27764,14927,13113
2022-11-07,76112,44823,24335,21087
2022-11-07,76113,182,105,80
2022-11-07,76114,30487,16536,14384
2022-11-07,76115,24309,13252,11297
2022-11-07,76116,56036,30234,26620
2022-11-07,76117,35971,19474,16930
2022-11-07,76118,20953,11249,9993
2022-11-07,76119,53016,28921,24672
2022-11-07,76120,20440,11140,9691
2022-11-07,76121,280,151,131
2022-11-07,76122,50,27,23
2022-11-07,76123,50526,27026,24014
2022-11-07,76124,276,146,135
2022-11-07,76126,33468,17743,16192
2022-11-07,76127,219,132,96
2022-11-07,76129,921,561,434
2022-11-07,76130,16,10,9
2022-11-07,76131,59046,31745,28204
2022-11-07,76132,33473,17935,15976
2022-11-07,76133,61382,32821,29154
2022-11-07,76134,31241,16796,14787
2022-11-07,76135,21175,11523,10084
2022-11-07,76136,219,118,103
