Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-09-13,73301,196,110,91
2021-09-13,73344,NA,NA,NA
2021-09-13,73960,23,12,11
2021-09-13,75001,19988,11341,9620
2021-09-13,75002,82353,44773,39534
2021-09-13,75006,54235,30334,25626
2021-09-13,75007,66971,36359,32414
2021-09-13,75009,18652,10398,8969
2021-09-13,75010,42248,22878,20560
2021-09-13,75011,462,262,219
2021-09-13,75013,64719,34918,31175
2021-09-13,75014,295,169,134
2021-09-13,75015,173,93,84
2021-09-13,75016,308,169,144
2021-09-13,75017,144,83,63
2021-09-13,75019,61125,33502,29888
2021-09-13,75020,17984,10602,8875
2021-09-13,75021,5776,3436,2866
2021-09-13,75022,33270,17784,16269
2021-09-13,75023,57214,30989,27515
2021-09-13,75024,61838,33288,30026
2021-09-13,75025,73926,39648,35771
2021-09-13,75026,354,199,165
2021-09-13,75027,194,108,93
2021-09-13,75028,60015,32137,29357
2021-09-13,75029,254,143,120
2021-09-13,75030,262,148,119
2021-09-13,75032,35457,20010,16676
2021-09-13,75033,54147,29475,26204
2021-09-13,75034,60379,33178,29139
2021-09-13,75035,106477,57275,51576
2021-09-13,75036,43134,23134,21007
2021-09-13,75038,35353,19689,16841
2021-09-13,75039,32675,18040,15870
2021-09-13,75040,69411,38515,32712
2021-09-13,75041,29782,16787,13784
2021-09-13,75042,40008,22506,18558
2021-09-13,75043,62536,34769,29370
2021-09-13,75044,54422,29878,25941
2021-09-13,75045,242,134,113
2021-09-13,75046,150,82,73
2021-09-13,75047,106,59,50
2021-09-13,75048,31590,17249,15150
2021-09-13,75049,283,154,138
2021-09-13,75050,36053,20411,16867
2021-09-13,75051,33526,18988,15568
2021-09-13,75052,98627,54643,46727
2021-09-13,75053,307,183,137
2021-09-13,75054,18148,9907,8638
2021-09-13,75056,78214,42571,37859
2021-09-13,75057,13651,7662,6368
2021-09-13,75058,2902,1679,1410
2021-09-13,75059,12,8,NA
2021-09-13,75060,48559,27240,22587
2021-09-13,75061,51369,29051,23743
2021-09-13,75062,50529,28488,23738
2021-09-13,75063,64087,35212,31134
2021-09-13,75065,12585,6879,6059
2021-09-13,75067,69281,38367,32987
2021-09-13,75068,67424,36820,32430
2021-09-13,75069,38535,21382,18324
2021-09-13,75070,66428,36268,31885
2021-09-13,75071,69886,38281,33568
