Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2022-06-06,73301,293,163,135
2022-06-06,73344,,,
2022-06-06,73960,29,15,14
2022-06-06,75001,23437,13174,11099
2022-06-06,75002,96948,51974,46401
2022-06-06,75006,65748,35839,31084
2022-06-06,75007,78775,42215,37770
2022-06-06,75009,23246,12715,11174
2022-06-06,75010,49699,26695,23882
2022-06-06,75011,614,337,286
2022-06-06,75013,77113,41494,36594
2022-06-06,75014,367,208,166
2022-06-06,75015,227,122,109
2022-06-06,75016,397,215,189
2022-06-06,75017,175,99,77
2022-06-06,75019,74409,40211,35530
2022-06-06,75020,22727,12811,11004
2022-06-06,75021,7304,4139,3531
2022-06-06,75022,38598,20606,18669
2022-06-06,75023,66769,35889,31816
2022-06-06,75024,74364,40175,35342
2022-06-06,75025,87164,46641,41525
2022-06-06,75026,497,267,240
2022-06-06,75027,236,130,113
2022-06-06,75028,70008,37450,33699
2022-06-06,75029,338,185,161
2022-06-06,75030,346,185,165
2022-06-06,75032,42603,23330,20298
2022-06-06,75033,64884,35052,31017
2022-06-06,75034,72851,39816,34538
2022-06-06,75035,129724,69590,61791
2022-06-06,75036,51381,27530,24526
2022-06-06,75038,44732,24537,21150
2022-06-06,75039,39188,21635,18541
2022-06-06,75040,84794,45968,40117
2022-06-06,75041,37857,20808,17668
2022-06-06,75042,50441,27600,23627
2022-06-06,75043,76907,41685,36394
2022-06-06,75044,64294,34579,30696
2022-06-06,75045,327,176,153
2022-06-06,75046,154,88,69
2022-06-06,75047,159,89,73
2022-06-06,75048,37944,20313,18225
2022-06-06,75049,347,187,168
2022-06-06,75050,46648,25745,21855
2022-06-06,75051,44253,24442,20606
2022-06-06,75052,121695,65895,57681
2022-06-06,75053,412,233,185
2022-06-06,75054,22444,12031,10718
2022-06-06,75056,93387,50280,44803
2022-06-06,75057,17622,9695,8244
2022-06-06,75058,3549,1974,1737
2022-06-06,75059,17,10,8
2022-06-06,75060,60959,33153,28766
2022-06-06,75061,66438,36403,31128
2022-06-06,75062,63504,34920,29927
2022-06-06,75063,78425,42765,37297
2022-06-06,75065,14811,8010,7117
2022-06-06,75067,86577,47150,41036
2022-06-06,75068,82197,44235,39364
2022-06-06,75069,46877,25502,22341
2022-06-06,75070,80824,43684,38443
2022-06-06,75071,84297,45548,40328
2022-06-06,75072,73021,39300,35091
2022-06-06,75074,71208,38712,33643
2022-06-06,75075,52516,28404,24899
2022-06-06,75076,8573,4711,4149
2022-06-06,75077,50584,27019,24500
2022-06-06,75078,47557,25757,22811
2022-06-06,75080,64813,35249,30682
2022-06-06,75081,53112,28795,25259
2022-06-06,75082,41453,22356,19782
2022-06-06,75083,613,337,286
2022-06-06,75085,260,138,124
2022-06-06,75086,525,284,245
2022-06-06,75087,48323,26356,23153
2022-06-06,75088,34397,18616,16507
2022-06-06,75089,45748,24751,21901
2022-06-06,75090,22132,12551,10667
2022-06-06,75091,794,437,385
2022-06-06,75092,26063,14601,12727
2022-06-06,75093,77712,41839,37003
2022-06-06,75094,37341,19849,17964
2022-06-06,75097,202,114,93
2022-06-06,75098,82671,44497,39491
2022-06-06,75099,18,12,7
2022-06-06,75101,557,309,271
2022-06-06,75102,1202,661,576
2022-06-06,75103,11090,6069,5441
2022-06-06,75104,60527,32609,28714
