Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2022-01-03,73301,273,151,127
2022-01-03,73344,NA,NA,NA
2022-01-03,73960,23,12,11
2022-01-03,75001,22298,12554,10632
2022-01-03,75002,92381,49794,44207
2022-01-03,75006,62096,34029,29415
2022-01-03,75007,74909,40336,35989
2022-01-03,75009,21506,11828,10370
2022-01-03,75010,47270,25509,22741
2022-01-03,75011,567,317,264
2022-01-03,75013,73078,39493,34685
2022-01-03,75014,339,195,151
2022-01-03,75015,209,111,101
2022-01-03,75016,386,208,184
2022-01-03,75017,169,95,76
2022-01-03,75019,70052,38149,33462
2022-01-03,75020,21319,12155,10343
2022-01-03,75021,6840,3939,3321
2022-01-03,75022,36924,19766,17863
2022-01-03,75023,63549,34249,30365
2022-01-03,75024,70586,38197,33616
2022-01-03,75025,83167,44679,39638
2022-01-03,75026,473,259,224
2022-01-03,75027,212,118,102
2022-01-03,75028,66932,35911,32264
2022-01-03,75029,302,167,143
2022-01-03,75030,318,171,152
2022-01-03,75032,40483,22370,19229
2022-01-03,75033,60912,33089,29130
2022-01-03,75034,68599,37615,32654
2022-01-03,75035,121784,65720,57933
2022-01-03,75036,48680,26197,23284
2022-01-03,75038,41363,22846,19569
2022-01-03,75039,37111,20498,17692
2022-01-03,75040,79713,43482,37693
2022-01-03,75041,35320,19447,16550
2022-01-03,75042,46662,25737,21818
2022-01-03,75043,72020,39328,34018
2022-01-03,75044,60988,33003,29096
2022-01-03,75045,300,160,143
2022-01-03,75046,158,90,73
2022-01-03,75047,137,76,64
2022-01-03,75048,36005,19388,17265
2022-01-03,75049,349,187,170
2022-01-03,75050,43001,23870,20206
2022-01-03,75051,40589,22552,18955
2022-01-03,75052,113816,62102,53917
2022-01-03,75053,391,225,174
2022-01-03,75054,20861,11307,9901
2022-01-03,75056,88712,47885,42668
2022-01-03,75057,16158,8913,7592
2022-01-03,75058,3385,1891,1657
2022-01-03,75059,18,10,9
2022-01-03,75060,56741,31054,26782
2022-01-03,75061,61112,33739,28616
2022-01-03,75062,58851,32575,27790
2022-01-03,75063,73968,40582,35218
2022-01-03,75065,14081,7629,6792
2022-01-03,75067,80191,43913,38056
2022-01-03,75068,77326,41810,37061
2022-01-03,75069,43922,24034,20969
2022-01-03,75070,75861,41302,36015
2022-01-03,75071,79017,42955,37795
2022-01-03,75072,69139,37429,33171
2022-01-03,75074,66914,36528,31661
2022-01-03,75075,50130,27208,23807
2022-01-03,75076,8256,4580,4005
2022-01-03,75077,48488,25937,23545
2022-01-03,75078,44162,24061,21161
2022-01-03,75080,61545,33579,29223
2022-01-03,75081,50228,27435,23855
2022-01-03,75082,39908,21577,19095
2022-01-03,75083,593,328,276
2022-01-03,75085,231,125,110
2022-01-03,75086,497,271,230
2022-01-03,75087,45679,25191,21772
2022-01-03,75088,32778,17851,15701
2022-01-03,75089,43465,23692,20772
2022-01-03,75090,20556,11795,9967
2022-01-03,75091,741,413,357
2022-01-03,75092,24542,13885,12024
2022-01-03,75093,74395,40253,35419
2022-01-03,75094,35870,19206,17206
2022-01-03,75097,186,105,86
2022-01-03,75098,78130,42382,37231
2022-01-03,75099,16,10,7
2022-01-03,75101,519,293,255
2022-01-03,75102,1113,616,534
2022-01-03,75103,10616,5854,5224
2022-01-03,75104,56942,30908,26940
2022-01-03,75105,297,161,142
2022-01-03,75106,726,393,343
2022-01-03,75109,4245,2296,2048
2022-01-03,75110,27499,15033,12987
2022-01-03,75114,6700,3684,3183
2022-01-03,75115,63691,34623,30201
2022-01-03,75116,21565,11811,10098
2022-01-03,75117,2768,1519,1372
2022-01-03,75118,120,66,59
2022-01-03,75119,27585,15277,13089
2022-01-03,75120,594,326,285
2022-01-03,75121,196,109,98
2022-01-03,75123,575,305,281
2022-01-03,75124,3555,1988,1705
2022-01-03,75125,7232,3971,3379
2022-01-03,75126,69275,37954,32903
2022-01-03,75127,1102,612,536
2022-01-03,75132,200,109,91
2022-01-03,75134,21402,11611,10086
2022-01-03,75135,6839,3762,3330
2022-01-03,75137,22448,12204,10610
2022-01-03,75138,477,250,232
2022-01-03,75140,5152,2844,2512
