Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2022-07-18,73301,303,168,140
2022-07-18,73344,,,
2022-07-18,73960,30,16,14
2022-07-18,75001,23621,13281,11177
2022-07-18,75002,97444,52253,46617
2022-07-18,75006,66096,36027,31226
2022-07-18,75007,79137,42411,37922
2022-07-18,75009,23463,12831,11281
2022-07-18,75010,49937,26839,23964
2022-07-18,75011,634,346,297
2022-07-18,75013,77666,41805,36826
2022-07-18,75014,371,210,168
2022-07-18,75015,237,127,114
2022-07-18,75016,400,217,190
2022-07-18,75017,183,103,81
2022-07-18,75019,75006,40557,35760
2022-07-18,75020,22894,12900,11080
2022-07-18,75021,7371,4181,3557
2022-07-18,75022,38809,20697,18782
2022-07-18,75023,67180,36111,32001
2022-07-18,75024,74925,40508,35563
2022-07-18,75025,87613,46897,41709
2022-07-18,75026,498,267,241
2022-07-18,75027,243,134,116
2022-07-18,75028,70411,37680,33875
2022-07-18,75029,338,185,161
2022-07-18,75030,344,184,164
2022-07-18,75032,42888,23471,20439
2022-07-18,75033,65194,35232,31142
2022-07-18,75034,73260,40062,34685
2022-07-18,75035,130639,70144,62143
2022-07-18,75036,51707,27716,24666
2022-07-18,75038,45033,24719,21260
2022-07-18,75039,39498,21818,18668
2022-07-18,75040,85183,46187,40275
2022-07-18,75041,38034,20906,17742
2022-07-18,75042,50692,27728,23739
2022-07-18,75043,77333,41904,36582
2022-07-18,75044,64567,34719,30817
2022-07-18,75045,331,179,154
2022-07-18,75046,156,89,70
2022-07-18,75047,160,90,73
2022-07-18,75048,38119,20414,18297
2022-07-18,75049,351,189,170
2022-07-18,75050,46966,25915,21990
2022-07-18,75051,44539,24600,20728
2022-07-18,75052,122445,66293,58013
2022-07-18,75053,418,234,190
2022-07-18,75054,22562,12101,10764
2022-07-18,75056,93949,50609,45027
2022-07-18,75057,17722,9750,8288
2022-07-18,75058,3562,1978,1744
2022-07-18,75059,17,10,8
2022-07-18,75060,61233,33297,28887
2022-07-18,75061,66808,36609,31287
2022-07-18,75062,63829,35111,30055
2022-07-18,75063,78999,43116,37505
2022-07-18,75065,14877,8045,7146
2022-07-18,75067,87084,47438,41250
2022-07-18,75068,82560,44432,39516
2022-07-18,75069,47182,25679,22464
2022-07-18,75070,81490,44072,38717
2022-07-18,75071,84896,45867,40602
2022-07-18,75072,73391,39501,35249
2022-07-18,75074,71608,38932,33807
2022-07-18,75075,52787,28564,25000
2022-07-18,75076,8602,4721,4165
2022-07-18,75077,50901,27184,24648
2022-07-18,75078,47954,25979,22985
2022-07-18,75080,65111,35428,30792
2022-07-18,75081,53433,28960,25415
2022-07-18,75082,41729,22502,19898
2022-07-18,75083,623,342,291
2022-07-18,75085,261,138,124
2022-07-18,75086,528,286,246
2022-07-18,75087,48688,26536,23321
2022-07-18,75088,34635,18740,16614
2022-07-18,75089,46014,24893,22017
2022-07-18,75090,22263,12629,10712
2022-07-18,75091,790,435,383
2022-07-18,75092,26279,14707,12830
2022-07-18,75093,78167,42091,37194
2022-07-18,75094,37576,19969,18071
2022-07-18,75097,202,114,93
2022-07-18,75098,83247,44815,39748
2022-07-18,75099,18,12,7
2022-07-18,75101,562,312,273
2022-07-18,75102,1208,664,578
2022-07-18,75103,11135,6087,5472
2022-07-18,75104,60860,32794,28868
2022-07-18,75105,303,163,146
2022-07-18,75106,801,425,383
2022-07-18,75109,4434,2381,2143
2022-07-18,75110,29548,15993,14020
2022-07-18,75114,7350,4012,3474
2022-07-18,75115,68141,36771,32355
2022-07-18,75116,23403,12748,10955
2022-07-18,75117,2924,1591,1438
2022-07-18,75118,135,74,67
2022-07-18,75119,29591,16219,14056
2022-07-18,75120,647,352,311
2022-07-18,75121,207,114,103
2022-07-18,75123,637,339,308
2022-07-18,75124,3739,2083,1785
2022-07-18,75125,7776,4246,3638
2022-07-18,75126,75291,40947,35801
2022-07-18,75127,1169,644,566
2022-07-18,75132,213,115,99
2022-07-18,75134,23158,12467,10929
2022-07-18,75135,7363,4022,3576
2022-07-18,75137,23971,12954,11358
2022-07-18,75138,500,259,245
2022-07-18,75140,5403,2968,2629
2022-07-18,75141,4583,2501,2147
2022-07-18,75142,20919,11513,9905
2022-07-18,75143,12601,6961,6085
2022-07-18,75144,3288,1779,1573
2022-07-18,75146,26328,14288,12403
2022-07-18,75147,6254,3472,3000
2022-07-18,75148,4883,2670,2366
2022-07-18,75149,65144,35799,30395
2022-07-18,75150,72455,39800,33783
2022-07-18,75151,547,291,262
2022-07-18,75152,4948,2699,2373
2022-07-18,75153,645,349,307
2022-07-18,75154,52071,28033,24855
2022-07-18,75155,3268,1783,1554
2022-07-18,75156,12719,6978,6053
2022-07-18,75157,207,114,98
2022-07-18,75158,4403,2407,2114
2022-07-18,75159,21614,11832,10154
2022-07-18,75160,26334,14347,12509
2022-07-18,75161,6950,3790,3321
2022-07-18,75163,2029,1120,984
2022-07-18,75164,282,156,138
2022-07-18,75165,51520,27905,24826
2022-07-18,75166,6192,3353,2986
2022-07-18,75167,13129,7104,6352
2022-07-18,75168,676,353,333
2022-07-18,75169,13198,7270,6518
2022-07-18,75172,4914,2695,2306
2022-07-18,75173,6986,3847,3323
2022-07-18,75180,27573,15231,12768
2022-07-18,75181,33431,18121,15805
2022-07-18,75182,11266,6031,5411
2022-07-18,75185,352,189,168
2022-07-18,75187,153,82,74
2022-07-18,75189,38018,20922,18045
2022-07-18,75201,32416,19329,15574
2022-07-18,75202,6546,4090,3095
2022-07-18,75203,16568,9243,7653
2022-07-18,75204,47107,26181,22430
2022-07-18,75205,34869,19035,16612
2022-07-18,75206,59024,32282,28205
2022-07-18,75207,7670,4750,3686
2022-07-18,75208,43430,23700,20528
2022-07-18,75209,21924,11889,10462
2022-07-18,75210,7912,4446,3645
2022-07-18,75211,89216,48875,41641
2022-07-18,75212,32026,17555,15074
2022-07-18,75214,53253,28722,25485
2022-07-18,75215,18293,10177,8524
2022-07-18,75216,57389,31678,26685
2022-07-18,75217,94737,52175,43896
2022-07-18,75218,34100,18299,16324
2022-07-18,75219,42771,23489,20406
2022-07-18,75220,48012,26629,22223
2022-07-18,75221,152,96,70
2022-07-18,75222,460,249,214
2022-07-18,75223,18400,10061,8629
2022-07-18,75224,38566,21064,18082
2022-07-18,75225,37222,20292,17838
