Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-05-10,73301,156,90,71
2021-05-10,73344,NA,NA,NA
2021-05-10,73960,20,10,10
2021-05-10,75001,13503,7970,6028
2021-05-10,75002,58299,32884,26665
2021-05-10,75006,34956,20622,15554
2021-05-10,75007,47343,26973,21594
2021-05-10,75009,12585,7275,5760
2021-05-10,75010,31049,17644,14224
2021-05-10,75011,301,180,135
2021-05-10,75013,47934,26750,22111
2021-05-10,75014,169,104,70
2021-05-10,75015,88,51,38
2021-05-10,75016,161,96,67
2021-05-10,75017,88,52,36
2021-05-10,75019,44717,25608,20831
2021-05-10,75020,12463,7567,6032
2021-05-10,75021,4013,2429,1937
2021-05-10,75022,25162,13840,11763
2021-05-10,75023,41783,23662,18966
2021-05-10,75024,44724,25516,20178
2021-05-10,75025,54476,30488,24966
2021-05-10,75026,250,142,113
2021-05-10,75027,123,71,53
2021-05-10,75028,44700,24871,20740
2021-05-10,75029,139,82,63
2021-05-10,75030,186,110,79
2021-05-10,75032,25142,14507,11469
2021-05-10,75033,37165,21098,16956
2021-05-10,75034,42177,24153,19146
2021-05-10,75035,74854,42162,34282
2021-05-10,75036,32100,17908,14850
2021-05-10,75038,20255,12265,8647
2021-05-10,75039,22860,13421,10193
2021-05-10,75040,44428,26052,19600
2021-05-10,75041,16955,10110,7361
2021-05-10,75042,23157,13951,9933
2021-05-10,75043,40198,23352,17911
2021-05-10,75044,38740,22219,17497
2021-05-10,75045,166,97,71
2021-05-10,75046,103,58,48
2021-05-10,75047,76,43,36
2021-05-10,75048,21829,12444,9925
2021-05-10,75049,177,100,82
2021-05-10,75050,21229,12705,9318
2021-05-10,75051,18688,11341,8021
2021-05-10,75052,63544,37024,28459
2021-05-10,75053,169,105,71
2021-05-10,75054,12471,7080,5665
2021-05-10,75056,54444,30896,24884
2021-05-10,75057,7895,4658,3460
2021-05-10,75058,1957,1153,937
2021-05-10,75059,11,7,NA
2021-05-10,75060,27728,16506,11982
2021-05-10,75061,27790,16833,11874
2021-05-10,75062,29232,17552,12582
2021-05-10,75063,43751,25613,19521
2021-05-10,75065,8824,4972,4054
2021-05-10,75067,42832,25216,18879
2021-05-10,75068,43998,25168,19957
2021-05-10,75069,25695,14704,11777
2021-05-10,75070,45067,25533,20572
2021-05-10,75071,47724,27173,21763
2021-05-10,75072,43937,24560,20315
2021-05-10,75074,37884,22053,16769
2021-05-10,75075,33567,19033,15249
2021-05-10,75076,5708,3254,2771
2021-05-10,75077,33390,18601,15538
2021-05-10,75078,26601,15074,12193
2021-05-10,75080,41179,23592,18690
2021-05-10,75081,31163,18072,14019
2021-05-10,75082,27470,15530,12577
2021-05-10,75083,366,207,169
2021-05-10,75085,142,79,71
2021-05-10,75086,338,194,148
2021-05-10,75087,28594,16497,13142
2021-05-10,75088,20802,11890,9488
2021-05-10,75089,26285,15211,11914
2021-05-10,75090,10297,6492,4879
2021-05-10,75091,405,232,200
2021-05-10,75092,14682,8818,7197
2021-05-10,75093,50608,28393,23271
2021-05-10,75094,22724,12835,10356
2021-05-10,75097,115,67,57
2021-05-10,75098,45249,26207,20113
2021-05-10,75099,8,NA,NA
2021-05-10,75101,231,145,113
2021-05-10,75102,767,427,362
2021-05-10,75103,6214,3565,2967
2021-05-10,75104,32721,18776,14731
2021-05-10,75105,195,108,88
2021-05-10,75106,358,202,163
2021-05-10,75109,3239,1767,1537
2021-05-10,75110,16253,9167,7416
2021-05-10,75114,3265,1944,1434
2021-05-10,75115,37847,21834,17102
2021-05-10,75116,11754,6855,5147
2021-05-10,75117,1664,971,783
2021-05-10,75118,61,34,30
2021-05-10,75119,13674,8485,5943
2021-05-10,75120,383,222,179
2021-05-10,75121,106,64,50
2021-05-10,75123,341,188,158
2021-05-10,75124,2049,1196,963
2021-05-10,75125,3503,2119,1497
2021-05-10,75126,36733,21417,16490
2021-05-10,75127,655,376,302
2021-05-10,75132,121,69,54
2021-05-10,75134,10955,6296,4919
2021-05-10,75135,3445,2007,1568
2021-05-10,75137,13462,7693,6085
2021-05-10,75138,291,158,138
2021-05-10,75140,3145,1804,1475
2021-05-10,75141,2002,1164,893
2021-05-10,75142,9870,5956,4355
2021-05-10,75143,6865,4051,3256
2021-05-10,75144,2131,1179,1023
2021-05-10,75146,12527,7234,5672
2021-05-10,75147,3362,2002,1587
2021-05-10,75148,2734,1598,1282
2021-05-10,75149,30867,18361,13452
2021-05-10,75150,34425,20609,14903
2021-05-10,75151,278,153,130
2021-05-10,75152,2319,1383,1048
2021-05-10,75153,317,181,141
2021-05-10,75154,26933,15469,12176
2021-05-10,75155,1267,765,555
2021-05-10,75156,7246,4247,3337
2021-05-10,75157,120,71,56
2021-05-10,75158,2352,1388,1091
2021-05-10,75159,9756,5843,4305
2021-05-10,75160,14276,8409,6252
2021-05-10,75161,3841,2263,1699
2021-05-10,75163,1355,787,651
2021-05-10,75164,152,86,74
2021-05-10,75165,28416,16211,13102
2021-05-10,75166,3207,1837,1472
2021-05-10,75167,7293,4144,3390
2021-05-10,75168,450,247,210
2021-05-10,75169,7047,4218,3322
2021-05-10,75172,1909,1157,811
2021-05-10,75173,3431,1995,1530
2021-05-10,75180,11331,6778,4905
2021-05-10,75181,17609,10243,7905
