Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2022-02-28,73301,274,150,129
2022-02-28,73344,NA,NA,NA
2022-02-28,73960,27,14,13
2022-02-28,75001,23029,12960,10928
2022-02-28,75002,95507,51320,45674
2022-02-28,75006,64559,35270,30510
2022-02-28,75007,77719,41721,37256
2022-02-28,75009,22559,12365,10846
2022-02-28,75010,48900,26300,23495
2022-02-28,75011,597,331,279
2022-02-28,75013,75710,40798,35922
2022-02-28,75014,360,203,164
2022-02-28,75015,218,117,105
2022-02-28,75016,396,214,189
2022-02-28,75017,174,99,77
2022-02-28,75019,73010,39548,34857
2022-02-28,75020,22213,12581,10732
2022-02-28,75021,7164,4092,3453
2022-02-28,75022,38072,20327,18417
2022-02-28,75023,65710,35354,31318
2022-02-28,75024,73100,39485,34767
2022-02-28,75025,85885,46035,40885
2022-02-28,75026,473,256,226
2022-02-28,75027,218,122,104
2022-02-28,75028,68991,36938,33202
2022-02-28,75029,327,180,156
2022-02-28,75030,326,176,154
2022-02-28,75032,41970,23040,19963
2022-02-28,75033,63412,34299,30313
2022-02-28,75034,71344,39035,33837
2022-02-28,75035,126900,68273,60346
2022-02-28,75036,50554,27169,24103
2022-02-28,75038,43678,24003,20648
2022-02-28,75039,38584,21279,18316
2022-02-28,75040,83262,45238,39348
2022-02-28,75041,37218,20468,17378
2022-02-28,75042,49330,27068,23077
2022-02-28,75043,75361,40955,35618
2022-02-28,75044,63309,34128,30196
2022-02-28,75045,306,165,143
2022-02-28,75046,156,89,70
2022-02-28,75047,154,87,70
2022-02-28,75048,37312,20002,17905
2022-02-28,75049,350,188,170
2022-02-28,75050,45571,25217,21331
2022-02-28,75051,43214,23904,20121
2022-02-28,75052,119336,64791,56493
2022-02-28,75053,393,225,176
2022-02-28,75054,22063,11862,10517
2022-02-28,75056,92091,49614,44200
2022-02-28,75057,17107,9435,7993
2022-02-28,75058,3499,1944,1712
2022-02-28,75059,17,10,8
2022-02-28,75060,59828,32641,28163
2022-02-28,75061,64960,35733,30348
2022-02-28,75062,62108,34271,29241
2022-02-28,75063,77129,42058,36755
2022-02-28,75065,14558,7889,6986
2022-02-28,75067,84556,46170,40026
2022-02-28,75068,80620,43471,38579
2022-02-28,75069,45852,25017,21820
2022-02-28,75070,79213,42919,37639
2022-02-28,75071,82433,44637,39396
2022-02-28,75072,71645,38626,34405
2022-02-28,75074,69636,37927,32882
2022-02-28,75075,51779,28045,24535
2022-02-28,75076,8469,4668,4100
2022-02-28,75077,49825,26636,24110
2022-02-28,75078,46277,25123,22171
2022-02-28,75080,63700,34734,30124
2022-02-28,75081,52253,28413,24815
2022-02-28,75082,40741,21971,19485
2022-02-28,75083,611,338,284
2022-02-28,75085,251,134,119
2022-02-28,75086,515,279,240
2022-02-28,75087,47391,25951,22653
2022-02-28,75088,33809,18322,16214
2022-02-28,75089,44988,24408,21496
