Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2022-09-05,73301,301,168,138
2022-09-05,73344,,,
2022-09-05,73960,30,16,14
2022-09-05,75001,23745,13358,11224
2022-09-05,75002,98049,52579,46886
2022-09-05,75006,66455,36219,31381
2022-09-05,75007,79552,42648,38093
2022-09-05,75009,23723,12990,11384
2022-09-05,75010,50318,27050,24128
2022-09-05,75011,634,345,298
2022-09-05,75013,78231,42107,37084
2022-09-05,75014,373,211,169
2022-09-05,75015,235,126,113
2022-09-05,75016,403,219,191
2022-09-05,75017,186,104,83
2022-09-05,75019,75625,40866,36054
2022-09-05,75020,23026,12968,11137
2022-09-05,75021,7399,4197,3567
2022-09-05,75022,39040,20828,18878
2022-09-05,75023,67663,36387,32205
2022-09-05,75024,75482,40877,35743
2022-09-05,75025,88146,47214,41918
2022-09-05,75026,496,266,240
2022-09-05,75027,254,139,122
2022-09-05,75028,70797,37906,34031
2022-09-05,75029,341,186,163
2022-09-05,75030,345,184,165
2022-09-05,75032,43177,23619,20575
2022-09-05,75033,65643,35474,31341
2022-09-05,75034,73806,40366,34920
2022-09-05,75035,131751,70771,62613
2022-09-05,75036,52085,27931,24825
2022-09-05,75038,45354,24911,21383
2022-09-05,75039,39800,22006,18773
2022-09-05,75040,85677,46435,40511
2022-09-05,75041,38314,21072,17852
2022-09-05,75042,51088,27951,23899
2022-09-05,75043,77833,42177,36797
2022-09-05,75044,64878,34878,30956
2022-09-05,75045,326,175,152
2022-09-05,75046,154,88,69
2022-09-05,75047,168,94,76
2022-09-05,75048,38355,20527,18409
2022-09-05,75049,352,190,169
2022-09-05,75050,47286,26078,22141
2022-09-05,75051,44817,24755,20853
2022-09-05,75052,123315,66732,58425
2022-09-05,75053,427,241,192
2022-09-05,75054,22796,12219,10874
2022-09-05,75056,94502,50895,45287
2022-09-05,75057,17824,9814,8319
2022-09-05,75058,3582,1990,1749
2022-09-05,75059,19,11,9
2022-09-05,75060,61572,33483,29035
2022-09-05,75061,67223,36846,31465
2022-09-05,75062,64296,35367,30260
2022-09-05,75063,79624,43467,37765
2022-09-05,75065,14931,8072,7171
2022-09-05,75067,87572,47716,41451
2022-09-05,75068,83149,44766,39763
2022-09-05,75069,47557,25870,22646
2022-09-05,75070,82356,44544,39095
2022-09-05,75071,85602,46238,40927
2022-09-05,75072,73896,39769,35473
2022-09-05,75074,72160,39232,34055
2022-09-05,75075,53086,28722,25137
2022-09-05,75076,8687,4766,4207
2022-09-05,75077,51108,27288,24748
2022-09-05,75078,48341,26213,23136
2022-09-05,75080,65638,35726,31004
2022-09-05,75081,53809,29165,25571
2022-09-05,75082,42020,22655,20034
2022-09-05,75083,626,344,292
2022-09-05,75085,265,140,126
2022-09-05,75086,539,291,252
2022-09-05,75087,49047,26717,23495
2022-09-05,75088,34822,18836,16695
2022-09-05,75089,46332,25049,22171
2022-09-05,75090,22413,12710,10770
2022-09-05,75091,792,438,382
2022-09-05,75092,26428,14789,12887
2022-09-05,75093,78549,42316,37350
2022-09-05,75094,37800,20096,18164
2022-09-05,75097,202,114,93
2022-09-05,75098,83845,45132,40021
2022-09-05,75099,18,12,7
2022-09-05,75101,566,314,273
2022-09-05,75102,1210,665,579
2022-09-05,75103,11186,6113,5495
2022-09-05,75104,61229,33013,29016
2022-09-05,75105,304,163,147
2022-09-05,75106,810,430,387
2022-09-05,75109,4459,2399,2151
2022-09-05,75110,29659,16060,14059
2022-09-05,75114,7419,4051,3502
