Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-12-20,73301,275,152,128
2021-12-20,73344,NA,NA,NA
2021-12-20,73960,23,12,11
2021-12-20,75001,22089,12439,10562
2021-12-20,75002,91262,49177,43793
2021-12-20,75006,61323,33634,29113
2021-12-20,75007,74031,39845,35696
2021-12-20,75009,21170,11632,10259
2021-12-20,75010,46666,25131,22558
2021-12-20,75011,564,315,263
2021-12-20,75013,71880,38837,34207
2021-12-20,75014,340,194,153
2021-12-20,75015,194,104,93
2021-12-20,75016,376,202,180
2021-12-20,75017,165,93,74
2021-12-20,75019,68896,37558,33021
2021-12-20,75020,20989,11984,10238
2021-12-20,75021,6782,3925,3295
2021-12-20,75022,36540,19529,17749
2021-12-20,75023,62686,33795,30010
2021-12-20,75024,69190,37451,33014
2021-12-20,75025,81861,44007,39095
2021-12-20,75026,453,246,218
2021-12-20,75027,212,117,103
2021-12-20,75028,66171,35415,32042
2021-12-20,75029,290,161,137
2021-12-20,75030,306,165,146
2021-12-20,75032,39869,22064,18962
2021-12-20,75033,60063,32608,28840
2021-12-20,75034,67559,37016,32288
2021-12-20,75035,119086,64327,56757
2021-12-20,75036,48011,25858,23002
2021-12-20,75038,40675,22462,19307
2021-12-20,75039,36502,20153,17471
2021-12-20,75040,78582,42865,37265
2021-12-20,75041,34831,19194,16346
2021-12-20,75042,46005,25368,21573
2021-12-20,75043,70905,38774,33549
2021-12-20,75044,60252,32637,28786
2021-12-20,75045,284,151,136
2021-12-20,75046,162,93,74
2021-12-20,75047,130,74,60
2021-12-20,75048,35480,19124,17042
2021-12-20,75049,338,181,165
2021-12-20,75050,42306,23470,19953
2021-12-20,75051,39877,22148,18677
2021-12-20,75052,112027,61110,53261
2021-12-20,75053,392,228,173
2021-12-20,75054,20593,11137,9813
2021-12-20,75056,87471,47175,42211
2021-12-20,75057,15967,8799,7525
2021-12-20,75058,3337,1862,1644
2021-12-20,75059,18,10,9
2021-12-20,75060,56028,30683,26485
2021-12-20,75061,60252,33252,28296
2021-12-20,75062,58040,32117,27477
2021-12-20,75063,72480,39817,34581
2021-12-20,75065,13930,7539,6741
2021-12-20,75067,78974,43229,37584
2021-12-20,75068,76332,41266,36689
2021-12-20,75069,43425,23735,20804
2021-12-20,75070,74617,40597,35545
2021-12-20,75071,77806,42294,37313
2021-12-20,75072,68035,36799,32742
2021-12-20,75074,66000,36037,31298
2021-12-20,75075,49574,26871,23631
2021-12-20,75076,8171,4528,3984
2021-12-20,75077,48045,25683,23394
2021-12-20,75078,43296,23561,20840
2021-12-20,75080,60875,33202,29018
2021-12-20,75081,49584,27074,23613
2021-12-20,75082,39464,21339,18928
2021-12-20,75083,589,326,275
2021-12-20,75085,223,121,107
2021-12-20,75086,496,269,232
2021-12-20,75087,45062,24877,21528
2021-12-20,75088,32391,17637,15569
2021-12-20,75089,42866,23414,20501
2021-12-20,75090,20168,11602,9830
2021-12-20,75091,725,403,353
2021-12-20,75092,24092,13668,11872
2021-12-20,75093,73330,39636,35030
2021-12-20,75094,35418,18957,17029
2021-12-20,75097,181,104,82
2021-12-20,75098,76960,41746,36784
2021-12-20,75099,16,10,7
2021-12-20,75101,509,289,253
2021-12-20,75102,1105,613,531
2021-12-20,75103,10491,5788,5176
