"Level","current_ratio","current_ratio_cat"
"Newton",3,"(2,3]"
"Nolan",1.07692307692308,"(0.9,1.08]"
"Nueces",1.19480519480519,"(1.1,1.19]"
"Ochiltree",2.27272727272727,"(2,2.27]"
"Oldham",1.5,"(1.1,1.5]"
"Orange",0.410714285714286,"(0,0.411]"
"Palo Pinto",1.44827586206897,"(1.1,1.45]"
"Panola",1.58823529411765,"(1.5,1.59]"
"Parker",1.33783783783784,"(1.1,1.34]"
"Parmer",0.5,"(0,0.5]"
"Pecos",0.730769230769231,"(0.5,0.731]"
"Polk",0.166666666666667,"(0,0.167]"
"Potter",0.322532027128862,"(0,0.323]"
"Presidio",NA,NA
"Rains",0.8,"(0.5,0.8]"
"Randall",1.29032258064516,"(1.1,1.29]"
"Reagan",2,"(1.5,2]"
"Red River",0.333333333333333,"(0,0.333]"
"Reeves",0.578947368421053,"(0.5,0.579]"
"Refugio",NA,NA
"Roberts",1.5,"(1.1,1.5]"
"Robertson",3,"(2,3]"
"Rockwall",1.55,"(1.5,1.55]"
"Runnels",0.533333333333333,"(0.5,0.533]"
"Rusk",0.04,"(0,0.04]"
"Sabine",0.75,"(0.5,0.75]"
"San Augustine",NA,NA
"San Jacinto",NA,NA
"San Patricio",0.171428571428571,"(0,0.171]"
"San Saba",13,"(8,13]"
"Scurry",0.964912280701754,"(0.9,0.965]"
"Shackelford",0.111111111111111,"(0,0.111]"
"Shelby",6.14285714285714,"(4,6.14]"
"Sherman",0.25,"(0,0.25]"
"Smith",1.05555555555556,"(0.9,1.06]"
"Somervell",0.833333333333333,"(0.5,0.833]"
"Starr",0.625,"(0.5,0.625]"
"Stephens",1.4,"(1.1,1.4]"
"Sterling",NA,NA
"Stonewall",NA,NA
"Sutton",0.333333333333333,"(0,0.333]"
"Swisher",2,"(1.5,2]"
"Tarrant",1.2471383975026,"(1.1,1.25]"
"Taylor",1.06896551724138,"(0.9,1.07]"
"Terry",2.3448275862069,"(2,2.34]"
"Throckmorton",NA,NA
"Titus",0.653846153846154,"(0.5,0.654]"
"Tom Green",1.10769230769231,"(1.1,1.11]"
"Travis",0.742559523809524,"(0.5,0.743]"
"Trinity",1,"(0.9,1]"
"Tyler",0.928571428571429,"(0.9,0.929]"
"Upshur",1.23529411764706,"(1.1,1.24]"
"Upton",NA,NA
"Uvalde",0.4,"(0,0.4]"
"Val Verde",1.88636363636364,"(1.5,1.89]"
"Van Zandt",2.33333333333333,"(2,2.33]"
"Victoria",1.53658536585366,"(1.5,1.54]"
"Walker",1.81132075471698,"(1.5,1.81]"
"Waller",2.9047619047619,"(2,2.9]"
"Ward",0.7,"(0.5,0.7]"
"Washington",2.16666666666667,"(2,2.17]"
"Webb",0.642570281124498,"(0.5,0.643]"
"Wharton",1.11764705882353,"(1.1,1.12]"
"Wheeler",NA,NA
"Wichita",1.64835164835165,"(1.5,1.65]"
"Wilbarger",1.2,"(1.1,1.2]"
"Willacy",1.66666666666667,"(1.5,1.67]"
"Williamson",1.4140127388535,"(1.1,1.41]"
"Wilson",0.15,"(0,0.15]"
"Winkler",0.333333333333333,"(0,0.333]"
"Wise",1.88888888888889,"(1.5,1.89]"
"Wood",1.38095238095238,"(1.1,1.38]"
"Yoakum",0.758620689655172,"(0.5,0.759]"
"Young",1.62857142857143,"(1.5,1.63]"
"Zapata",3,"(2,3]"
"Zavala",0.352941176470588,"(0,0.353]"
