"County","Date","Tests","TPR_CMS"
"Anderson",2020-12-16,2526,0.131
"Andrews",2020-12-16,192,0.219
"Angelina",2020-12-16,5386,0.139
"Aransas",2020-12-16,328,0.14
"Archer",2020-12-16,219,0.292
"Armstrong",2020-12-16,39,0.179
"Atascosa",2020-12-16,2265,0.215
"Austin",2020-12-16,1222,0.123
"Bailey",2020-12-16,20,0
"Bandera",2020-12-16,510,0.149
"Bastrop",2020-12-16,3889,0.102
"Baylor",2020-12-16,133,0.105
"Bee",2020-12-16,1044,0.154
"Bell",2020-12-16,20614,0.119
"Bexar",2020-12-16,93083,0.147
"Blanco",2020-12-16,460,0.122
"Borden",2020-12-16,NA,NA
"Bosque",2020-12-16,763,0.132
"Bowie",2020-12-16,2658,0.159
"Brazoria",2020-12-16,16134,0.133
"Brazos",2020-12-16,17858,0.104
"Brewster",2020-12-16,760,0.117
"Briscoe",2020-12-16,32,0.125
"Brooks",2020-12-16,747,0.048
"Brown",2020-12-16,1411,0.187
"Burleson",2020-12-16,1431,0.11
"Burnet",2020-12-16,2724,0.108
"Caldwell",2020-12-16,2605,0.169
"Calhoun",2020-12-16,706,0.099
"Callahan",2020-12-16,383,0.06
"Cameron",2020-12-16,11613,0.153
"Camp",2020-12-16,400,0.202
"Carson",2020-12-16,122,0.254
"Cass",2020-12-16,709,0.171
"Castro",2020-12-16,107,0.318
"Chambers",2020-12-16,1358,0.097
"Cherokee",2020-12-16,1262,0.067
"Childress",2020-12-16,302,0.384
"Clay",2020-12-16,341,0.208
"Cochran",2020-12-16,44,0.205
"Coke",2020-12-16,74,0.149
"Coleman",2020-12-16,243,0.235
"Collin",2020-12-16,68010,0.111
"Collingsworth",2020-12-16,88,0.42
"Colorado",2020-12-16,473,0.178
"Comal",2020-12-16,6090,0.142
"Comanche",2020-12-16,574,0.254
"Concho",2020-12-16,38,0.158
"Cooke",2020-12-16,2273,0.176
"Coryell",2020-12-16,5208,0.12
"Cottle",2020-12-16,40,0.4
"Crane",2020-12-16,144,0.083
"Crockett",2020-12-16,32,0.156
"Crosby",2020-12-16,128,0.18
"Culberson",2020-12-16,149,0.268
"Dallam",2020-12-16,87,0.103
"Dallas",2020-12-16,131721,0.148
"Dawson",2020-12-16,240,0.054
"DeWitt",2020-12-16,332,0.208
"Deaf Smith",2020-12-16,133,0.18
"Delta",2020-12-16,132,0.121
"Denton",2020-12-16,44144,0.13
"Dickens",2020-12-16,20,0.05
"Dimmit",2020-12-16,900,0.161
"Donley",2020-12-16,72,0.069
"Duval",2020-12-16,774,0.093
"Eastland",2020-12-16,283,0.24
"Ector",2020-12-16,3310,0.251
"Edwards",2020-12-16,131,0.29
"El Paso",2020-12-16,42523,0.133
"Ellis",2020-12-16,11448,0.162
"Erath",2020-12-16,1162,0.201
"Falls",2020-12-16,973,0.14
"Fannin",2020-12-16,1798,0.128
"Fayette",2020-12-16,694,0.148
"Fisher",2020-12-16,115,0.304
"Floyd",2020-12-16,105,0.219
"Foard",2020-12-16,20,0.15
"Fort Bend",2020-12-16,38335,0.106
"Franklin",2020-12-16,192,0.089
"Freestone",2020-12-16,1351,0.033
"Frio",2020-12-16,554,0.191
"Gaines",2020-12-16,156,0.192
"Galveston",2020-12-16,18114,0.13
"Garza",2020-12-16,45,0.289
"Gillespie",2020-12-16,1644,0.178
"Glasscock",2020-12-16,NA,NA
"Goliad",2020-12-16,107,0.131
"Gonzales",2020-12-16,934,0.138
"Gray",2020-12-16,367,0.251
"Grayson",2020-12-16,6893,0.147
"Gregg",2020-12-16,3536,0.149
"Grimes",2020-12-16,1968,0.145
"Guadalupe",2020-12-16,4110,0.146
"Hale",2020-12-16,431,0.232
"Hall",2020-12-16,96,0.385
"Hamilton",2020-12-16,318,0.063
"Hansford",2020-12-16,52,0.288
"Hardeman",2020-12-16,60,0.15
"Hardin",2020-12-16,1404,0.113
"Harris",2020-12-16,208763,0.114
"Harrison",2020-12-16,1667,0.134
"Hartley",2020-12-16,NA,NA
"Haskell",2020-12-16,126,0.056
"Hays",2020-12-16,15403,0.104
"Hemphill",2020-12-16,NA,NA
"Henderson",2020-12-16,1864,0.149
"Hidalgo",2020-12-16,19169,0.14
"Hill",2020-12-16,3393,0.19
"Hockley",2020-12-16,380,0.271
"Hood",2020-12-16,2115,0.183
"Hopkins",2020-12-16,1198,0.119
"Houston",2020-12-16,520,0.113
"Howard",2020-12-16,1362,0.164
"Hudspeth",2020-12-16,82,0.268
"Hunt",2020-12-16,2735,0.157
"Hutchinson",2020-12-16,584,0.312
"Irion",2020-12-16,27,0.111
"Jack",2020-12-16,126,0.143
"Jackson",2020-12-16,319,0.226
"Jasper",2020-12-16,754,0.129
"Jeff Davis",2020-12-16,199,0.05
"Jefferson",2020-12-16,7538,0.142
"Jim Hogg",2020-12-16,864,0.044
"Jim Wells",2020-12-16,1706,0.11
"Johnson",2020-12-16,7597,0.201
"Jones",2020-12-16,439,0.185
"Karnes",2020-12-16,988,0.182
"Kaufman",2020-12-16,6610,0.159
"Kendall",2020-12-16,1281,0.128
"Kenedy",2020-12-16,NA,NA
"Kent",2020-12-16,NA,NA
"Kerr",2020-12-16,2032,0.115
"Kimble",2020-12-16,52,0.135
"King",2020-12-16,NA,NA
"Kinney",2020-12-16,118,0.093
"Kleberg",2020-12-16,1460,0.082
"Knox",2020-12-16,22,0.182
"La Salle",2020-12-16,550,0.213
"Lamar",2020-12-16,1650,0.116
"Lamb",2020-12-16,315,0.222
"Lampasas",2020-12-16,1263,0.148
"Lavaca",2020-12-16,557,0.117
"Lee",2020-12-16,759,0.079
"Leon",2020-12-16,877,0.194
"Liberty",2020-12-16,2531,0.146
"Limestone",2020-12-16,3465,0.063
"Lipscomb",2020-12-16,NA,NA
"Live Oak",2020-12-16,564,0.236
"Llano",2020-12-16,1224,0.105
