"County","Date","Tests","TPR_CMS"
"Anderson",2020-09-30,361,0.125
"Andrews",2020-09-30,154,0.045
"Angelina",2020-09-30,1105,0.071
"Aransas",2020-09-30,138,0.051
"Archer",2020-09-30,51,0.118
"Armstrong",2020-09-30,27,0.148
"Atascosa",2020-09-30,1337,0.04
"Austin",2020-09-30,637,0.035
"Bailey",2020-09-30,40,0.275
"Bandera",2020-09-30,259,0.019
"Bastrop",2020-09-30,1079,0.063
"Baylor",2020-09-30,21,0.095
"Bee",2020-09-30,319,0.103
"Bell",2020-09-30,14469,0.028
"Bexar",2020-09-30,40053,0.052
"Blanco",2020-09-30,203,0.025
"Borden",2020-09-30,NA,NA
"Bosque",2020-09-30,565,0.081
"Bowie",2020-09-30,1647,0.106
"Brazoria",2020-09-30,7784,0.047
"Brazos",2020-09-30,9843,0.039
"Brewster",2020-09-30,576,0.069
"Briscoe",2020-09-30,21,0.143
"Brooks",2020-09-30,858,0.044
"Brown",2020-09-30,508,0.047
"Burleson",2020-09-30,382,0.065
"Burnet",2020-09-30,1125,0.065
"Caldwell",2020-09-30,451,0.038
"Calhoun",2020-09-30,618,0.045
"Callahan",2020-09-30,126,0.071
"Cameron",2020-09-30,5568,0.121
"Camp",2020-09-30,152,0.066
"Carson",2020-09-30,51,0.137
"Cass",2020-09-30,666,0.09
"Castro",2020-09-30,169,0.03
"Chambers",2020-09-30,639,0.067
"Cherokee",2020-09-30,362,0.072
"Childress",2020-09-30,40,0.25
"Clay",2020-09-30,83,0.048
"Cochran",2020-09-30,27,0.074
"Coke",2020-09-30,92,0.087
"Coleman",2020-09-30,124,0.089
"Collin",2020-09-30,24706,0.047
"Collingsworth",2020-09-30,NA,NA
"Colorado",2020-09-30,508,0.016
"Comal",2020-09-30,2069,0.038
"Comanche",2020-09-30,492,0.039
"Concho",2020-09-30,99,0.071
"Cooke",2020-09-30,578,0.073
"Coryell",2020-09-30,3108,0.032
"Cottle",2020-09-30,NA,NA
"Crane",2020-09-30,276,0.022
"Crockett",2020-09-30,NA,NA
"Crosby",2020-09-30,54,0.056
"Culberson",2020-09-30,96,0.083
"Dallam",2020-09-30,33,0.061
"Dallas",2020-09-30,63294,0.071
"Dawson",2020-09-30,353,0.193
"DeWitt",2020-09-30,236,0.11
"Deaf Smith",2020-09-30,236,0.072
"Delta",2020-09-30,41,0.098
"Denton",2020-09-30,16360,0.054
"Dickens",2020-09-30,NA,NA
"Dimmit",2020-09-30,113,0.124
"Donley",2020-09-30,35,0.114
"Duval",2020-09-30,675,0.086
"Eastland",2020-09-30,156,0.154
"Ector",2020-09-30,1396,0.114
"Edwards",2020-09-30,NA,NA
"El Paso",2020-09-30,23114,0.102
"Ellis",2020-09-30,4229,0.059
"Erath",2020-09-30,590,0.108
"Falls",2020-09-30,650,0.151
"Fannin",2020-09-30,1632,0.03
"Fayette",2020-09-30,404,0.072
"Fisher",2020-09-30,30,0.133
"Floyd",2020-09-30,61,0.066
"Foard",2020-09-30,NA,NA
"Fort Bend",2020-09-30,14135,0.037
"Franklin",2020-09-30,140,0.057
"Freestone",2020-09-30,469,0.015
"Frio",2020-09-30,350,0.037
"Gaines",2020-09-30,190,0.137
"Galveston",2020-09-30,8459,0.036
"Garza",2020-09-30,27,0
"Gillespie",2020-09-30,495,0.026
"Glasscock",2020-09-30,NA,NA
"Goliad",2020-09-30,52,0.038
"Gonzales",2020-09-30,503,0.028
"Gray",2020-09-30,310,0.184
"Grayson",2020-09-30,4156,0.037
"Gregg",2020-09-30,2572,0.082
"Grimes",2020-09-30,798,0.033
"Guadalupe",2020-09-30,1629,0.034
"Hale",2020-09-30,275,0.131
"Hall",2020-09-30,36,0.361
"Hamilton",2020-09-30,154,0.019
"Hansford",2020-09-30,199,0.07
"Hardeman",2020-09-30,NA,NA
"Hardin",2020-09-30,707,0.052
"Harris",2020-09-30,97261,0.049
"Harrison",2020-09-30,454,0.095
"Hartley",2020-09-30,NA,NA
"Haskell",2020-09-30,73,0.027
"Hays",2020-09-30,3995,0.065
"Hemphill",2020-09-30,57,0.018
"Henderson",2020-09-30,883,0.068
"Hidalgo",2020-09-30,13288,0.096
"Hill",2020-09-30,2186,0.053
"Hockley",2020-09-30,273,0.11
"Hood",2020-09-30,831,0.079
"Hopkins",2020-09-30,682,0.069
"Houston",2020-09-30,427,0.056
"Howard",2020-09-30,723,0.083
"Hudspeth",2020-09-30,111,0.144
"Hunt",2020-09-30,911,0.043
"Hutchinson",2020-09-30,381,0.092
"Irion",2020-09-30,NA,NA
"Jack",2020-09-30,38,0.026
"Jackson",2020-09-30,120,0.075
"Jasper",2020-09-30,434,0.129
"Jeff Davis",2020-09-30,25,0.04
"Jefferson",2020-09-30,5031,0.06
"Jim Hogg",2020-09-30,359,0.025
"Jim Wells",2020-09-30,1727,0.087
"Johnson",2020-09-30,3212,0.073
"Jones",2020-09-30,269,0.048
"Karnes",2020-09-30,172,0.035
"Kaufman",2020-09-30,2085,0.058
"Kendall",2020-09-30,762,0.02
"Kenedy",2020-09-30,NA,NA
"Kent",2020-09-30,NA,NA
"Kerr",2020-09-30,802,0.015
"Kimble",2020-09-30,45,0.067
"King",2020-09-30,NA,NA
"Kinney",2020-09-30,63,0.095
"Kleberg",2020-09-30,798,0.075
"Knox",2020-09-30,116,0.147
"La Salle",2020-09-30,219,0.05
"Lamar",2020-09-30,588,0.085
"Lamb",2020-09-30,108,0.056
"Lampasas",2020-09-30,815,0.05
"Lavaca",2020-09-30,267,0.172
"Lee",2020-09-30,248,0.052
"Leon",2020-09-30,308,0.068
"Liberty",2020-09-30,1423,0.041
"Limestone",2020-09-30,1392,0.029
"Lipscomb",2020-09-30,NA,NA
"Live Oak",2020-09-30,113,0.053
"Llano",2020-09-30,738,0.027
"Loving",2020-09-30,NA,NA
"Lubbock",2020-09-30,7696,0.121
"Lynn",2020-09-30,101,0.149
"Madison",2020-09-30,474,0.023
"Marion",2020-09-30,86,0.058
"Martin",2020-09-30,28,0
"Mason",2020-09-30,42,0.071
"Matagorda",2020-09-30,674,0.061
"Maverick",2020-09-30,1684,0.126
"McCulloch",2020-09-30,106,0.104
"McLennan",2020-09-30,12182,0.061
"McMullen",2020-09-30,NA,NA
"Medina",2020-09-30,574,0.066
"Menard",2020-09-30,139,0.007
"Midland",2020-09-30,903,0.062
"Milam",2020-09-30,1129,0.029
"Mills",2020-09-30,190,0.037
"Mitchell",2020-09-30,65,0.077
"Montague",2020-09-30,327,0.037
"Montgomery",2020-09-30,9927,0.052
"Moore",2020-09-30,173,0.075
"Morris",2020-09-30,118,0.051
"Motley",2020-09-30,NA,NA
"Nacogdoches",2020-09-30,1608,0.093
"Navarro",2020-09-30,695,0.101
"Newton",2020-09-30,98,0.143
"Nolan",2020-09-30,247,0.121
"Nueces",2020-09-30,4235,0.055
"Ochiltree",2020-09-30,30,0
"Oldham",2020-09-30,85,0.094
"Orange",2020-09-30,750,0.067
"Palo Pinto",2020-09-30,556,0.164
"Panola",2020-09-30,521,0.084
"Parker",2020-09-30,1779,0.08
"Parmer",2020-09-30,43,0.047
"Pecos",2020-09-30,341,0.056
"Polk",2020-09-30,775,0.037
"Potter",2020-09-30,3165,0.077
"Presidio",2020-09-30,38,0.026
"Rains",2020-09-30,83,0.048
"Randall",2020-09-30,2149,0.099
"Reagan",2020-09-30,20,0
"Real",2020-09-30,25,0.04
"Red River",2020-09-30,198,0.051
"Reeves",2020-09-30,466,0.028
"Refugio",2020-09-30,172,0.041
"Roberts",2020-09-30,NA,NA
"Robertson",2020-09-30,590,0.047
"Rockwall",2020-09-30,2628,0.043
"Runnels",2020-09-30,307,0.098
"Rusk",2020-09-30,490,0.18
"Sabine",2020-09-30,340,0.018
"San Augustine",2020-09-30,246,0.049
"San Jacinto",2020-09-30,242,0.037
"San Patricio",2020-09-30,965,0.036
"San Saba",2020-09-30,150,0.047
"Schleicher",2020-09-30,37,0.081
"Scurry",2020-09-30,227,0.141
"Shackelford",2020-09-30,22,0.136
"Shelby",2020-09-30,854,0.05
"Sherman",2020-09-30,NA,NA
"Smith",2020-09-30,5170,0.081
"Somervell",2020-09-30,184,0.016
"Starr",2020-09-30,963,0.131
"Stephens",2020-09-30,32,0.062
"Sterling",2020-09-30,NA,NA
"Stonewall",2020-09-30,NA,NA
"Sutton",2020-09-30,25,0.16
"Swisher",2020-09-30,83,0.108
"Tarrant",2020-09-30,39383,0.081
"Taylor",2020-09-30,2617,0.038
"Terrell",2020-09-30,NA,NA
"Terry",2020-09-30,90,0.133
"Throckmorton",2020-09-30,NA,NA
"Titus",2020-09-30,722,0.035
"Tom Green",2020-09-30,2860,0.065
"Travis",2020-09-30,23092,0.041
"Trinity",2020-09-30,246,0.045
"Tyler",2020-09-30,234,0.073
"Upshur",2020-09-30,448,0.056
"Upton",2020-09-30,NA,NA
"Uvalde",2020-09-30,358,0.12
"Val Verde",2020-09-30,707,0.112
"Van Zandt",2020-09-30,455,0.055
"Victoria",2020-09-30,756,0.071
"Walker",2020-09-30,3098,0.089
"Waller",2020-09-30,772,0.041
"Ward",2020-09-30,176,0.08
"Washington",2020-09-30,1165,0.028
"Webb",2020-09-30,7607,0.141
"Wharton",2020-09-30,763,0.066
"Wheeler",2020-09-30,234,0.021
"Wichita",2020-09-30,1559,0.061
"Wilbarger",2020-09-30,332,0.111
"Willacy",2020-09-30,734,0.104
"Williamson",2020-09-30,11044,0.037
"Wilson",2020-09-30,1274,0.016
"Winkler",2020-09-30,25,0.04
"Wise",2020-09-30,1392,0.032
"Wood",2020-09-30,552,0.06
"Yoakum",2020-09-30,176,0.159
"Young",2020-09-30,222,0.063
"Zapata",2020-09-30,322,0.043
"Zavala",2020-09-30,217,0.134
