"County","Date","Tests","TPR_CMS"
"Anderson",2020-11-11,1728,0.091
"Andrews",2020-11-11,440,0.211
"Angelina",2020-11-11,1626,0.049
"Aransas",2020-11-11,218,0.073
"Archer",2020-11-11,158,0.196
"Armstrong",2020-11-11,69,0.362
"Atascosa",2020-11-11,950,0.095
"Austin",2020-11-11,644,0.054
"Bailey",2020-11-11,50,0.5
"Bandera",2020-11-11,333,0.036
"Bastrop",2020-11-11,1807,0.066
"Baylor",2020-11-11,66,0.091
"Bee",2020-11-11,440,0.18
"Bell",2020-11-11,12217,0.055
"Bexar",2020-11-11,51321,0.077
"Blanco",2020-11-11,223,0.031
"Borden",2020-11-11,NA,NA
"Bosque",2020-11-11,515,0.082
"Bowie",2020-11-11,2823,0.179
"Brazoria",2020-11-11,9640,0.084
"Brazos",2020-11-11,10817,0.075
"Brewster",2020-11-11,682,0.144
"Briscoe",2020-11-11,37,0.324
"Brooks",2020-11-11,464,0.062
"Brown",2020-11-11,946,0.103
"Burleson",2020-11-11,476,0.107
"Burnet",2020-11-11,1441,0.083
"Caldwell",2020-11-11,949,0.066
"Calhoun",2020-11-11,375,0.053
"Callahan",2020-11-11,446,0.114
"Cameron",2020-11-11,7229,0.088
"Camp",2020-11-11,216,0.106
"Carson",2020-11-11,101,0.337
"Cass",2020-11-11,831,0.134
"Castro",2020-11-11,202,0.134
"Chambers",2020-11-11,569,0.069
"Cherokee",2020-11-11,1148,0.036
"Childress",2020-11-11,244,0.23
"Clay",2020-11-11,250,0.22
"Cochran",2020-11-11,55,0.382
"Coke",2020-11-11,56,0.25
"Coleman",2020-11-11,196,0.362
"Collin",2020-11-11,34178,0.099
"Collingsworth",2020-11-11,73,0.397
"Colorado",2020-11-11,296,0.128
"Comal",2020-11-11,2986,0.069
"Comanche",2020-11-11,207,0.111
"Concho",2020-11-11,94,0.043
"Cooke",2020-11-11,1182,0.113
"Coryell",2020-11-11,2984,0.06
"Cottle",2020-11-11,66,0.333
"Crane",2020-11-11,340,0.035
"Crockett",2020-11-11,23,0.13
"Crosby",2020-11-11,182,0.324
"Culberson",2020-11-11,73,0.301
"Dallam",2020-11-11,51,0.314
"Dallas",2020-11-11,85967,0.132
"Dawson",2020-11-11,214,0.206
"DeWitt",2020-11-11,186,0.124
"Deaf Smith",2020-11-11,222,0.414
"Delta",2020-11-11,78,0.077
"Denton",2020-11-11,26790,0.112
"Dickens",2020-11-11,NA,NA
"Dimmit",2020-11-11,232,0.134
"Donley",2020-11-11,66,0.242
"Duval",2020-11-11,1242,0.072
"Eastland",2020-11-11,222,0.171
"Ector",2020-11-11,3811,0.233
"Edwards",2020-11-11,NA,NA
"El Paso",2020-11-11,71788,0.258
"Ellis",2020-11-11,6210,0.134
"Erath",2020-11-11,709,0.158
"Falls",2020-11-11,748,0.099
"Fannin",2020-11-11,1605,0.124
"Fayette",2020-11-11,427,0.103
"Fisher",2020-11-11,97,0.206
"Floyd",2020-11-11,113,0.274
"Foard",2020-11-11,44,0.136
"Fort Bend",2020-11-11,20314,0.073
"Franklin",2020-11-11,205,0.166
"Freestone",2020-11-11,543,0.052
"Frio",2020-11-11,471,0.057
"Gaines",2020-11-11,181,0.254
"Galveston",2020-11-11,10620,0.071
"Garza",2020-11-11,109,0.211
"Gillespie",2020-11-11,391,0.123
"Glasscock",2020-11-11,NA,NA
"Goliad",2020-11-11,64,0.078
"Gonzales",2020-11-11,476,0.09
"Gray",2020-11-11,579,0.314
"Grayson",2020-11-11,5552,0.126
"Gregg",2020-11-11,3388,0.121
"Grimes",2020-11-11,922,0.066
"Guadalupe",2020-11-11,2319,0.072
"Hale",2020-11-11,546,0.216
"Hall",2020-11-11,113,0.363
"Hamilton",2020-11-11,328,0.076
"Hansford",2020-11-11,51,0.294
"Hardeman",2020-11-11,65,0.231
"Hardin",2020-11-11,543,0.116
"Harris",2020-11-11,132102,0.08
"Harrison",2020-11-11,1182,0.107
"Hartley",2020-11-11,NA,NA
"Haskell",2020-11-11,27,0.111
"Hays",2020-11-11,9826,0.062
"Hemphill",2020-11-11,110,0.036
"Henderson",2020-11-11,1252,0.169
"Hidalgo",2020-11-11,18389,0.111
"Hill",2020-11-11,1752,0.114
"Hockley",2020-11-11,543,0.295
"Hood",2020-11-11,1514,0.102
"Hopkins",2020-11-11,1044,0.094
"Houston",2020-11-11,501,0.05
"Howard",2020-11-11,652,0.069
"Hudspeth",2020-11-11,290,0.159
"Hunt",2020-11-11,1723,0.109
"Hutchinson",2020-11-11,695,0.378
"Irion",2020-11-11,NA,NA
"Jack",2020-11-11,165,0.188
"Jackson",2020-11-11,224,0.188
"Jasper",2020-11-11,361,0.047
"Jeff Davis",2020-11-11,145,0.103
"Jefferson",2020-11-11,6551,0.084
"Jim Hogg",2020-11-11,1026,0.026
"Jim Wells",2020-11-11,2377,0.107
