"County","Date","Tests","TPR_CMS"
"Anderson",2020-12-23,2776,0.165
"Andrews",2020-12-23,161,0.28
"Angelina",2020-12-23,5699,0.145
"Aransas",2020-12-23,424,0.12
"Archer",2020-12-23,184,0.332
"Armstrong",2020-12-23,41,0.049
"Atascosa",2020-12-23,2270,0.222
"Austin",2020-12-23,1285,0.144
"Bailey",2020-12-23,34,0.029
"Bandera",2020-12-23,498,0.221
"Bastrop",2020-12-23,3732,0.112
"Baylor",2020-12-23,92,0.152
"Bee",2020-12-23,1129,0.167
"Bell",2020-12-23,20881,0.136
"Bexar",2020-12-23,92285,0.16
"Blanco",2020-12-23,491,0.102
"Borden",2020-12-23,NA,NA
"Bosque",2020-12-23,729,0.147
"Bowie",2020-12-23,2449,0.145
"Brazoria",2020-12-23,16877,0.148
"Brazos",2020-12-23,18165,0.112
"Brewster",2020-12-23,682,0.111
"Briscoe",2020-12-23,38,0.184
"Brooks",2020-12-23,732,0.064
"Brown",2020-12-23,1077,0.216
"Burleson",2020-12-23,1304,0.142
"Burnet",2020-12-23,2772,0.114
"Caldwell",2020-12-23,2951,0.185
"Calhoun",2020-12-23,783,0.087
"Callahan",2020-12-23,444,0.124
"Cameron",2020-12-23,11588,0.158
"Camp",2020-12-23,364,0.266
"Carson",2020-12-23,95,0.263
"Cass",2020-12-23,661,0.121
"Castro",2020-12-23,109,0.294
"Chambers",2020-12-23,1177,0.12
"Cherokee",2020-12-23,1802,0.121
"Childress",2020-12-23,292,0.349
"Clay",2020-12-23,288,0.253
"Cochran",2020-12-23,35,0.2
"Coke",2020-12-23,88,0.182
"Coleman",2020-12-23,253,0.304
"Collin",2020-12-23,74258,0.115
"Collingsworth",2020-12-23,79,0.342
"Colorado",2020-12-23,488,0.191
"Comal",2020-12-23,6701,0.15
"Comanche",2020-12-23,396,0.245
"Concho",2020-12-23,50,0.04
"Cooke",2020-12-23,1615,0.201
"Coryell",2020-12-23,4366,0.123
"Cottle",2020-12-23,36,0.389
"Crane",2020-12-23,247,0.053
"Crockett",2020-12-23,34,0.147
"Crosby",2020-12-23,131,0.176
"Culberson",2020-12-23,183,0.219
"Dallam",2020-12-23,75,0.027
"Dallas",2020-12-23,125599,0.159
"Dawson",2020-12-23,168,0.065
"DeWitt",2020-12-23,294,0.228
"Deaf Smith",2020-12-23,95,0.242
"Delta",2020-12-23,147,0.163
"Denton",2020-12-23,43793,0.137
"Dickens",2020-12-23,24,0.125
"Dimmit",2020-12-23,948,0.179
"Donley",2020-12-23,62,0.145
"Duval",2020-12-23,939,0.086
"Eastland",2020-12-23,313,0.268
"Ector",2020-12-23,3366,0.222
"Edwards",2020-12-23,57,0.298
"El Paso",2020-12-23,35888,0.109
"Ellis",2020-12-23,10856,0.186
"Erath",2020-12-23,1113,0.226
"Falls",2020-12-23,1016,0.196
"Fannin",2020-12-23,1730,0.16
"Fayette",2020-12-23,651,0.167
"Fisher",2020-12-23,110,0.227
"Floyd",2020-12-23,92,0.207
"Foard",2020-12-23,NA,NA
"Fort Bend",2020-12-23,39368,0.117
"Franklin",2020-12-23,230,0.187
"Freestone",2020-12-23,1059,0.048
"Frio",2020-12-23,580,0.179
"Gaines",2020-12-23,151,0.192
"Galveston",2020-12-23,18799,0.143
"Garza",2020-12-23,51,0.216
"Gillespie",2020-12-23,1668,0.187
"Glasscock",2020-12-23,NA,NA
"Goliad",2020-12-23,106,0.16
"Gonzales",2020-12-23,955,0.169
"Gray",2020-12-23,333,0.234
"Grayson",2020-12-23,6198,0.176
"Gregg",2020-12-23,4857,0.154
"Grimes",2020-12-23,2370,0.174
"Guadalupe",2020-12-23,4732,0.153
"Hale",2020-12-23,625,0.179
"Hall",2020-12-23,97,0.351
"Hamilton",2020-12-23,319,0.047
"Hansford",2020-12-23,46,0.326
"Hardeman",2020-12-23,43,0.116
"Hardin",2020-12-23,1531,0.115
"Harris",2020-12-23,221957,0.125
"Harrison",2020-12-23,1903,0.155
"Hartley",2020-12-23,NA,NA
"Haskell",2020-12-23,108,0.046
"Hays",2020-12-23,16286,0.109
"Hemphill",2020-12-23,NA,NA
"Henderson",2020-12-23,2110,0.203
"Hidalgo",2020-12-23,20508,0.152
"Hill",2020-12-23,2883,0.189
"Hockley",2020-12-23,421,0.242
"Hood",2020-12-23,1940,0.236
"Hopkins",2020-12-23,1035,0.131
"Houston",2020-12-23,600,0.155
"Howard",2020-12-23,1153,0.106
"Hudspeth",2020-12-23,176,0.233
"Hunt",2020-12-23,2851,0.163
"Hutchinson",2020-12-23,475,0.211
"Irion",2020-12-23,24,0.167
"Jack",2020-12-23,149,0.174
"Jackson",2020-12-23,263,0.243
"Jasper",2020-12-23,895,0.142
"Jeff Davis",2020-12-23,183,0.066
"Jefferson",2020-12-23,7863,0.174
"Jim Hogg",2020-12-23,518,0.058
"Jim Wells",2020-12-23,1892,0.103
"Johnson",2020-12-23,7007,0.221
"Jones",2020-12-23,377,0.186
"Karnes",2020-12-23,837,0.205
"Kaufman",2020-12-23,6575,0.181
"Kendall",2020-12-23,1355,0.153
"Kenedy",2020-12-23,NA,NA
"Kent",2020-12-23,NA,NA
"Kerr",2020-12-23,2217,0.117
"Kimble",2020-12-23,53,0.17
"King",2020-12-23,NA,NA
"Kinney",2020-12-23,211,0.095
"Kleberg",2020-12-23,1370,0.086
"Knox",2020-12-23,NA,NA
"La Salle",2020-12-23,469,0.313
"Lamar",2020-12-23,1628,0.138
"Lamb",2020-12-23,376,0.295
"Lampasas",2020-12-23,1077,0.141
"Lavaca",2020-12-23,350,0.2
"Lee",2020-12-23,1033,0.103
"Leon",2020-12-23,887,0.245
"Liberty",2020-12-23,2945,0.15
"Limestone",2020-12-23,3345,0.068
"Lipscomb",2020-12-23,NA,NA
"Live Oak",2020-12-23,577,0.248
"Llano",2020-12-23,1215,0.099
"Loving",2020-12-23,NA,NA
"Lubbock",2020-12-23,9407,0.126
"Lynn",2020-12-23,167,0.251
"Madison",2020-12-23,500,0.15
"Marion",2020-12-23,226,0.19
"Martin",2020-12-23,93,0.215
"Mason",2020-12-23,191,0.152
"Matagorda",2020-12-23,1688,0.138
"Maverick",2020-12-23,4011,0.19
"McCulloch",2020-12-23,120,0.15
"McLennan",2020-12-23,14748,0.15
"McMullen",2020-12-23,36,0.278
"Medina",2020-12-23,1304,0.156
"Menard",2020-12-23,72,0.069
"Midland",2020-12-23,2751,0.157
"Milam",2020-12-23,1020,0.114
"Mills",2020-12-23,169,0.142
"Mitchell",2020-12-23,173,0.237
"Montague",2020-12-23,691,0.172
"Montgomery",2020-12-23,23337,0.153
"Moore",2020-12-23,213,0.146
"Morris",2020-12-23,285,0.214
"Motley",2020-12-23,NA,NA
"Nacogdoches",2020-12-23,2312,0.144
"Navarro",2020-12-23,1993,0.122
"Newton",2020-12-23,178,0.129
"Nolan",2020-12-23,583,0.293
"Nueces",2020-12-23,11988,0.097
"Ochiltree",2020-12-23,21,0.286
"Oldham",2020-12-23,35,0.257
"Orange",2020-12-23,1954,0.121
"Palo Pinto",2020-12-23,549,0.189
"Panola",2020-12-23,427,0.272
"Parker",2020-12-23,4665,0.209
"Parmer",2020-12-23,41,0.171
"Pecos",2020-12-23,567,0.129
"Polk",2020-12-23,1210,0.128
"Potter",2020-12-23,2340,0.103
"Presidio",2020-12-23,801,0.074
"Rains",2020-12-23,203,0.202
"Randall",2020-12-23,1904,0.115
"Reagan",2020-12-23,32,0.125
"Real",2020-12-23,205,0.317
"Red River",2020-12-23,435,0.08
"Reeves",2020-12-23,184,0.136
"Refugio",2020-12-23,170,0.2
"Roberts",2020-12-23,NA,NA
"Robertson",2020-12-23,926,0.221
"Rockwall",2020-12-23,6678,0.141
"Runnels",2020-12-23,305,0.177
"Rusk",2020-12-23,920,0.245
"Sabine",2020-12-23,309,0.233
"San Augustine",2020-12-23,406,0.099
"San Jacinto",2020-12-23,473,0.129
"San Patricio",2020-12-23,1606,0.157
"San Saba",2020-12-23,133,0.158
"Schleicher",2020-12-23,50,0.2
"Scurry",2020-12-23,1290,0.172
"Shackelford",2020-12-23,44,0.114
"Shelby",2020-12-23,473,0.15
"Sherman",2020-12-23,NA,NA
"Smith",2020-12-23,10257,0.14
"Somervell",2020-12-23,430,0.126
"Starr",2020-12-23,2790,0.188
"Stephens",2020-12-23,143,0.203
"Sterling",2020-12-23,NA,NA
"Stonewall",2020-12-23,NA,NA
"Sutton",2020-12-23,75,0.253
"Swisher",2020-12-23,124,0.185
"Tarrant",2020-12-23,109442,0.183
"Taylor",2020-12-23,5305,0.086
"Terrell",2020-12-23,31,0.452
"Terry",2020-12-23,97,0.196
"Throckmorton",2020-12-23,NA,NA
"Titus",2020-12-23,1520,0.138
"Tom Green",2020-12-23,4445,0.109
"Travis",2020-12-23,71159,0.083
"Trinity",2020-12-23,776,0.082
"Tyler",2020-12-23,567,0.155
"Upshur",2020-12-23,862,0.145
"Upton",2020-12-23,35,0.171
"Uvalde",2020-12-23,2055,0.161
"Val Verde",2020-12-23,3406,0.147
"Van Zandt",2020-12-23,1164,0.223
"Victoria",2020-12-23,1520,0.135
"Walker",2020-12-23,3717,0.105
"Waller",2020-12-23,2213,0.16
"Ward",2020-12-23,278,0.094
"Washington",2020-12-23,3942,0.121
"Webb",2020-12-23,23208,0.184
"Wharton",2020-12-23,1434,0.158
"Wheeler",2020-12-23,48,0.354
"Wichita",2020-12-23,6281,0.226
"Wilbarger",2020-12-23,383,0.269
"Willacy",2020-12-23,1362,0.096
"Williamson",2020-12-23,31254,0.106
"Wilson",2020-12-23,2065,0.158
"Winkler",2020-12-23,79,0.291
"Wise",2020-12-23,2982,0.184
"Wood",2020-12-23,1154,0.185
"Yoakum",2020-12-23,92,0.12
"Young",2020-12-23,274,0.113
"Zapata",2020-12-23,1248,0.142
"Zavala",2020-12-23,500,0.176
