"County","Date","Tests","TPR_CMS"
"Anderson",2020-10-14,855,0.103
"Andrews",2020-10-14,251,0.131
"Angelina",2020-10-14,1573,0.028
"Aransas",2020-10-14,184,0.038
"Archer",2020-10-14,162,0.123
"Armstrong",2020-10-14,36,0.083
"Atascosa",2020-10-14,1265,0.022
"Austin",2020-10-14,582,0.022
"Bailey",2020-10-14,83,0.253
"Bandera",2020-10-14,271,0.022
"Bastrop",2020-10-14,1605,0.037
"Baylor",2020-10-14,143,0.091
"Bee",2020-10-14,346,0.098
"Bell",2020-10-14,16938,0.028
"Bexar",2020-10-14,42983,0.056
"Blanco",2020-10-14,259,0.031
"Borden",2020-10-14,NA,NA
"Bosque",2020-10-14,621,0.071
"Bowie",2020-10-14,1851,0.138
"Brazoria",2020-10-14,8903,0.045
"Brazos",2020-10-14,11810,0.043
"Brewster",2020-10-14,896,0.045
"Briscoe",2020-10-14,25,0.12
"Brooks",2020-10-14,979,0.056
"Brown",2020-10-14,463,0.06
"Burleson",2020-10-14,791,0.083
"Burnet",2020-10-14,1589,0.058
"Caldwell",2020-10-14,581,0.077
"Calhoun",2020-10-14,366,0.079
"Callahan",2020-10-14,155,0.065
"Cameron",2020-10-14,7498,0.099
"Camp",2020-10-14,166,0.072
"Carson",2020-10-14,66,0.212
"Cass",2020-10-14,803,0.117
"Castro",2020-10-14,88,0.102
"Chambers",2020-10-14,769,0.069
"Cherokee",2020-10-14,724,0.037
"Childress",2020-10-14,93,0.301
"Clay",2020-10-14,157,0.102
"Cochran",2020-10-14,51,0.314
"Coke",2020-10-14,161,0.292
"Coleman",2020-10-14,86,0.058
"Collin",2020-10-14,28413,0.055
"Collingsworth",2020-10-14,26,0.077
"Colorado",2020-10-14,381,0.024
"Comal",2020-10-14,2409,0.039
"Comanche",2020-10-14,314,0.092
"Concho",2020-10-14,52,0.096
"Cooke",2020-10-14,962,0.07
"Coryell",2020-10-14,3195,0.026
"Cottle",2020-10-14,42,0.238
"Crane",2020-10-14,235,0.009
"Crockett",2020-10-14,22,0.091
"Crosby",2020-10-14,157,0.146
"Culberson",2020-10-14,88,0.284
"Dallam",2020-10-14,28,0.107
"Dallas",2020-10-14,71659,0.087
"Dawson",2020-10-14,565,0.209
"DeWitt",2020-10-14,200,0.115
"Deaf Smith",2020-10-14,162,0.111
"Delta",2020-10-14,92,0.065
"Denton",2020-10-14,21683,0.065
"Dickens",2020-10-14,29,0
"Dimmit",2020-10-14,288,0.073
"Donley",2020-10-14,49,0.306
"Duval",2020-10-14,704,0.095
"Eastland",2020-10-14,253,0.119
"Ector",2020-10-14,1893,0.138
"Edwards",2020-10-14,23,0
"El Paso",2020-10-14,36198,0.156
"Ellis",2020-10-14,5038,0.082
"Erath",2020-10-14,629,0.13
"Falls",2020-10-14,970,0.094
"Fannin",2020-10-14,796,0.099
"Fayette",2020-10-14,452,0.033
"Fisher",2020-10-14,33,0.242
"Floyd",2020-10-14,98,0.143
"Foard",2020-10-14,NA,NA
"Fort Bend",2020-10-14,17412,0.042
"Franklin",2020-10-14,217,0.106
"Freestone",2020-10-14,484,0.029
"Frio",2020-10-14,359,0.053
"Gaines",2020-10-14,209,0.158
"Galveston",2020-10-14,10231,0.033
"Garza",2020-10-14,42,0.238
"Gillespie",2020-10-14,521,0.056
"Glasscock",2020-10-14,NA,NA
"Goliad",2020-10-14,84,0.036
"Gonzales",2020-10-14,428,0.061
"Gray",2020-10-14,378,0.19
"Grayson",2020-10-14,3488,0.072
"Gregg",2020-10-14,2964,0.076
"Grimes",2020-10-14,1031,0.052
"Guadalupe",2020-10-14,2021,0.053
"Hale",2020-10-14,545,0.183
"Hall",2020-10-14,23,0.478
"Hamilton",2020-10-14,221,0.072
"Hansford",2020-10-14,63,0.317
"Hardeman",2020-10-14,73,0.466
"Hardin",2020-10-14,661,0.079
"Harris",2020-10-14,116806,0.054
"Harrison",2020-10-14,1448,0.085
"Hartley",2020-10-14,NA,NA
"Haskell",2020-10-14,54,0.056
"Hays",2020-10-14,6720,0.036
"Hemphill",2020-10-14,80,0.012
"Henderson",2020-10-14,1197,0.135
"Hidalgo",2020-10-14,17105,0.101
"Hill",2020-10-14,1624,0.052
"Hockley",2020-10-14,490,0.192
"Hood",2020-10-14,1109,0.115
"Hopkins",2020-10-14,1031,0.09
"Houston",2020-10-14,340,0.065
"Howard",2020-10-14,706,0.18
"Hudspeth",2020-10-14,87,0.115
"Hunt",2020-10-14,1268,0.055
"Hutchinson",2020-10-14,455,0.266
"Irion",2020-10-14,NA,NA
"Jack",2020-10-14,53,0.057
"Jackson",2020-10-14,206,0.068
"Jasper",2020-10-14,748,0.043
"Jeff Davis",2020-10-14,111,0.018
"Jefferson",2020-10-14,4949,0.059
