"County","Date","TPR_CMS"
"Randall",2020-08-26,0.106
"Reagan",2020-08-26,0.071
"Real",2020-08-26,NA
"Red River",2020-08-26,0.008
"Reeves",2020-08-26,0.059
"Refugio",2020-08-26,0.243
"Roberts",2020-08-26,NA
"Robertson",2020-08-26,0.096
"Rockwall",2020-08-26,0.059
"Runnels",2020-08-26,0.123
"Rusk",2020-08-26,0.256
"Sabine",2020-08-26,0.029
"San Augustine",2020-08-26,0.357
"San Jacinto",2020-08-26,0.081
"San Patricio",2020-08-26,0.188
"San Saba",2020-08-26,0.105
"Schleicher",2020-08-26,NA
"Scurry",2020-08-26,NA
"Shackelford",2020-08-26,NA
"Shelby",2020-08-26,0.212
"Sherman",2020-08-26,NA
"Smith",2020-08-26,0.184
"Somervell",2020-08-26,0.091
"Starr",2020-08-26,0.172
"Stephens",2020-08-26,0.182
"Sterling",2020-08-26,NA
"Stonewall",2020-08-26,NA
"Sutton",2020-08-26,0.172
"Swisher",2020-08-26,0.206
"Tarrant",2020-08-26,0.086
"Taylor",2020-08-26,0.118
"Terrell",2020-08-26,NA
"Terry",2020-08-26,0.167
"Throckmorton",2020-08-26,NA
"Titus",2020-08-26,0.037
"Tom Green",2020-08-26,0.147
"Travis",2020-08-26,0.063
"Trinity",2020-08-26,0.104
"Tyler",2020-08-26,0.343
"Upshur",2020-08-26,0.142
"Upton",2020-08-26,0.071
"Uvalde",2020-08-26,0.231
"Val Verde",2020-08-26,0.289
"Van Zandt",2020-08-26,0.067
"Victoria",2020-08-26,0.19
"Walker",2020-08-26,0.147
"Waller",2020-08-26,0.086
"Ward",2020-08-26,0.062
"Washington",2020-08-26,0.021
"Webb",2020-08-26,0.183
"Wharton",2020-08-26,0.089
"Wheeler",2020-08-26,0.05
"Wichita",2020-08-26,0.047
"Wilbarger",2020-08-26,0.205
"Willacy",2020-08-26,0.226
"Williamson",2020-08-26,0.057
"Wilson",2020-08-26,0.101
"Winkler",2020-08-26,NA
"Wise",2020-08-26,0.044
"Wood",2020-08-26,0.254
"Yoakum",2020-08-26,NA
"Young",2020-08-26,0.048
"Zapata",2020-08-26,0.164
"Zavala",2020-08-26,0.351
