"County","current_ratio","current_ratio_cat"
"San Patricio",NA,NA
"San Saba",NA,NA
"Schleicher",NA,NA
"Scurry",NA,NA
"Shackelford",NA,NA
"Shelby",1.41176470588235,"(1.1,1.5]"
"Sherman",NA,NA
"Smith",1.4375,"(1.1,1.5]"
"Somervell",NA,NA
"Starr",2.98507462686567,"(2,4]"
"Stephens",NA,NA
"Sterling",NA,NA
"Stonewall",NA,NA
"Sutton",NA,NA
"Swisher",NA,NA
"Tarrant",1.36908783783784,"(1.1,1.5]"
"Taylor",NA,NA
"Terrell",NA,NA
"Terry",NA,NA
"Throckmorton",NA,NA
"Titus",0.318181818181818,"(0,0.5]"
"Tom Green",3.44,"(2,4]"
"Travis",1.96344339622642,"(1.5,2]"
"Trinity",NA,NA
"Tyler",NA,NA
"Upshur",NA,NA
"Upton",NA,NA
"Uvalde",NA,NA
"Val Verde",NA,NA
"Van Zandt",NA,NA
"Victoria",1.44827586206897,"(1.1,1.5]"
"Walker",1.25925925925926,"(1.1,1.5]"
"Waller",1.33333333333333,"(1.1,1.5]"
"Ward",NA,NA
"Washington",1.54545454545455,"(1.5,2]"
"Webb",3.1358024691358,"(2,4]"
"Wharton",1.33333333333333,"(1.1,1.5]"
"Wheeler",NA,NA
"Wichita",5.83333333333333,"(4,8]"
"Wilbarger",NA,NA
"Willacy",1.54545454545455,"(1.5,2]"
"Williamson",2.03286384976526,"(2,4]"
"Wilson",NA,NA
"Winkler",NA,NA
"Wise",NA,NA
"Wood",NA,NA
"Yoakum",NA,NA
"Young",NA,NA
"Zapata",NA,NA
"Zavala",NA,NA
