County,Date,cases_daily,deaths_daily
Randall,2020-10-12,53,
Randall,2020-10-13,123,
Randall,2020-10-14,132,
Randall,2020-10-15,137,
Randall,2020-10-16,126,
Randall,2020-10-17,113,
Randall,2020-10-18,76,
Randall,2020-10-19,61,
Randall,2020-10-20,208,
Randall,2020-10-21,186,
Randall,2020-10-22,176,
Randall,2020-10-23,167,
Randall,2020-10-24,146,
Randall,2020-10-25,80,
Randall,2020-10-26,58,
Randall,2020-10-27,177,
Randall,2020-10-28,132,
Randall,2020-10-29,100,
Randall,2020-10-30,175,
Randall,2020-10-31,188,
Randall,2020-11-01,112,
Randall,2020-11-02,86,69
Randall,2020-11-03,263,
Randall,2020-11-04,197,
Randall,2020-11-05,263,
Randall,2020-11-06,232,
Randall,2020-11-07,190,
Randall,2020-11-08,102,
Randall,2020-11-09,129,
Randall,2020-11-10,300,
Randall,2020-11-11,233,
Randall,2020-11-12,224,
Randall,2020-11-13,196,
Randall,2020-11-14,189,
Randall,2020-11-15,81,
Randall,2020-11-16,95,
Randall,2020-11-17,311,
Randall,2020-11-18,231,
Randall,2020-11-19,249,
Randall,2020-11-20,193,
Randall,2020-11-21,178,
Randall,2020-11-22,107,
Randall,2020-11-23,108,
Randall,2020-11-24,219,
Randall,2020-11-25,218,
Randall,2020-11-26,157,
Randall,2020-11-27,35,
Randall,2020-11-28,150,
Randall,2020-11-29,108,
Randall,2020-11-30,94,
Randall,2020-12-01,248,
Randall,2020-12-02,161,65
Randall,2020-12-03,129,
Randall,2020-12-04,100,
Randall,2020-12-05,86,
Randall,2020-12-06,56,
Randall,2020-12-07,44,
Randall,2020-12-08,134,
Randall,2020-12-09,74,
Randall,2020-12-10,84,
Randall,2020-12-11,71,
Randall,2020-12-12,71,
Randall,2020-12-13,45,
Randall,2020-12-14,37,
Randall,2020-12-15,88,
Randall,2020-12-16,73,
Randall,2020-12-17,75,
Randall,2020-12-18,79,
Randall,2020-12-19,67,
Randall,2020-12-20,50,
Randall,2020-12-21,41,
Randall,2020-12-22,111,
Randall,2020-12-23,68,
Randall,2020-12-24,84,
Randall,2020-12-25,46,
Randall,2020-12-26,26,
Randall,2020-12-27,94,
Randall,2020-12-28,55,
Randall,2020-12-29,126,
Randall,2020-12-30,99,
Randall,2020-12-31,96,
Randall,2021-01-01,88,
Randall,2021-01-02,45,61
Randall,2021-01-03,61,
Randall,2021-01-04,56,
Randall,2021-01-05,115,
Randall,2021-01-06,105,
Randall,2021-01-07,85,
Randall,2021-01-08,72,
Randall,2021-01-09,77,
Randall,2021-01-10,32,
Randall,2021-01-11,28,
Randall,2021-01-12,86,
Randall,2021-01-13,79,
Randall,2021-01-14,62,
Randall,2021-01-15,67,
Randall,2021-01-16,54,
Randall,2021-01-17,21,
Randall,2021-01-18,16,
Randall,2021-01-19,51,
Randall,2021-01-20,65,
Randall,2021-01-21,56,
Randall,2021-01-22,56,
Randall,2021-01-23,43,
Randall,2021-01-24,22,
Randall,2021-01-25,22,
Randall,2021-01-26,45,
Randall,2021-01-27,38,
Randall,2021-01-28,29,
Randall,2021-01-29,31,
Randall,2021-01-30,32,
Randall,2021-01-31,14,
Randall,2021-02-01,19,
Randall,2021-02-02,24,10
Randall,2021-02-03,22,
Randall,2021-02-04,29,
Randall,2021-02-05,22,
Randall,2021-02-06,11,
Randall,2021-02-07,11,
Randall,2021-02-08,10,
Randall,2021-02-09,18,
Randall,2021-02-10,28,
Randall,2021-02-11,24,
Randall,2021-02-12,18,
Randall,2021-02-13,12,
Randall,2021-02-14,8,
Randall,2021-02-15,4,
Randall,2021-02-16,11,
Randall,2021-02-17,8,
Randall,2021-02-18,10,
Randall,2021-02-19,13,
Randall,2021-02-20,13,
Randall,2021-02-21,5,
Randall,2021-02-22,6,
Randall,2021-02-23,9,
Randall,2021-02-24,10,
Randall,2021-02-25,12,
Randall,2021-02-26,7,
Randall,2021-02-27,9,
Randall,2021-02-28,2,
Randall,2021-03-01,3,
Randall,2021-03-02,5,3
Randall,2021-03-03,4,
Randall,2021-03-04,6,
Randall,2021-03-05,2,
Randall,2021-03-06,4,
Randall,2021-03-07,1,
Randall,2021-03-08,2,
Randall,2021-03-09,8,
Randall,2021-03-10,5,
