County,Date,Cases_Cumulative
Llano,9/11/20,107
Loving,9/11/20,0
Lubbock,9/11/20,"9,402"
Lynn,9/11/20,89
Madison,9/11/20,702
Marion,9/11/20,147
Martin,9/11/20,75
Mason,9/11/20,76
Matagorda,9/11/20,973
Maverick,9/11/20,"3,499"
McCulloch,9/11/20,129
McLennan,9/11/20,"6,991"
McMullen,9/11/20,19
Medina,9/11/20,"1,151"
Menard,9/11/20,23
Midland,9/11/20,"3,421"
Milam,9/11/20,462
Mills,9/11/20,42
Mitchell,9/11/20,80
Montague,9/11/20,157
Montgomery,9/11/20,"9,586"
Moore,9/11/20,"1,132"
Morris,9/11/20,173
Motley,9/11/20,7
Nacogdoches,9/11/20,"1,444"
Navarro,9/11/20,"1,180"
Newton,9/11/20,164
Nolan,9/11/20,183
Nueces,9/11/20,"15,335"
Ochiltree,9/11/20,114
Oldham,9/11/20,15
Orange,9/11/20,"1,801"
Palo Pinto,9/11/20,468
Panola,9/11/20,345
Parker,9/11/20,"1,735"
Parmer,9/11/20,402
Pecos,9/11/20,343
Polk,9/11/20,811
Potter,9/11/20,"4,244"
Presidio,9/11/20,91
Rains,9/11/20,60
Randall,9/11/20,"2,395"
Reagan,9/11/20,86
Real,9/11/20,105
Red River,9/11/20,155
Reeves,9/11/20,182
Refugio,9/11/20,301
Roberts,9/11/20,9
Robertson,9/11/20,270
Rockwall,9/11/20,"1,443"
Runnels,9/11/20,226
Rusk,9/11/20,790
Sabine,9/11/20,75
San Augustine,9/11/20,197
San Jacinto,9/11/20,215
San Patricio,9/11/20,"1,372"
San Saba,9/11/20,42
Schleicher,9/11/20,51
Scurry,9/11/20,578
Shackelford,9/11/20,23
Shelby,9/11/20,455
Sherman,9/11/20,57
Smith,9/11/20,"3,471"
Somervell,9/11/20,132
Starr,9/11/20,"3,235"
Stephens,9/11/20,126
Sterling,9/11/20,4
Stonewall,9/11/20,9
Sutton,9/11/20,78
Swisher,9/11/20,96
Tarrant,9/11/20,"40,950"
Taylor,9/11/20,"1,386"
Terrell,9/11/20,3
Terry,9/11/20,215
Throckmorton,9/11/20,6
Titus,9/11/20,"1,406"
Tom Green,9/11/20,"2,108"
Travis,9/11/20,"27,424"
Trinity,9/11/20,187
Tyler,9/11/20,192
Upshur,9/11/20,353
Upton,9/11/20,21
Uvalde,9/11/20,729
Val Verde,9/11/20,"1,957"
Van Zandt,9/11/20,539
Victoria,9/11/20,"3,931"
Walker,9/11/20,"3,416"
Waller,9/11/20,752
Ward,9/11/20,115
Washington,9/11/20,593
Webb,9/11/20,"12,464"
Wharton,9/11/20,"1,259"
Wheeler,9/11/20,42
Wichita,9/11/20,"1,465"
Wilbarger,9/11/20,121
Willacy,9/11/20,"1,179"
Williamson,9/11/20,"8,125"
Wilson,9/11/20,565
Winkler,9/11/20,104
Wise,9/11/20,687
Wood,9/11/20,451
Yoakum,9/11/20,183
Young,9/11/20,243
Zapata,9/11/20,317
Zavala,9/11/20,275
