"Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
2020-04-22,"Raw",0,0,118.990991077195,33.1021195757324,204.879862578657,39.8013934547465,-199.504345962948,279.107132872441
2020-04-23,"Raw",0.685714285714289,-69.9954261320323,108.997307230731,26.4739428502945,191.520671611168,44.219543708996,-187.853867930977,276.292955348969
2020-04-24,"Raw",-1.48571428571429,271.01692331148,99.0332607843606,19.8229580724564,178.243563496265,48.6411137256604,-176.311546652819,273.593774104139
2020-04-25,"Raw",10.8571428571429,122.320475682269,89.1284891381756,13.1696091632188,165.087369113132,53.0695232671548,-164.888726416159,271.027772950468
2020-04-26,"Raw",-1.6,-59.871931696905,79.3126296922692,6.53377360706649,152.091485777472,57.5081920958943,-153.597179594569,268.613563786357
2020-04-27,"Raw",-23.6571428571429,35.0815673120903,69.6153198467343,-0.0652839366338895,139.295923630102,61.9605399742939,-142.449089892027,266.370169840615
2020-04-28,"Raw",0.114285714285711,-48.6354627229761,60.0661970016633,-6.60894956758398,126.741343570911,66.4299866647684,-131.457019691,264.316993020537
2020-04-29,"Raw",1.37142857142858,123.509681353865,50.6948985571496,-13.0792821283186,114.469079242618,70.9199519297329,-120.633856951576,262.473760811042
2020-04-30,"Raw",18.4,60.1311175484068,41.5310619132858,-19.4590087527935,102.521132579365,75.4338555316024,-109.992736451029,260.860447514234
2020-05-01,"Raw",31.6571428571429,-109.650861411801,32.6043244701647,-25.731479974593,90.9401289149223,79.9751172327919,-99.5469296339619,259.497164099546
2020-05-02,"Raw",48,63.7292270163135,23.9443236278792,-31.8805666862839,79.7692139420423,84.5471567957163,-89.3096971054456,258.404010696878
2020-05-03,"Raw",17.6,-89.7697819789602,15.5806967865222,-37.8904781140045,69.0518716870489,89.1533939827908,-79.2940980314919,257.600885997074
2020-05-04,"Raw",-10.0571428571429,124.85134929105,7.54308134618645,-43.7454787489266,58.8316414412995,93.7972485564304,-69.5127516397567,257.107248752618
2020-05-05,"Raw",19.5428571428572,-100,-0.138885293035059,-49.4294848181106,49.1517142320405,98.48214027905,-59.9775478816832,256.941828439783
2020-05-06,"Raw",20.6857142857143,194.435127305992,-7.43556573104975,-54.9255297460808,40.0543982839813,103.211488913064,-50.6993073399364,257.122285166065
2020-05-07,"Raw",30.5142857142857,241.545967373075,-14.3173225677645,-60.2151051930582,31.5804600575293,107.988714220889,-41.6873947584166,257.664823200195
2020-05-08,"Raw",40,308.278701021497,-20.7545184030865,-65.2774100027611,23.768373196588,112.817235964939,-32.9492960643312,258.583767994209
2020-05-09,"Raw",42.9714285714286,234.959597499619,-26.7175158369231,-70.0885706876656,16.6535390138194,117.700473907628,-24.4901750887217,259.891122903978
2020-05-10,"Raw",15.5428571428571,266.504040250038,-32.1766774691813,-74.6209263243861,10.2675713860235,122.641847811373,-16.3124326732229,261.596128295969
2020-05-11,"Raw",14.4,201.860039640189,-37.1023658997682,-78.8424867390235,4.63775493948712,127.644777438588,-8.41529643980896,263.704851316984
2020-05-12,"Raw",35.3142857142857,403.68958682726,-41.4649437285911,-82.7166648615151,-0.213222595667084,132.712682551687,-0.794472948289894,266.219838051665
2020-05-13,"Raw",56.9142857142857,196.798292422625,-45.2347735555572,-86.2023478238566,-4.26719928725775,137.848982913087,6.55810593240534,269.139859893769
2020-05-14,"Raw",69.3714285714286,340.554962646745,-48.3822179805734,-89.2543135237615,-7.51012243738528,143.057098285202,13.6544146755695,272.459781894834
2020-05-15,"Raw",54.2857142857143,-1.15871321847842,-50.8776396035471,-91.823936845885,-9.93134236120923,148.340448430447,20.5103243231302,276.170572537763
2020-05-16,"Raw",106.4,197.697819789602,-52.6914010243854,-93.8600822998863,-11.5227197488845,153.702453111236,27.1454435776776,280.259462644795
2020-05-17,"Raw",-10.1714285714286,267.799969507547,-53.7938648429954,-95.3100607920874,-12.2776688939034,159.146532089986,33.582816522672,284.7102476573
2020-05-18,"Raw",3.88571428571429,337.917365452051,-54.1553936592842,-96.1205389568445,-12.1902483617238,164.676105129111,39.8484957456724,289.50371451255
2020-05-19,"Raw",39.8857142857143,411.266961427047,-53.746350073159,-96.2383208114251,-11.2543793348928,170.294591991026,45.9710200354738,294.618163946578
2020-05-20,"Raw",61.6,255.008385424607,-52.537096684527,-95.6109600565299,-9.46323331252421,176.005412438146,51.9808320315635,300.029992844728
2020-05-21,"Raw",22.4,192.315901814301,-50.4979960932954,-94.1871957525773,-6.80879643401351,181.811986232886,57.9096725916775,305.714299874094
2020-05-22,"Raw",51.5428571428571,159.460283579814,-47.5994108993713,-91.9172282477562,-3.28159355098629,187.717733137661,63.7899855739332,311.645480701389
2020-05-23,"Raw",21.2571428571429,-100,-43.8117037026618,-88.7528651190736,1.12945771374991,193.726072914886,69.6543603325423,317.797785497229
2020-05-24,"Raw",-4,399.908522640646,-39.1052371030741,-84.6475706812273,6.43709647507909,199.840425326976,75.535031000472,324.14581965348
2020-05-25,"Raw",-28.8,242.643695685318,-33.4503737005153,-79.5564505720244,12.6557031709938,206.064210136346,81.463443048678,330.664977224014
2020-05-26,"Raw",-27.8857142857143,197.697819789602,-26.8174760948927,-73.4361980022369,19.8012458124515,212.400847105411,87.4698898196885,337.331804391134
2020-05-27,"Raw",55.5428571428571,116.008537886873,-19.1769068861134,-66.2450225761688,27.891208803942,218.853755996586,93.5832154326363,344.124296560536
2020-05-28,"Raw",112.342857142857,275.484067693246,-10.4990286740844,-57.9425773832368,36.944520035068,225.426356572287,99.8305759073677,351.022137237205
2020-05-29,"Raw",40.6857142857143,154.413782588809,-0.754204058713043,-48.48989590101,46.9814877835839,232.122068594927,106.237247478223,358.00688971163
2020-05-30,"Raw",54.9714285714286,248.117091019973,10.0872043600936,-37.8493472927247,58.023756012912,238.944311826922,112.826469577547,365.062154076298
2020-05-31,"Raw",122.857142857143,14.5753925903339,22.0548339824282,-25.9846168725085,70.0942848373649,245.896506030687,119.61930949268,372.173702568695
2020-06-01,"Raw",-32.2285714285714,574.538801646592,35.178322208384,-12.8607177172417,83.2173621340096,252.982070968638,126.634535868455,379.329606068821
2020-06-02,"Raw",93.4857142857143,477.725262997408,49.485292618989,1.55374188871603,97.4168433492621,260.204228664559,133.888004478883,386.520452850234
2020-06-03,"Raw",94.9714285714286,-158.2405854551,64.95705095679,17.2377187101029,112.676383203477,267.561653153748,141.381914726881,393.741391580615
2020-06-04,"Raw",88.6857142857143,266.031407226711,81.5285851258515,34.1179417763084,128.939228475395,275.048470483018,149.105016608351,400.991924357686
2020-06-05,"Raw",94.5142857142857,86.7815215734106,99.1328692111736,52.1179161678938,146.147822254453,282.658608960551,157.043621281642,408.273596639461
2020-06-06,"Raw",122.514285714286,279.26513187986,117.702877297757,71.1602449767292,164.245509618784,290.38599689453,165.182394676391,415.589599112668
2020-06-07,"Raw",63.0857142857143,730.324744625705,137.171583470601,91.1667132095974,183.176453731604,298.224562593136,173.504637192211,422.94448799406
2020-06-08,"Raw",-27.0857142857143,119.134014331453,157.471961814706,112.058362910068,202.885560719343,306.168234364551,181.992542093292,430.34392663581
2020-06-09,"Raw",124,235.737155054124,178.536986415072,133.755568172446,223.318404657698,314.210940516958,190.627439184207,437.79444184971
2020-06-10,"Raw",190.285714285714,-100,200.299631356701,156.178118806209,244.421143907192,322.34660935854,199.390029382133,445.303189334946
2020-06-11,"Raw",109.942857142857,199.298673578289,222.692870724591,179.245321670491,266.14041977869,330.569169197477,208.260614750197,452.877723644757
2020-06-12,"Raw",140.114285714286,-75.3468516542156,245.649678603742,202.87612885946,288.423228348025,338.872548341953,217.219327414226,460.525769269679
2020-06-13,"Raw",167.428571428571,141.805153224577,269.103029079156,226.989301619658,311.216756538655,347.250675100149,226.246359539069,468.254990661229
2020-06-14,"Raw",110.628571428571,271.260862936423,292.985896235833,251.503617677074,334.468174794592,355.697477780248,235.322195190177,476.072760370319
2020-06-15,"Raw",43.4285714285714,251.760939167556,317.231254158771,276.338127067979,358.124381249564,364.206884690432,244.42784347076,483.985925910104
2020-06-16,"Raw",375.2,412.822076536057,341.772076932972,301.41245720353,382.131696662415,372.772824138883,253.545070851406,492.00057742636
2020-06-17,"Raw",259.542857142857,174.157645982619,366.541338643437,326.647161611989,406.435515674885,381.389224433784,262.656629174641,500.121819692927
2020-06-18,"Raw",302.628571428571,280.164659246836,391.472013375164,351.964098933588,430.979927816739,390.050013883315,271.746474526492,508.353553240139
2020-06-19,"Raw",296.8,472.58728464705,416.497075213154,377.286820295372,455.707330130936,398.749120795661,280.799971144683,516.698270446639
2020-06-20,"Raw",406.4,462.235096813539,441.549498242408,402.540935848695,480.55806063612,407.480473479003,289.804073905565,525.15687305244
2020-06-21,"Raw",341.828571428571,304.482390608324,466.562256547925,427.65442708889,505.47008600696,416.238000241522,298.747482808025,533.728517675019
2020-06-22,"Raw",274.857142857143,474.096661076384,491.468324214706,452.557872463635,530.378775965776,425.015629391402,307.620763319775,542.410495463029
2020-06-23,"Raw",532.685714285714,438.374752248818,516.20067532775,477.184560604099,555.216790051402,433.807289236824,316.416427475657,551.198150997991
2020-06-24,"Raw",534.971428571429,99.2986735782894,540.692283972059,501.47047760073,579.914090343388,442.606908085971,325.12897215236,560.084844019582
2020-06-25,"Raw",585.6,60.908675102912,564.876124232632,525.354169794981,604.398078670284,451.408414247025,333.754872851388,569.061955642662
2020-06-26,"Raw",554.285714285714,423.418203994511,588.68517019447,548.776498287394,628.593842101546,460.205736028168,342.292533409422,578.118938646913
2020-06-27,"Raw",557.485714285714,634.121055038878,612.052395942572,571.680312596751,652.424479288392,468.992801737582,350.742194101629,587.243409373535
2020-06-28,"Raw",513.257142857143,675.209635615185,634.910775561938,594.010076616406,675.811474507471,477.763539683449,359.105802394834,596.421276972065
2020-06-29,"Raw",390.171428571429,440.951364537277,657.19328313757,615.711479837435,698.675086437705,486.511878173952,367.386851968308,605.636904379596
2020-06-30,"Raw",697.6,417.091019972557,678.832892754467,636.731061872864,720.934723636069,495.231745517273,375.59019643738,614.873294597166
2020-07-01,"Raw",825.371428571429,528.937338008843,699.762578497629,657.015870590854,742.509286404405,503.917070021594,383.721844449615,624.112295593573
2020-07-02,"Raw",805.257142857143,555.191340143315,719.915314452057,676.513165692561,763.317463211553,512.561779995097,391.788742505136,633.334817485057
2020-07-03,"Raw",763.657142857143,584.753773441073,739.22407470275,695.170171922112,783.277977483388,521.159803745964,399.798551066351,642.521056425577
2020-07-04,"Raw",845.028571428571,568.089647812167,757.621833334709,712.933880144623,802.309786524796,529.705069582378,407.759418385404,651.650720779352
2020-07-05,"Raw",294.742857142857,577.298368653758,775.041564432935,729.750890505853,820.332238360016,538.191505812521,415.679755116893,660.703256508148
2020-07-06,"Raw",508.114285714286,580.896478121665,791.416242082426,745.567289585165,837.265194579687,546.613040744574,423.568011315491,669.658070173657
2020-07-07,"Raw",1046.28571428571,547.812166488794,806.678840368184,760.328552442745,853.029128293623,554.963602686721,431.432455935724,678.494749437717
2020-07-08,"Raw",1040.8,553.895410885806,820.762333375208,773.979460261982,867.545206488434,563.237119947143,439.28095751621,687.193282378076
2020-07-09,"Raw",1022.62857142857,820.872084159171,833.599695188499,786.464024465049,880.73536591195,571.427520834022,447.120763373328,695.734278294717
2020-07-10,"Raw",1020.8,642.75041927123,845.123899893057,797.725408384306,892.522391401808,579.528733655541,454.958273352396,704.099193958687
2020-07-11,"Raw",1083.77142857143,537.292270163135,855.267921573882,807.705837535794,902.830005611971,587.534686719882,462.79880296992,712.270570469845
2020-07-12,"Raw",837.371428571429,733.983838999847,863.964734315975,816.346489052713,911.582979579236,595.439308335228,470.64632959883,720.232287071625
2020-07-13,"Raw",546.285714285714,512.883061442293,871.166683116301,823.604598315292,918.728767917309,603.237038210044,478.501213517105,727.972862902983
2020-07-14,"Raw",1128.22857142857,559.216343954871,876.903596619692,829.505103620942,924.302089618443,610.924361653939,486.354016740046,735.494706567832
2020-07-15,"Raw",1133.71428571429,474.99618844336,881.224674382948,834.089001512377,928.360347253519,618.498275376805,494.191684065903,742.804866687706
2020-07-16,"Raw",1079.88571428571,124.256746455252,884.179115962865,837.396240147827,930.961991777903,625.955776088534,501.999821956998,749.91173022007
2020-07-17,"Raw",1072.34285714286,536.179295624333,885.816120916242,839.46582986768,932.166411964805,633.293860499018,509.762952301399,756.824768696638
2020-07-18,"Raw",1086.4,525.43070590029,886.184888799878,840.335932920953,932.033844678802,640.50952531815,517.464749231429,763.554301404872
2020-07-19,"Raw",737.371428571429,736.255526757128,885.334619170569,840.043941793683,930.625296547455,647.599767255822,525.088265348214,770.111269163431
2020-07-20,"Raw",748.571428571429,429.867357828937,883.314511585115,838.626555092955,928.002468077275,654.561583021926,532.616152520092,776.507013523761
2020-07-21,"Raw",985.257142857143,525.720384204909,880.173765600314,836.119859903915,924.227671296712,661.391969326355,540.030881208333,782.753057444378
2020-07-22,"Raw",1030.05714285714,345.098338161305,875.961580772963,832.559429741739,919.363731804187,668.087922879001,547.314960996598,788.860884761404
2020-07-23,"Raw",986.857142857143,362.036895868273,870.727156659861,827.980447397628,913.473865922094,674.646440389756,554.451163642895,794.841717136616
2020-07-24,"Raw",927.885714285714,428.739137063577,864.519692817806,822.417861777922,906.62152385769,681.064518568512,561.422748537179,800.706288599844
2020-07-25,"Raw",829.028571428571,340.47873151395,857.388388803596,815.906586824689,898.870190782503,687.339154125161,568.213688964431,806.464619285892
2020-07-26,"Raw",567.542857142857,487.452355542003,849.382444174029,808.481748304337,890.283140043721,693.467343769597,574.808896104011,812.125791435183
2020-07-27,"Raw",388.228571428571,541.393505107486,840.551058485904,800.17898022843,880.923136743377,699.446084211711,581.194436333985,817.697732089436
2020-07-28,"Raw",853.942857142857,186.674797987498,830.943431296018,791.034766719495,870.852095872541,705.272372161395,587.357736270892,823.187008051898
2020-07-29,"Raw",933.714285714286,291.828022564415,820.608762161169,781.086817486323,860.130706836016,710.943204328542,593.287769188027,828.598639469057
2020-07-30,"Raw",906.171428571429,570.224119530416,809.596250638157,770.374456601092,848.818044675222,716.455577423044,598.975216136442,833.935938709647
