"Metro_Area","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"Metro",2020-04-22,"Raw",0,0,120.756125266608,37.605512625284,203.906737907931,39.203414111582,-158.130632466415,236.537460689579
"Metro",2020-04-23,"Raw",-8.02005012531328,-49.653887113951,109.933828659561,30.1855473151017,189.68211000402,41.4139273113835,-148.836725544683,231.66458016745
"Metro",2020-04-24,"Raw",-5.26315789473685,180.497870074547,99.1438320140471,22.7418981929442,175.54576583515,43.6276174641482,-139.656761935472,226.911996863768
"Metro",2020-04-25,"Raw",10.5263157894737,83.4531416400426,88.4184352915981,15.2966591318399,161.540211451356,45.8476615228388,-130.606044881927,222.301367927605
"Metro",2020-04-26,"Raw",-7.76942355889725,-66.2406815761448,77.7899384537466,7.87126525786735,147.708611649626,48.0772364404186,-121.700722235944,217.855195116781
"Metro",2020-04-27,"Raw",-29.5739348370927,9.13205537806176,67.2906414620252,0.486438307484008,134.094844616566,50.3195191698506,-112.9578063992,213.596844738901
"Metro",2020-04-28,"Raw",-13.4085213032581,-53.1017039403621,56.9528442779663,-6.837856035534,120.743544591467,52.5776866640977,-104.39516822104,209.550541549236
"Metro",2020-04-29,"Raw",3.75939849624061,85.0505857294995,46.8088468631025,-14.0824283213086,107.700122047514,54.8549158761232,-96.0314929428703,205.741324695117
"Metro",2020-04-30,"Raw",6.14035087719298,31.6560170394036,36.8909491789661,-21.228848277484,95.0107466354162,57.1543837588899,-87.886183301721,202.194950819501
"Metro",2020-05-01,"Raw",23.5588972431078,-109.078807241747,27.23145118709,-28.2593708349798,82.7222732091598,59.479267265361,-79.9791920213619,198.937726552084
"Metro",2020-05-02,"Raw",48.8721804511278,35.8093716719915,17.8626528490063,-35.1567806170483,70.882086315061,61.8327433484995,-72.3307637345483,195.996250431547
"Metro",2020-05-03,"Raw",14.4110275689223,-93.3306709265176,8.81685412624785,-41.90412668816,59.5378349406557,64.2179889612684,-64.9610658372427,193.39704375978
"Metro",2020-05-04,"Raw",-6.39097744360902,81.5362087326944,0.126354980346918,-48.4843194319747,48.7370293926685,66.6381810566309,-57.8896901628909,191.166052276153
"Metro",2020-05-05,"Raw",9.27318295739348,-100,-8.17654462716397,-54.8795683621152,38.5264791077872,69.0964965875498,-51.1350141908017,189.328007365901
"Metro",2020-05-06,"Raw",19.2982456140351,139.470181043663,-16.0595447347521,-61.070656918177,28.9515674486728,71.5961125069883,-44.7134231494532,187.90564816343
"Metro",2020-05-07,"Raw",27.6942355889724,175.89190628328,-23.4903453808852,-67.0360799325213,20.0553891707509,74.1402057679094,-38.6384134715355,186.918825007354
"Metro",2020-05-08,"Raw",35.8395989974937,232.947284345048,-30.4366466040307,-72.7511095936495,11.877816385588,76.7319533232762,-32.9196226318171,186.38352927837
"Metro",2020-05-09,"Raw",47.9949874686717,161.594781682641,-36.866148442656,-78.1868980866899,4.4546012013779,79.3745321260517,-27.5618570946163,186.31092134672
"Metro",2020-05-10,"Raw",9.3984962406015,194.462193823216,-42.7465509352288,-83.3097548092897,-2.18334706116779,82.0711191291988,-22.5642129623195,186.706451220717
"Metro",2020-05-11,"Raw",23.3082706766917,149.733759318424,-48.0455541202163,-88.0807362275965,-8.0103720128361,84.8248912856807,-17.919395356375,187.569177927736
"Metro",2020-05-12,"Raw",26.9423558897243,316.999467518637,-52.7308580360861,-92.4556470048551,-13.0060690673171,87.6390255484606,-13.6133356965552,188.891386793476
"Metro",2020-05-13,"Raw",45.9899749373434,148.056443024494,-56.7701627213059,-96.3854774559324,-17.1548479866793,90.5166988705013,-9.62517786752838,190.658575608531
"Metro",2020-05-14,"Raw",65.9147869674186,261.195420660277,-60.1311682143427,-99.8172167611457,-20.4451196675397,93.4610882047659,-5.92765811906732,192.849834528599
"Metro",2020-05-15,"Raw",48.3709273182957,-19.19595314164,-62.7815745536646,-102.694912931729,-22.8682361756001,96.4753705042174,-2.48784921946648,195.438590227901
"Metro",2020-05-16,"Raw",111.654135338346,144.635250266241,-64.6890817777386,-104.960820702543,-24.4173428529346,99.562722721819,0.731809885280143,198.393635558358
"Metro",2020-05-17,"Raw",-10.4010025062657,204.592651757188,-65.8213899250325,-106.556491098728,-25.086288751337,102.726321810534,3.7723100287697,201.680333592298
"Metro",2020-05-18,"Raw",6.64160401002507,241.74653887114,-66.1461990340137,-107.42369868825,-24.8686993797776,105.969344723324,6.67681387965784,205.261875566991
"Metro",2020-05-19,"Raw",30.3258145363408,309.198615548456,-65.6312091431496,-107.5051548633,-23.7572634229996,109.294968413154,9.48945207195243,209.100484754356
"Metro",2020-05-20,"Raw",48.1203007518797,193.929712460064,-64.2441202909077,-106.745001368358,-21.7432392134571,112.706369832986,12.2542538356203,213.158485830352
"Metro",2020-05-21,"Raw",17.9197994987469,133.426517571885,-61.9526325157557,-105.0891092834,-18.816155748111,116.206725935783,15.0142590012281,217.399192870339
"Metro",2020-05-22,"Raw",47.7443609022556,108.732694355698,-58.7244458561609,-102.485223967078,-14.9636677452439,119.799213674509,17.8108266506307,221.787600698387
"Metro",2020-05-23,"Raw",17.5438596491228,-100,-54.5272603505908,-98.8829996702234,-10.1715210309583,123.487010002126,20.6831310012722,226.290889002979
"Metro",2020-05-24,"Raw",-0.626566416040097,306.58945686901,-49.328776037513,-94.2339634657359,-4.42358860929007,127.273291871597,23.6678190795801,230.878764663613
"Metro",2020-05-25,"Raw",-27.6942355889724,178.035143769968,-43.0966929553948,-88.4914409173337,2.29805500654407,131.161236235885,26.7987966853042,235.523675786467
"Metro",2020-05-26,"Raw",-34.5864661654135,134.464856230032,-35.798711142704,-81.6104682656162,10.0130459802083,135.154020047954,30.1071071413983,240.200932954511
"Metro",2020-05-27,"Raw",22.3057644110276,61.1687965921193,-27.4025306379077,-73.5477093133433,18.7426480375279,139.254820260767,33.6208691356117,244.888771385922
"Metro",2020-05-28,"Raw",77.0676691729323,209.291799787007,-17.8758514794737,-64.2613902219202,28.5096872629728,143.466813827286,37.3652436481815,249.56838400639
"Metro",2020-05-29,"Raw",30.952380952381,100.998402555911,-7.18637370586936,-53.711262161887,39.3385147501483,147.793177700474,41.3624040988245,254.223951302124
"Metro",2020-05-30,"Raw",42.2305764411028,165.774760383387,4.69820264443788,-41.8586000416305,51.2550053305063,152.237088833296,45.6314875284996,258.842690138092
"Metro",2020-05-31,"Raw",42.9824561403509,-12.2470713525027,17.8099142939159,-28.6665367427768,64.2863653306085,156.801711471619,50.1884466575229,263.414976285716
"Metro",2020-06-01,"Raw",-29.6992481203007,342.944621938232,32.1489460382318,-14.135108184568,78.4330002610315,161.488672303031,55.0386779806419,267.93866662542
"Metro",2020-06-02,"Raw",63.7844611528822,349.10809371672,47.6536214929016,1.66568579897817,93.6415571868251,166.296611848201,60.1704004398254,272.422823256576
"Metro",2020-06-03,"Raw",73.6842105263158,-198.043130990415,64.2551568187006,18.656781996302,109.853531641099,171.223827536281,65.5677955859229,276.879859486639
"Metro",2020-06-04,"Raw",75.9398496240601,208.612886048988,81.8847681764043,36.7580601783267,127.011476174482,176.268616796424,71.2130199918322,281.324213601015
"Metro",2020-06-05,"Raw",91.6040100250627,41.4137380191693,100.473671726788,55.8884468605342,145.058896593042,181.429277057782,77.0865245337482,285.772029581815
"Metro",2020-06-06,"Raw",126.190476190476,202.249733759318,119.953083630627,75.9660068959391,163.940160365315,186.704105749506,83.1673443791251,290.240867119887
"Metro",2020-06-07,"Raw",74.3107769423559,549.880191693291,140.254220048697,96.9080343421879,183.600405755206,192.09140030075,89.4333751230143,294.749425478486
"Metro",2020-06-08,"Raw",-20.1754385964912,72.5772097976571,161.308297141773,118.631154123892,203.985440159654,197.589458140666,95.8616486586959,299.317267622636
"Metro",2020-06-09,"Raw",119.674185463659,159.850905218317,183.046531070631,141.05144634842,225.041615792841,203.196576698405,102.428620558192,303.964532838618
"Metro",2020-06-10,"Raw",185.588972431078,-100,205.400137996045,164.084605314835,246.715670677255,208.91105340312,109.110478705581,308.711628100659
"Metro",2020-06-11,"Raw",111.40350877193,133.120340788072,228.300334078792,187.646144735851,268.954523421732,214.731185683963,115.883480403994,313.578890963932
"Metro",2020-06-12,"Raw",136.09022556391,-80.7507987220447,251.678335479646,211.651658804717,291.705012154574,220.655270970087,122.724321937661,318.586220002512
"Metro",2020-06-13,"Raw",166.416040100251,98.4691160809372,275.465358359383,236.017144781085,314.913571937681,226.681606690642,129.610540478597,323.752672902688
"Metro",2020-06-14,"Raw",122.18045112782,188.857827476038,299.592618878778,260.659386202129,338.525851555427,232.808490274783,136.520943309214,329.096037240352
"Metro",2020-06-15,"Raw",52.8822055137845,173.32268370607,323.991333198607,285.496386579483,362.486279817731,239.034219151661,143.436053838817,334.632384464504
"Metro",2020-06-16,"Raw",279.448621553885,309.757720979766,348.592717479645,310.447832278807,386.737602680484,245.357090750428,150.338558340177,340.375623160678
"Metro",2020-06-17,"Raw",259.273182957393,111.754526091587,373.327987882668,335.435552021861,411.220423743474,251.775402500236,157.213732485615,346.337072514857
