"PHR","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"1 - Lubbock PHR",2020-05-06,"Raw",30.1587301587302,-120.626631853786,67.5458650654708,-10.8303200936761,145.922050224618,-137.674852905758,-169.148104870907,-106.201600940608
"1 - Lubbock PHR",2020-05-07,"Raw",87.3015873015873,-185.726718885988,65.2147489145129,-10.529790007677,140.959287836703,-138.50724930427,-169.566270962646,-107.448227645895
"1 - Lubbock PHR",2020-05-08,"Raw",85.7142857142857,-173.629242819843,62.9722265111701,-10.3860560081826,136.330509030523,-139.339799426307,-169.993511320304,-108.686087532311
"1 - Lubbock PHR",2020-05-09,"Raw",58.7301587301587,-149.608355091384,60.8242041052836,-10.4042372068821,132.052645417449,-140.172513520105,-170.429992235954,-109.915034804256
"1 - Lubbock PHR",2020-05-10,"Raw",50.7936507936508,-172.845953002611,58.7765879466944,-10.587034429409,128.140210322798,-141.005401833897,-170.875861327058,-111.134942340736
"1 - Lubbock PHR",2020-05-11,"Raw",-93.6507936507936,-143.603133159269,56.8352842852436,-10.9340852809317,124.604653851419,-141.838474615919,-171.331246614129,-112.345702617709
"1 - Lubbock PHR",2020-05-12,"Raw",77.7777777777778,-177.371627502176,55.006199370772,-11.4413821051406,121.453780846685,-142.671742114406,-171.796255657807,-113.547228571004
"1 - Lubbock PHR",2020-05-13,"Raw",274.603174603175,-138.555265448216,53.2952394531208,-12.1008244886184,118.69130339486,-143.505214577593,-172.270974769656,-114.73945438553
"1 - Lubbock PHR",2020-05-14,"Raw",138.095238095238,-155.352480417755,51.708310782131,-12.8999722232624,116.316593787524,-144.338902253715,-172.755468311475,-115.922336195955
"1 - Lubbock PHR",2020-05-15,"Raw",111.111111111111,-114.447345517842,50.2513196076435,-13.8220442384783,114.324683453765,-145.172815391007,-173.249778098259,-117.095852683754
"1 - Lubbock PHR",2020-05-16,"Raw",1093.65079365079,-126.631853785901,48.9301721794994,-14.8461767724343,112.706521131433,-146.006964237703,-173.753922919989,-118.260005555418
"1 - Lubbock PHR",2020-05-17,"Raw",25.3968253968254,-134.986945169713,47.7507747475397,-15.9479171639379,111.449466659017,-146.84135904204,-174.267898197248,-119.414819886832
