Date,Level,COVID_ICU,COVID_General
4/1/2020,Angelina,4,15
4/2/2020,Angelina,3,17
4/3/2020,Angelina,4,16
4/4/2020,Angelina,4,16
4/5/2020,Angelina,4,16
4/6/2020,Angelina,14,7
4/7/2020,Angelina,19,2
4/8/2020,Angelina,17,7
4/9/2020,Angelina,16,9
4/10/2020,Angelina,9,14
4/11/2020,Angelina,10,13
4/12/2020,Angelina,11,13
4/13/2020,Angelina,11,14
4/14/2020,Angelina,11,14
4/15/2020,Angelina,12,13
4/16/2020,Angelina,14,15
4/17/2020,Angelina,21,6
4/18/2020,Angelina,21,8
4/19/2020,Angelina,20,8
4/20/2020,Angelina,21,8
4/21/2020,Angelina,21,8
4/22/2020,Angelina,13,15
4/23/2020,Angelina,15,16
4/24/2020,Angelina,16,15
4/25/2020,Angelina,15,17
4/26/2020,Angelina,25,7
4/27/2020,Angelina,12,18
4/28/2020,Angelina,11,21
4/29/2020,Angelina,13,21
4/30/2020,Angelina,30,7
5/1/2020,Angelina,30,7
5/2/2020,Angelina,30,7
5/3/2020,Angelina,28,7
5/4/2020,Angelina,11,26
5/5/2020,Angelina,13,32
5/6/2020,Angelina,34,9
5/7/2020,Angelina,12,33
5/8/2020,Angelina,33,9
5/9/2020,Angelina,33,9
5/10/2020,Angelina,32,18
5/11/2020,Angelina,31,21
5/12/2020,Angelina,30,19
5/13/2020,Angelina,27,19
5/14/2020,Angelina,32,15
5/15/2020,Angelina,34,11
5/16/2020,Angelina,34,13
5/17/2020,Angelina,35,13
5/18/2020,Angelina,31,19
5/19/2020,Angelina,31,19
5/20/2020,Angelina,35,19
5/21/2020,Angelina,34,19
5/22/2020,Angelina,34,22
5/23/2020,Angelina,37,18
5/24/2020,Angelina,35,16
5/25/2020,Angelina,31,18
5/26/2020,Angelina,30,22
5/27/2020,Angelina,30,16
5/28/2020,Angelina,38,16
5/29/2020,Angelina,39,16
5/30/2020,Angelina,40,17
5/31/2020,Angelina,31,31
6/1/2020,Angelina,16,52
6/2/2020,Angelina,14,46
6/3/2020,Angelina,17,57
6/4/2020,Angelina,17,57
6/5/2020,Angelina,18,57
6/6/2020,Angelina,17,55
6/7/2020,Angelina,3,56
6/8/2020,Angelina,14,54
6/9/2020,Angelina,14,61
6/10/2020,Angelina,18,71
6/11/2020,Angelina,18,72
6/12/2020,Angelina,18,35
6/13/2020,Angelina,35,35
6/14/2020,Angelina,17,64
6/15/2020,Angelina,9,54
6/16/2020,Angelina,15,66
6/17/2020,Angelina,9,76
6/18/2020,Angelina,16,68
6/19/2020,Angelina,16,52
6/20/2020,Angelina,12,69
6/21/2020,Angelina,15,69
6/22/2020,Angelina,15,64
6/23/2020,Angelina,14,56
6/24/2020,Angelina,24,62
6/25/2020,Angelina,11,59
6/26/2020,Angelina,16,54
6/27/2020,Angelina,17,39
6/28/2020,Angelina,17,40
6/29/2020,Angelina,18,38
6/30/2020,Angelina,18,38
7/1/2020,Angelina,18,45
