Date,Level,COVID_ICU,COVID_General
2020-04-01,Angelina,4,4
2020-04-02,Angelina,3,3
2020-04-03,Angelina,1,0
2020-04-04,Angelina,2,2
2020-04-05,Angelina,1,3
2020-04-06,Angelina,0,1
2020-04-07,Angelina,1,0
2020-04-08,Angelina,2,4
2020-04-09,Angelina,0,1
2020-04-10,Angelina,2,0
2020-04-11,Angelina,4,4
2020-04-12,Angelina,2,1
2020-04-13,Angelina,1,0
2020-04-14,Angelina,1,0
2020-04-15,Angelina,4,0
2020-04-16,Angelina,1,1
2020-04-17,Angelina,11,1
2020-04-18,Angelina,5,2
2020-04-19,Angelina,3,3
2020-04-20,Angelina,2,3
2020-04-21,Angelina,3,2
2020-04-22,Angelina,6,2
2020-04-23,Angelina,2,3
2020-04-24,Angelina,7,2
2020-04-25,Angelina,4,3
2020-04-26,Angelina,2,5
2020-04-27,Angelina,2,3
2020-04-28,Angelina,5,2
2020-04-29,Angelina,3,1
2020-04-30,Angelina,5,0
2020-05-01,Angelina,4,0
2020-05-02,Angelina,2,1
2020-05-03,Angelina,6,0
2020-05-04,Angelina,6,0
2020-05-05,Angelina,5,0
2020-05-06,Angelina,6,0
2020-05-07,Angelina,7,0
2020-05-08,Angelina,2,2
2020-05-09,Angelina,8,2
2020-05-10,Angelina,3,0
2020-05-11,Angelina,0,0
2020-05-12,Angelina,4,0
2020-05-13,Angelina,1,0
2020-05-14,Angelina,2,0
2020-05-15,Angelina,2,0
2020-05-16,Angelina,3,0
2020-05-17,Angelina,0,0
2020-05-18,Angelina,0,0
2020-05-19,Angelina,0,0
2020-05-20,Angelina,0,2
2020-05-21,Angelina,1,2
2020-05-22,Angelina,N/A,N/A
2020-05-23,Angelina,1,1
2020-05-24,Angelina,0,0
2020-05-25,Angelina,0,1
2020-05-26,Angelina,1,1
2020-05-27,Angelina,0,2
2020-05-28,Angelina,0,1
2020-05-29,Angelina,0,1
2020-05-30,Angelina,0,5
2020-05-31,Angelina,0,5
2020-06-01,Angelina,1,4
2020-06-02,Angelina,1,5
2020-06-03,Angelina,1,6
2020-06-04,Angelina,0,6
2020-06-05,Angelina,0,6
2020-06-06,Angelina,0,5
2020-06-07,Angelina,5,6
2020-06-08,Angelina,0,4
2020-06-09,Angelina,0,9
2020-06-10,Angelina,0,10
2020-06-11,Angelina,1,10
2020-06-12,Angelina,3,9
2020-06-13,Angelina,4,9
2020-06-14,Angelina,9,5
2020-06-15,Angelina,6,3
2020-06-16,Angelina,8,6
2020-06-17,Angelina,4,8
2020-06-18,Angelina,0,5
2020-06-19,Angelina,3,7
2020-06-20,Angelina,1,16
2020-06-21,Angelina,10,11
2020-06-22,Angelina,5,20
2020-06-23,Angelina,6,29
2020-06-24,Angelina,3,23
2020-06-25,Angelina,7,18
2020-06-26,Angelina,3,16
2020-06-27,Angelina,2,15
2020-06-28,Angelina,1,14
2020-06-29,Angelina,4,0
2020-06-30,Angelina,6,15
2020-07-01,Angelina,3,16
2020-07-02,Angelina,3,21
2020-07-03,Angelina,8,17
2020-07-04,Angelina,1,17
2020-07-05,Angelina,0,10
2020-07-06,Angelina,16,14
2020-07-07,Angelina,4,16
2020-07-08,Angelina,16,16
2020-07-09,Angelina,21,16
2020-07-10,Angelina,15,23
2020-07-11,Angelina,6,29
2020-07-12,Angelina,6,22
2020-07-13,Angelina,5,20
2020-07-14,Angelina,13,39
2020-07-15,Angelina,16,44
2020-07-16,Angelina,15,37
2020-07-17,Angelina,16,40
2020-07-18,Angelina,15,40
2020-07-19,Angelina,16,51
2020-07-20,Angelina,18,43
2020-07-21,Angelina,12,49
2020-07-22,Angelina,21,50
2020-07-23,Angelina,27,29
2020-07-24,Angelina,27,36
2020-07-25,Angelina,10,10
2020-07-26,Angelina,37,14
2020-07-27,Angelina,2,44
2020-07-28,Angelina,14,40
2020-07-29,Angelina,19,44
2020-07-30,Angelina,15,41
2020-07-31,Angelina,5,33
2020-08-01,Angelina,12,40
2020-08-02,Angelina,17,41
2020-08-03,Angelina,17,41
2020-08-04,Angelina,17,41
2020-08-05,Angelina,15,41
2020-08-06,Angelina,13,40
2020-08-07,Angelina,4,26
2020-08-08,Angelina,14,30
2020-08-09,Angelina,14,32
2020-08-10,Angelina,16,26
2020-08-11,Angelina,3,25
2020-08-12,Angelina,12,32
2020-08-13,Angelina,14,32
2020-08-14,Angelina,14,38
2020-08-15,Angelina,15,34
2020-08-16,Angelina,14,31
2020-08-17,Angelina,29,11
2020-08-18,Angelina,5,20
2020-08-19,Angelina,11,31
2020-08-20,Angelina,14,27
2020-08-21,Angelina,11,26
2020-08-22,Angelina,13,26
2020-08-23,Angelina,5,20
2020-08-24,Angelina,11,22
2020-08-25,Angelina,6,15
2020-08-26,Angelina,13,26
2020-08-27,Angelina,12,18
2020-08-28,Angelina,12,21
2020-08-29,Angelina,6,13
2020-08-30,Angelina,12,10
2020-08-31,Angelina,13,11
2020-09-01,Angelina,13,11
2020-09-02,Angelina,16,22
2020-09-03,Angelina,14,11
2020-09-04,Angelina,19,9
2020-09-05,Angelina,16,10
2020-09-06,Angelina,14,10
2020-09-07,Angelina,8,8
2020-09-08,Angelina,14,10
2020-09-09,Angelina,11,11
2020-09-10,Angelina,11,13
2020-09-11,Angelina,8,14
2020-09-12,Angelina,6,2
2020-09-13,Angelina,7,6
2020-09-14,Angelina,10,13
2020-09-15,Angelina,8,16
2020-09-16,Angelina,5,21
2020-09-17,Angelina,11,13
2020-09-18,Angelina,4,18
2020-09-19,Angelina,8,17
2020-09-20,Angelina,18,12
2020-09-21,Angelina,16,10
2020-09-22,Angelina,17,10
2020-09-23,Angelina,14,18
2020-09-24,Angelina,14,18
2020-09-25,Angelina,9,11
2020-09-26,Angelina,11,17
2020-09-27,Angelina,5,13
2020-09-28,Angelina,9,22
2020-09-29,Angelina,8,26
2020-09-30,Angelina,9,25
2020-10-01,Angelina,6,26
2020-10-02,Angelina,11,21
2020-10-03,Angelina,7,16
2020-10-04,Angelina,20,8
2020-10-05,Angelina,5,26
2020-10-06,Angelina,5,25
2020-10-07,Angelina,6,22
2020-10-08,Angelina,6,22
2020-10-09,Angelina,4,23
2020-10-10,Angelina,3,25
2020-10-11,Angelina,3,22
2020-10-12,Angelina,3,25
2020-10-13,Angelina,4,23
2020-10-14,Angelina,5,16
2020-10-15,Angelina,5,16
2020-10-16,Angelina,4,15
2020-10-17,Angelina,3,12
2020-10-18,Angelina,3,17
2020-10-19,Angelina,3,14
2020-10-20,Angelina,3,14
2020-10-21,Angelina,2,18
2020-10-22,Angelina,2,17
2020-10-23,Angelina,2,11
2020-10-24,Angelina,2,17
2020-10-25,Angelina,2,13
2020-10-26,Angelina,2,21
2020-10-27,Angelina,2,21
2020-10-28,Angelina,2,23
2020-10-29,Angelina,2,24
2020-10-30,Angelina,3,23
2020-10-31,Angelina,3,21
2020-11-01,Angelina,3,21
2020-11-02,Angelina,11,19
2020-11-03,Angelina,8,21
2020-11-04,Angelina,4,26
2020-11-05,Angelina,4,28
2020-11-06,Angelina,4,27
2020-11-07,Angelina,4,28
2020-11-08,Angelina,4,28
2020-11-09,Angelina,7,20
2020-11-10,Angelina,8,19
2020-11-11,Angelina,4,22
2020-11-12,Angelina,7,22
2020-11-13,Angelina,7,22
2020-11-14,Angelina,7,10
2020-11-15,Angelina,8,24
2020-11-16,Angelina,7,31
2020-11-17,Angelina,3,15
2020-11-18,Angelina,11,23
2020-11-19,Angelina,8,27
2020-11-20,Angelina,8,23
2020-11-21,Angelina,11,27
2020-11-22,Angelina,14,27
2020-11-23,Angelina,6,31
2020-11-24,Angelina,12,28
2020-11-25,Angelina,14,28
2020-11-26,Angelina,13,26
2020-11-27,Angelina,14,29
2020-11-28,Angelina,15,28
2020-11-29,Angelina,15,28
2020-11-30,Angelina,15,31
2020-12-01,Angelina,16,34
2020-12-02,Angelina,17,38
2020-12-03,Angelina,14,34
2020-12-04,Angelina,17,34
2020-12-05,Angelina,17,35
2020-12-06,Angelina,14,34
2020-12-07,Angelina,7,39
2020-12-08,Angelina,16,39
2020-12-09,Angelina,17,43
2020-12-10,Angelina,13,33
2020-12-11,Angelina,15,35
2020-12-12,Angelina,16,32
2020-12-13,Angelina,17,37
2020-12-14,Angelina,13,33
2020-12-15,Angelina,20,33
2020-12-16,Angelina,17,30
2020-12-17,Angelina,13,28
2020-12-18,Angelina,14,31
2020-12-19,Angelina,13,31
2020-12-20,Angelina,14,32
2020-12-21,Angelina,19,34
2020-12-22,Angelina,16,36
2020-12-23,Angelina,13,35
2020-12-24,Angelina,15,32
2020-12-25,Angelina,17,34
2020-12-26,Angelina,12,35
2020-12-27,Angelina,12,36
2020-12-28,Angelina,16,43
2020-12-29,Angelina,18,45
2020-12-30,Angelina,18,38
2020-12-31,Angelina,18,38
2021-01-01,Angelina,17,40
2021-01-02,Angelina,17,39
2021-01-03,Angelina,16,54
2021-01-04,Angelina,11,59
2021-01-05,Angelina,24,62
2021-01-06,Angelina,14,56
2021-01-07,Angelina,15,64
2021-01-08,Angelina,14,69
2021-01-09,Angelina,12,67
2021-01-10,Angelina,16,52
2021-01-11,Angelina,16,68
2021-01-12,Angelina,9,76
2021-01-13,Angelina,15,66
2021-01-14,Angelina,9,54
2021-01-15,Angelina,17,64
2021-01-16,Angelina,35,35
2021-01-17,Angelina,18,63
2021-01-18,Angelina,20,72
2021-01-19,Angelina,18,71
